gene_id	transcript_id(s)	AtlanticSalmon_RNA_Brain_Immature_Female_R1	AtlanticSalmon_RNA_Brain_Immature_Female_R2	AtlanticSalmon_RNA_Brain_Immature_Female_R3	AtlanticSalmon_RNA_Brain_Immature_Male_R1	AtlanticSalmon_RNA_Brain_Immature_Male_R2	AtlanticSalmon_RNA_Brain_Immature_Male_R3	AtlanticSalmon_RNA_Brain_Mature_Female_R1	AtlanticSalmon_RNA_Brain_Mature_Female_R2	AtlanticSalmon_RNA_Brain_Mature_Female_R3	AtlanticSalmon_RNA_Brain_Mature_Male_R1	AtlanticSalmon_RNA_Brain_Mature_Male_R2	AtlanticSalmon_RNA_Brain_Mature_Male_R3
ENSSSAG00000000040	ENSSSAT00000000040,ENSSSAT00000158143,ENSSSAT00000197579,ENSSSAT00000219342	4.78	4.46	4.43	4.77	5.13	6.74	3.55	6.37	8.45	4.34	5.80	4.10
ENSSSAG00000000041	ENSSSAT00000000041	0.15	0.08	0.00	0.00	0.07	0.17	1.37	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000044	ENSSSAT00000000051	0.15	0.33	0.00	0.14	0.11	0.08	0.32	0.18	0.11	0.26	0.00	0.20
ENSSSAG00000000048	ENSSSAT00000000056,ENSSSAT00000000058,ENSSSAT00000000059,ENSSSAT00000000060,ENSSSAT00000233067	4.12	3.67	8.38	6.45	4.71	3.93	3.47	8.95	7.06	8.23	3.83	7.38
ENSSSAG00000000049	ENSSSAT00000000061	6.95	4.68	11.51	6.89	4.82	9.94	5.15	8.82	9.42	7.24	6.98	10.46
ENSSSAG00000000051	ENSSSAT00000000064,ENSSSAT00000181079,ENSSSAT00000194671,ENSSSAT00000200218,ENSSSAT00000235262,ENSSSAT00000239238	19.57	16.31	15.82	12.79	17.56	13.71	9.02	15.01	12.07	12.94	19.44	11.40
ENSSSAG00000000052	ENSSSAT00000000066,ENSSSAT00000230849,ENSSSAT00000242780	1068.05	885.28	840.55	153.36	484.84	675.02	9.82	162.88	318.28	223.59	1216.32	198.56
ENSSSAG00000000055	ENSSSAT00000000069	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.11	0.00	0.00	0.00	0.00
ENSSSAG00000000057	ENSSSAT00000000071,ENSSSAT00000000072	10.26	10.80	15.17	12.33	11.53	11.07	11.80	13.24	15.22	13.57	15.00	14.25
ENSSSAG00000000059	ENSSSAT00000000082,ENSSSAT00000000085	0.19	0.10	0.03	0.18	0.28	0.03	0.48	0.21	0.07	0.12	0.03	0.00
ENSSSAG00000000063	ENSSSAT00000000093,ENSSSAT00000178006,ENSSSAT00000196236	9.97	11.06	11.29	8.37	10.09	8.49	8.22	11.75	11.85	11.29	10.43	11.16
ENSSSAG00000000065	ENSSSAT00000000097,ENSSSAT00000000098,ENSSSAT00000166332,ENSSSAT00000205880,ENSSSAT00000251405	0.48	0.00	0.00	3.91	0.00	3.43	9.07	0.63	6.78	0.47	3.66	5.69
ENSSSAG00000000067	ENSSSAT00000191367	0.23	0.48	0.75	0.76	0.71	0.36	0.29	0.20	0.16	0.08	0.53	0.32
ENSSSAG00000000069	ENSSSAT00000000102,ENSSSAT00000000103,ENSSSAT00000188433,ENSSSAT00000236380	0.09	0.15	0.06	0.05	0.00	0.00	0.13	0.00	0.00	0.00	0.11	0.00
ENSSSAG00000000073	ENSSSAT00000000108,ENSSSAT00000000109,ENSSSAT00000159604,ENSSSAT00000173271,ENSSSAT00000185150,ENSSSAT00000190668,ENSSSAT00000253112,ENSSSAT00000253728	18.05	8.83	8.81	8.47	13.27	5.68	106.13	1.84	1.38	1.60	6.61	1.24
ENSSSAG00000000075	ENSSSAT00000000111,ENSSSAT00000000112,ENSSSAT00000000113,ENSSSAT00000000114,ENSSSAT00000000115,ENSSSAT00000000116,ENSSSAT00000000117,ENSSSAT00000000118	9.47	8.36	11.16	10.87	9.04	13.01	4.95	15.14	11.63	14.37	8.15	14.34
ENSSSAG00000000076	ENSSSAT00000000119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000077	ENSSSAT00000000120,ENSSSAT00000000121,ENSSSAT00000000122,ENSSSAT00000000123	0.23	0.23	0.41	0.00	0.69	0.00	1.35	0.29	0.59	0.36	0.26	0.00
ENSSSAG00000000078	ENSSSAT00000000125	3.41	2.95	3.99	4.25	2.35	5.08	3.99	0.58	1.79	2.58	1.08	1.62
ENSSSAG00000000079	ENSSSAT00000000126,ENSSSAT00000228057	11.36	12.31	12.64	9.09	11.25	10.31	4.41	14.18	8.16	12.18	10.19	12.40
ENSSSAG00000000080	ENSSSAT00000000127,ENSSSAT00000000128,ENSSSAT00000000129	23.52	17.15	25.99	27.00	20.59	32.40	14.96	57.04	44.49	48.63	29.52	40.71
ENSSSAG00000000082	ENSSSAT00000000133,ENSSSAT00000000134,ENSSSAT00000000135	0.42	2.07	0.00	5.11	4.72	0.32	8.45	0.00	0.10	0.00	0.21	0.08
ENSSSAG00000000083	ENSSSAT00000000136	0.09	0.14	0.00	0.09	0.44	0.05	0.03	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000085	ENSSSAT00000000138,ENSSSAT00000181392	2.01	1.74	1.02	0.06	0.86	0.49	0.31	0.24	0.00	0.13	1.64	0.00
ENSSSAG00000000089	ENSSSAT00000108939,ENSSSAT00000162697,ENSSSAT00000244545	12.73	9.41	17.23	14.92	10.39	17.90	7.08	19.50	22.16	13.65	9.84	17.03
ENSSSAG00000000090	ENSSSAT00000000146,ENSSSAT00000000147,ENSSSAT00000000148,ENSSSAT00000232459	4.39	6.90	5.77	2.14	10.06	5.58	2.28	1.08	1.61	1.30	8.75	1.55
ENSSSAG00000000091	ENSSSAT00000000150,ENSSSAT00000108728,ENSSSAT00000186088	19.04	16.99	28.42	24.46	22.49	23.91	13.03	34.87	33.96	35.72	22.77	31.26
ENSSSAG00000000094	ENSSSAT00000000154,ENSSSAT00000000156,ENSSSAT00000000157,ENSSSAT00000000158,ENSSSAT00000098469,ENSSSAT00000174826,ENSSSAT00000240056	15.73	12.51	17.72	9.28	6.93	14.23	2.07	19.32	14.31	10.49	14.52	14.82
ENSSSAG00000000096	ENSSSAT00000000160,ENSSSAT00000000161,ENSSSAT00000000162,ENSSSAT00000222234	28.00	33.55	43.34	25.46	33.89	34.86	16.00	52.21	42.25	38.11	37.82	26.95
ENSSSAG00000000097	ENSSSAT00000000163,ENSSSAT00000163376	23.62	18.68	17.89	6.13	21.82	12.37	0.90	12.20	9.95	10.82	18.29	12.07
ENSSSAG00000000100	ENSSSAT00000000167	4.93	5.56	5.14	1.84	4.94	4.89	0.15	4.11	3.28	3.49	4.49	5.01
ENSSSAG00000000105	ENSSSAT00000000173	87.27	82.48	83.52	51.67	91.45	80.21	40.79	58.98	74.76	60.55	84.52	76.06
ENSSSAG00000000106	ENSSSAT00000000174	0.86	1.00	1.12	0.43	1.19	0.38	1.26	0.51	0.29	0.64	1.51	0.33
ENSSSAG00000000108	ENSSSAT00000000177,ENSSSAT00000188880	0.47	0.49	0.04	0.35	0.44	0.51	0.25	0.80	0.56	0.62	0.46	0.66
ENSSSAG00000000109	ENSSSAT00000000178	3.31	2.79	1.43	5.77	3.38	1.77	16.71	0.72	0.58	0.59	1.73	0.62
ENSSSAG00000000110	ENSSSAT00000000188,ENSSSAT00000000196,ENSSSAT00000151894,ENSSSAT00000151911	7.14	5.24	8.49	5.61	6.25	7.73	2.43	9.87	9.91	8.01	9.31	8.25
ENSSSAG00000000113	ENSSSAT00000000182,ENSSSAT00000000184,ENSSSAT00000110452	0.09	0.37	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.53	0.00
ENSSSAG00000000114	ENSSSAT00000000183,ENSSSAT00000000186,ENSSSAT00000000195,ENSSSAT00000000199,ENSSSAT00000064110	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000115	ENSSSAT00000000185	1.35	0.38	0.00	0.07	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000122	ENSSSAT00000000197	0.12	0.12	0.07	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.21	0.00
ENSSSAG00000000128	ENSSSAT00000000228,ENSSSAT00000000231,ENSSSAT00000000236,ENSSSAT00000193833	36.17	27.43	41.93	37.93	37.03	51.25	34.00	63.21	54.39	49.67	35.08	59.42
ENSSSAG00000000130	ENSSSAT00000000206,ENSSSAT00000000213,ENSSSAT00000000219,ENSSSAT00000110862,ENSSSAT00000110903,ENSSSAT00000110920,ENSSSAT00000228773	1.22	0.46	1.34	0.13	0.30	0.47	0.12	0.54	0.07	0.07	0.95	0.10
ENSSSAG00000000131	ENSSSAT00000000209,ENSSSAT00000000210,ENSSSAT00000000211	16.37	23.18	12.72	8.62	19.11	18.29	10.31	20.61	18.04	15.67	18.35	13.73
ENSSSAG00000000132	ENSSSAT00000000205	5.25	4.40	5.60	0.95	5.68	2.84	0.75	0.56	0.49	0.18	11.01	0.46
ENSSSAG00000000133	ENSSSAT00000000208	0.32	0.99	0.39	0.00	1.31	0.28	9.18	0.10	0.17	0.34	0.37	1.21
ENSSSAG00000000136	ENSSSAT00000000216	0.48	1.80	2.89	1.24	2.68	2.88	0.42	1.74	1.16	3.69	1.18	3.39
ENSSSAG00000000137	ENSSSAT00000000234	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000139	ENSSSAT00000000274,ENSSSAT00000189114,ENSSSAT00000196793,ENSSSAT00000241898,ENSSSAT00000252542	0.65	0.49	0.69	1.78	0.66	0.41	5.28	0.41	0.25	0.41	1.09	0.57
ENSSSAG00000000140	ENSSSAT00000000238	11.66	11.26	20.16	20.02	13.37	19.88	11.27	29.71	26.04	22.50	12.83	24.93
ENSSSAG00000000141	ENSSSAT00000000250,ENSSSAT00000000260,ENSSSAT00000000266,ENSSSAT00000000267	4.35	2.61	2.51	1.56	4.87	3.18	1.99	1.28	0.95	2.44	3.44	3.62
ENSSSAG00000000142	ENSSSAT00000000227,ENSSSAT00000000229,ENSSSAT00000000232,ENSSSAT00000201284	14.40	7.79	3.84	1.21	3.95	4.83	3.95	2.79	3.25	1.02	4.74	2.23
ENSSSAG00000000145	ENSSSAT00000000230	2.68	3.08	3.09	2.80	4.32	7.38	2.78	0.00	1.94	0.00	4.47	4.16
ENSSSAG00000000146	ENSSSAT00000000235,ENSSSAT00000000246	0.19	0.15	0.00	0.14	0.05	0.00	0.00	0.00	0.10	0.00	0.00	0.00
ENSSSAG00000000147	ENSSSAT00000000237	2.91	2.02	3.21	2.32	3.91	3.78	1.89	2.83	3.78	2.30	1.87	4.07
ENSSSAG00000000149	ENSSSAT00000000242,ENSSSAT00000221085	11.55	10.82	12.82	10.85	8.46	11.63	9.78	13.44	11.57	14.01	11.21	15.99
ENSSSAG00000000151	ENSSSAT00000000245,ENSSSAT00000166544	6.43	3.34	0.00	1.19	0.28	0.08	0.20	0.00	0.28	0.14	0.08	0.00
ENSSSAG00000000152	ENSSSAT00000000248,ENSSSAT00000165747,ENSSSAT00000235919	6.81	5.08	5.94	4.17	4.73	4.83	8.41	1.44	0.43	1.35	9.50	1.71
ENSSSAG00000000153	ENSSSAT00000000251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000154	ENSSSAT00000000249	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00
ENSSSAG00000000156	ENSSSAT00000000254,ENSSSAT00000011083,ENSSSAT00000241690,ENSSSAT00000248262	4.39	6.05	1.32	0.10	4.50	1.14	1.12	0.97	0.83	0.63	4.65	0.35
ENSSSAG00000000157	ENSSSAT00000000270,ENSSSAT00000000275,ENSSSAT00000000294,ENSSSAT00000000303	0.03	0.00	0.00	0.05	0.17	0.00	0.08	0.00	0.00	0.00	0.13	0.00
ENSSSAG00000000159	ENSSSAT00000000256	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000160	ENSSSAT00000000279,ENSSSAT00000000281,ENSSSAT00000175516,ENSSSAT00000199602,ENSSSAT00000200986,ENSSSAT00000232142,ENSSSAT00000232828	41.89	50.85	39.46	22.20	50.74	28.49	1.86	58.68	49.47	81.03	74.21	50.69
ENSSSAG00000000161	ENSSSAT00000000263	27.86	29.96	26.19	14.78	28.12	25.89	11.39	25.02	24.36	25.68	27.62	26.20
ENSSSAG00000000163	ENSSSAT00000000310,ENSSSAT00000000317,ENSSSAT00000000335,ENSSSAT00000000352,ENSSSAT00000000375,ENSSSAT00000000400,ENSSSAT00000000407,ENSSSAT00000000411	19.06	53.57	48.97	48.36	91.01	23.72	4.04	27.62	170.27	140.36	7.41	211.79
ENSSSAG00000000164	ENSSSAT00000000261	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000165	ENSSSAT00000000277,ENSSSAT00000133002,ENSSSAT00000151290,ENSSSAT00000199737,ENSSSAT00000207168,ENSSSAT00000226744	20.98	10.15	15.13	2.00	9.26	12.06	0.13	0.56	1.25	0.80	29.31	1.31
ENSSSAG00000000166	ENSSSAT00000000268,ENSSSAT00000018778	39.57	38.59	45.25	26.07	36.89	43.74	26.99	40.67	42.73	31.29	39.90	35.69
ENSSSAG00000000167	ENSSSAT00000000271	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000169	ENSSSAT00000000282,ENSSSAT00000177965	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000170	ENSSSAT00000000285	4.15	3.41	7.55	7.41	5.78	6.25	4.67	8.79	8.08	7.81	4.94	8.33
ENSSSAG00000000172	ENSSSAT00000000348,ENSSSAT00000000362,ENSSSAT00000254605	21.14	15.53	30.11	21.99	16.19	28.95	8.37	33.47	25.63	31.61	22.39	31.61
ENSSSAG00000000174	ENSSSAT00000000305,ENSSSAT00000000307,ENSSSAT00000000311,ENSSSAT00000000321,ENSSSAT00000000329,ENSSSAT00000000331	4.65	5.23	4.06	1.27	5.33	4.28	0.60	0.58	1.12	0.25	2.81	1.29
ENSSSAG00000000176	ENSSSAT00000000319,ENSSSAT00000000338	6.27	4.50	7.65	5.68	3.83	6.47	2.13	3.31	9.44	12.72	9.16	12.58
ENSSSAG00000000177	ENSSSAT00000000288,ENSSSAT00000000292	6.99	12.09	4.09	12.99	16.03	2.69	9.92	1.61	1.65	1.96	8.09	2.18
ENSSSAG00000000179	ENSSSAT00000000290	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000181	ENSSSAT00000000349,ENSSSAT00000128223	11.01	15.42	7.88	1.81	15.97	4.11	10.19	1.19	1.45	2.34	9.37	3.44
ENSSSAG00000000186	ENSSSAT00000000354,ENSSSAT00000237697	1.63	1.11	2.36	0.57	2.96	1.10	0.31	0.00	0.06	0.21	5.68	0.16
ENSSSAG00000000188	ENSSSAT00000000384,ENSSSAT00000000395,ENSSSAT00000000421,ENSSSAT00000000427,ENSSSAT00000065933	3.98	4.09	5.13	1.78	5.36	2.90	4.46	0.44	1.50	1.90	7.03	2.05
ENSSSAG00000000189	ENSSSAT00000000308	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000191	ENSSSAT00000250669	1.52	0.16	0.38	0.85	0.40	0.92	0.30	0.10	0.33	0.17	0.45	0.76
ENSSSAG00000000192	ENSSSAT00000000313,ENSSSAT00000171887	2.20	2.21	2.43	2.84	2.04	3.48	1.76	4.23	3.18	3.22	1.49	3.41
ENSSSAG00000000193	ENSSSAT00000000315	14.65	11.23	11.35	6.49	6.50	10.99	3.18	6.38	10.47	7.15	9.58	10.66
ENSSSAG00000000195	ENSSSAT00000000357	1.20	1.13	0.33	1.25	1.21	0.32	0.82	1.06	0.67	1.06	0.31	1.01
ENSSSAG00000000199	ENSSSAT00000000328,ENSSSAT00000000330	0.39	0.39	0.00	1.64	0.13	0.30	2.50	0.33	0.00	0.18	0.89	0.00
ENSSSAG00000000202	ENSSSAT00000000345,ENSSSAT00000076212,ENSSSAT00000076217	25.01	23.42	24.33	13.17	21.87	21.88	9.05	12.32	14.23	12.23	21.83	19.12
ENSSSAG00000000205	ENSSSAT00000000353,ENSSSAT00000000364,ENSSSAT00000000388,ENSSSAT00000000404,ENSSSAT00000000410	2.40	1.94	1.10	2.33	1.45	0.98	5.21	0.65	0.61	1.69	2.17	1.22
ENSSSAG00000000210	ENSSSAT00000000360,ENSSSAT00000087058,ENSSSAT00000178940,ENSSSAT00000222954,ENSSSAT00000224833,ENSSSAT00000232240,ENSSSAT00000241725	3.11	5.09	5.92	6.05	4.33	3.55	8.67	1.73	2.68	2.04	4.70	2.30
ENSSSAG00000000213	ENSSSAT00000000389,ENSSSAT00000201480	0.83	1.75	0.53	6.64	3.23	0.44	7.19	0.14	0.68	1.53	0.71	0.99
ENSSSAG00000000214	ENSSSAT00000000358,ENSSSAT00000163057,ENSSSAT00000192115	0.29	0.29	0.18	0.00	0.73	0.00	0.32	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000215	ENSSSAT00000000787,ENSSSAT00000000811,ENSSSAT00000000825,ENSSSAT00000000907,ENSSSAT00000000939,ENSSSAT00000000969,ENSSSAT00000174501	10.49	8.85	13.15	16.53	9.69	13.61	24.08	16.79	19.96	16.79	8.44	18.59
ENSSSAG00000000220	ENSSSAT00000000366	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000221	ENSSSAT00000000368	94.10	48.44	226.51	101.43	7.72	287.33	1.42	185.45	165.64	216.33	28.85	228.86
ENSSSAG00000000227	ENSSSAT00000000381,ENSSSAT00000203818	3.47	9.90	1.09	1.10	15.70	1.27	4.81	0.58	0.32	1.28	1.48	0.75
ENSSSAG00000000230	ENSSSAT00000000383	0.69	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000233	ENSSSAT00000000401	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.13	0.00	0.10	0.11	0.00
ENSSSAG00000000236	ENSSSAT00000000394	2.47	2.77	4.32	1.51	3.04	3.04	0.39	1.39	1.20	1.63	3.63	2.32
ENSSSAG00000000238	ENSSSAT00000000539,ENSSSAT00000000571,ENSSSAT00000000583,ENSSSAT00000000591	6.96	6.40	7.52	7.74	9.59	8.28	4.69	9.96	8.23	7.98	6.63	9.21
ENSSSAG00000000240	ENSSSAT00000000455,ENSSSAT00000000464,ENSSSAT00000000470,ENSSSAT00000000473,ENSSSAT00000128949	19.04	8.49	26.73	17.68	10.51	31.18	5.37	23.75	24.94	24.58	18.92	28.92
ENSSSAG00000000241	ENSSSAT00000000429,ENSSSAT00000000437	7.19	7.97	8.82	9.89	9.37	5.84	5.19	8.65	8.91	9.20	5.50	10.32
ENSSSAG00000000242	ENSSSAT00000000397,ENSSSAT00000000408,ENSSSAT00000000420	26.62	25.85	34.20	30.78	35.67	29.57	10.02	42.79	43.10	38.89	26.03	37.86
ENSSSAG00000000243	ENSSSAT00000000398,ENSSSAT00000000409,ENSSSAT00000000422,ENSSSAT00000230045,ENSSSAT00000240909	18.87	22.34	16.59	8.43	28.20	14.63	6.33	10.37	10.32	9.18	19.94	11.54
ENSSSAG00000000244	ENSSSAT00000000399	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000248	ENSSSAT00000000406,ENSSSAT00000221050,ENSSSAT00000231671,ENSSSAT00000237215	1.29	1.43	1.51	1.85	1.45	2.19	1.88	1.66	2.01	2.10	1.73	2.16
ENSSSAG00000000249	ENSSSAT00000000419,ENSSSAT00000000423,ENSSSAT00000000428	5.83	7.02	5.24	8.72	9.77	7.93	4.25	9.54	8.81	10.39	7.58	8.37
ENSSSAG00000000250	ENSSSAT00000000467,ENSSSAT00000000480,ENSSSAT00000010438,ENSSSAT00000010454,ENSSSAT00000166157,ENSSSAT00000181475,ENSSSAT00000186973,ENSSSAT00000239989	35.35	18.63	88.10	42.41	22.90	60.52	1.78	93.85	100.13	72.93	20.65	96.59
ENSSSAG00000000252	ENSSSAT00000000457,ENSSSAT00000000510,ENSSSAT00000000527,ENSSSAT00000000593,ENSSSAT00000000614,ENSSSAT00000000637,ENSSSAT00000000653	0.15	0.26	0.16	3.32	0.70	0.08	3.86	0.08	0.08	0.00	0.46	0.03
ENSSSAG00000000255	ENSSSAT00000000431,ENSSSAT00000013095,ENSSSAT00000162254	77.64	63.59	84.39	57.69	61.82	86.80	13.40	92.95	98.80	68.08	91.40	91.89
ENSSSAG00000000256	ENSSSAT00000000432,ENSSSAT00000000436,ENSSSAT00000129665	6.09	8.15	12.69	9.66	12.15	8.11	4.49	14.37	12.72	15.31	8.71	12.25
ENSSSAG00000000258	ENSSSAT00000000775,ENSSSAT00000000826,ENSSSAT00000000863,ENSSSAT00000000872,ENSSSAT00000161842,ENSSSAT00000186304,ENSSSAT00000194077,ENSSSAT00000210191,ENSSSAT00000242688	35.18	17.54	52.98	39.29	14.94	48.37	8.28	18.73	91.89	70.77	23.82	94.20
ENSSSAG00000000262	ENSSSAT00000000448,ENSSSAT00000000460,ENSSSAT00000074482	20.22	14.16	23.55	19.08	24.06	20.69	8.35	33.61	26.72	23.36	17.09	24.42
ENSSSAG00000000265	ENSSSAT00000000743,ENSSSAT00000000751,ENSSSAT00000000760,ENSSSAT00000000778,ENSSSAT00000000798,ENSSSAT00000000817,ENSSSAT00000000824,ENSSSAT00000000844,ENSSSAT00000000851	7.84	5.65	6.96	5.65	5.83	7.04	5.21	2.49	3.81	3.42	6.87	4.06
ENSSSAG00000000269	ENSSSAT00000000451	7.28	7.91	7.57	4.19	11.38	6.63	5.47	8.07	5.57	5.34	6.20	4.78
ENSSSAG00000000270	ENSSSAT00000000443,ENSSSAT00000214952	8.18	12.26	13.21	9.61	11.21	10.83	8.18	12.00	17.26	15.95	9.97	11.81
ENSSSAG00000000272	ENSSSAT00000196534	76.78	92.50	58.89	72.83	80.59	66.27	86.81	85.24	86.34	53.61	109.16	58.71
ENSSSAG00000000273	ENSSSAT00000000449,ENSSSAT00000204456	27.41	24.37	26.27	14.03	23.15	26.36	7.76	24.03	26.82	22.81	28.59	22.68
ENSSSAG00000000275	ENSSSAT00000000452	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38
ENSSSAG00000000276	ENSSSAT00000000600,ENSSSAT00000000623,ENSSSAT00000000635,ENSSSAT00000000641,ENSSSAT00000000666,ENSSSAT00000000689,ENSSSAT00000000706,ENSSSAT00000000734,ENSSSAT00000161621,ENSSSAT00000193413	20.37	21.32	20.55	19.11	20.01	21.29	12.96	23.21	23.37	24.93	18.34	24.72
ENSSSAG00000000277	ENSSSAT00000000465	21.72	23.04	23.56	16.83	23.40	26.91	14.97	26.21	20.72	25.30	21.13	21.80
ENSSSAG00000000278	ENSSSAT00000000488,ENSSSAT00000000518,ENSSSAT00000000521,ENSSSAT00000000523,ENSSSAT00000000528,ENSSSAT00000000542,ENSSSAT00000000544,ENSSSAT00000000547,ENSSSAT00000000550	20.04	6.99	120.44	84.10	0.41	125.62	1.72	191.35	147.00	121.49	12.37	146.85
ENSSSAG00000000279	ENSSSAT00000000463,ENSSSAT00000162528	8.30	7.95	13.94	11.96	8.43	10.80	7.13	9.51	11.22	9.23	7.41	11.68
ENSSSAG00000000280	ENSSSAT00000000462,ENSSSAT00000235200	0.00	0.72	0.07	3.16	0.29	0.00	7.80	0.07	0.00	0.00	0.00	0.00
ENSSSAG00000000282	ENSSSAT00000000482,ENSSSAT00000010359	5.28	4.01	6.27	5.50	5.72	8.97	2.63	8.25	8.85	9.75	4.58	6.97
ENSSSAG00000000283	ENSSSAT00000000472,ENSSSAT00000156906,ENSSSAT00000160517,ENSSSAT00000230184	1.97	1.55	2.54	1.61	2.55	2.39	0.66	2.88	2.31	2.61	2.20	2.86
ENSSSAG00000000284	ENSSSAT00000000534,ENSSSAT00000000562,ENSSSAT00000000578,ENSSSAT00000000597	20.41	19.49	25.00	22.41	20.36	28.06	16.95	25.68	25.04	24.80	21.16	25.69
ENSSSAG00000000286	ENSSSAT00000000475	0.17	0.00	0.41	0.33	0.00	0.59	0.00	0.22	0.70	0.71	0.00	0.69
ENSSSAG00000000287	ENSSSAT00000000479,ENSSSAT00000113963,ENSSSAT00000209182,ENSSSAT00000230597	78.97	82.05	76.26	42.68	60.12	73.80	36.89	67.65	64.31	73.28	71.51	66.87
ENSSSAG00000000289	ENSSSAT00000000483	0.60	0.50	0.00	0.19	0.60	0.23	0.11	0.25	0.00	0.10	0.11	0.20
ENSSSAG00000000290	ENSSSAT00000000484,ENSSSAT00000167898,ENSSSAT00000177254,ENSSSAT00000180291,ENSSSAT00000195702,ENSSSAT00000202141,ENSSSAT00000223433,ENSSSAT00000239624	4.74	3.50	4.43	5.52	3.59	5.43	2.38	5.98	6.44	6.94	3.44	6.44
ENSSSAG00000000299	ENSSSAT00000000577,ENSSSAT00000000594,ENSSSAT00000000604,ENSSSAT00000000606,ENSSSAT00000000613,ENSSSAT00000000622,ENSSSAT00000186217	19.34	16.17	18.86	15.17	16.43	23.73	9.09	24.81	24.96	19.56	20.98	22.52
ENSSSAG00000000303	ENSSSAT00000000503,ENSSSAT00000252738	3.69	5.78	6.07	3.08	4.43	3.34	3.46	2.07	3.24	2.90	3.44	3.39
ENSSSAG00000000305	ENSSSAT00000000498,ENSSSAT00000000505	21.92	26.96	23.72	18.53	29.39	24.20	15.19	22.10	28.29	33.02	22.22	30.49
ENSSSAG00000000307	ENSSSAT00000000508	3.16	6.68	1.82	1.86	5.99	1.24	7.55	1.17	1.02	1.20	2.06	1.82
ENSSSAG00000000312	ENSSSAT00000000536	0.73	1.39	0.37	0.20	0.42	1.67	0.00	0.00	0.21	0.00	0.36	0.00
ENSSSAG00000000315	ENSSSAT00000076247,ENSSSAT00000236702,ENSSSAT00000246857	4.41	4.33	3.91	2.80	6.28	2.34	6.68	0.35	0.89	1.13	4.71	1.09
ENSSSAG00000000316	ENSSSAT00000000535,ENSSSAT00000000545	4.06	5.80	4.78	1.48	2.99	5.48	39.91	0.83	2.67	1.94	7.53	2.32
ENSSSAG00000000317	ENSSSAT00000000816,ENSSSAT00000000840,ENSSSAT00000000859	3.46	3.73	3.50	10.37	4.99	2.81	14.57	2.11	1.66	2.32	3.30	1.72
ENSSSAG00000000318	ENSSSAT00000000672,ENSSSAT00000000694,ENSSSAT00000000780,ENSSSAT00000000812	10.29	6.34	12.66	9.36	7.12	13.83	3.09	14.53	10.16	12.67	9.88	20.47
ENSSSAG00000000319	ENSSSAT00000223397	6.66	9.62	7.79	1.90	9.03	5.62	0.25	0.68	3.27	3.27	13.33	3.31
ENSSSAG00000000320	ENSSSAT00000000546,ENSSSAT00000000569,ENSSSAT00000000599,ENSSSAT00000000609,ENSSSAT00000199395,ENSSSAT00000230897	3.42	2.65	2.69	5.85	3.62	2.35	10.72	3.24	3.44	2.36	3.99	3.96
ENSSSAG00000000322	ENSSSAT00000000533,ENSSSAT00000000555,ENSSSAT00000185967	2.48	2.15	2.78	3.00	0.74	2.50	2.41	2.65	2.45	4.98	2.06	4.68
ENSSSAG00000000326	ENSSSAT00000000561,ENSSSAT00000072327	15.53	12.18	11.84	7.99	12.79	15.29	5.97	14.79	11.86	9.43	15.36	10.09
