gene_id	transcript_id(s)	AtlanticSalmon_RNA_Brain_Immature_Female_R1	AtlanticSalmon_RNA_Brain_Immature_Female_R2	AtlanticSalmon_RNA_Brain_Immature_Female_R3	AtlanticSalmon_RNA_Brain_Immature_Male_R1	AtlanticSalmon_RNA_Brain_Immature_Male_R2	AtlanticSalmon_RNA_Brain_Immature_Male_R3	AtlanticSalmon_RNA_Brain_Mature_Female_R1	AtlanticSalmon_RNA_Brain_Mature_Female_R2	AtlanticSalmon_RNA_Brain_Mature_Female_R3	AtlanticSalmon_RNA_Brain_Mature_Male_R1	AtlanticSalmon_RNA_Brain_Mature_Male_R2	AtlanticSalmon_RNA_Brain_Mature_Male_R3
ENSSSAG00000104096	ENSSSAT00000178700,ENSSSAT00000199933,ENSSSAT00000221476,ENSSSAT00000226572,ENSSSAT00000228826	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104097	ENSSSAT00000251357	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104098	ENSSSAT00000107294	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104099	ENSSSAT00000176918,ENSSSAT00000211004,ENSSSAT00000225277,ENSSSAT00000229091	94.08	79.46	40.51	20.75	26.56	46.31	14.62	20.84	26.25	25.26	45.71	22.86
ENSSSAG00000104100	ENSSSAT00000241282	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104101	ENSSSAT00000180753,ENSSSAT00000195421	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104102	ENSSSAT00000163587	2.92	2.32	6.05	2.63	2.80	5.26	2.01	6.17	3.75	6.26	3.71	3.95
ENSSSAG00000104103	ENSSSAT00000190036	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104104	ENSSSAT00000194456	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104105	ENSSSAT00000071869,ENSSSAT00000170885,ENSSSAT00000209100,ENSSSAT00000211685,ENSSSAT00000231355	0.40	0.23	0.64	0.83	0.33	0.27	1.31	0.26	0.89	0.00	0.22	0.84
ENSSSAG00000104106	ENSSSAT00000162884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104107	ENSSSAT00000229596	0.45	0.39	0.34	0.40	0.51	0.18	0.45	0.64	0.78	0.30	0.43	0.22
ENSSSAG00000104108	ENSSSAT00000245062	0.00	0.00	0.00	0.00	0.53	0.30	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104109	ENSSSAT00000198778	0.64	0.46	0.59	0.04	0.41	0.42	2.23	0.00	0.09	0.00	0.20	0.06
ENSSSAG00000104110	ENSSSAT00000206931,ENSSSAT00000223381	2.12	2.46	2.37	1.81	2.49	2.32	1.28	1.82	0.84	1.13	1.94	2.99
ENSSSAG00000104111	ENSSSAT00000178037,ENSSSAT00000209242	11.48	15.51	10.78	11.17	15.52	10.70	9.13	9.29	10.92	12.79	9.29	12.80
ENSSSAG00000104112	ENSSSAT00000177487	0.33	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104113	ENSSSAT00000185343	0.65	0.89	0.50	0.63	0.93	0.62	0.25	0.18	0.29	0.21	0.09	0.23
ENSSSAG00000104114	ENSSSAT00000162768,ENSSSAT00000178492,ENSSSAT00000195716,ENSSSAT00000218052,ENSSSAT00000240825	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104115	ENSSSAT00000062812	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00
