gene_id	transcript_id(s)	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R3
ENSSSAG00000107945	ENSSSAT00000161163,ENSSSAT00000179431,ENSSSAT00000181777,ENSSSAT00000188748,ENSSSAT00000196084	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107946	ENSSSAT00000219445	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
ENSSSAG00000107947	ENSSSAT00000057715,ENSSSAT00000062241,ENSSSAT00000169985,ENSSSAT00000188366,ENSSSAT00000188887,ENSSSAT00000192875,ENSSSAT00000196367,ENSSSAT00000205866,ENSSSAT00000216079,ENSSSAT00000221918	0.01	0.21	0.04	0.08	0.34	0.20	0.07	0.14	0.24	0.10	0.02	0.11
ENSSSAG00000107948	ENSSSAT00000194824	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.11	0.00	0.00
ENSSSAG00000107949	ENSSSAT00000236876	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00
ENSSSAG00000107950	ENSSSAT00000172798,ENSSSAT00000197727	2.00	3.62	0.80	1.90	1.00	0.52	0.00	0.75	0.51	2.77	1.01	0.00
ENSSSAG00000107951	ENSSSAT00000251362,ENSSSAT00000253324	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.04	0.00
ENSSSAG00000107952	ENSSSAT00000223802,ENSSSAT00000229290	0.57	0.79	0.28	0.86	0.55	0.68	0.24	0.34	0.40	0.34	0.08	0.51
ENSSSAG00000107953	ENSSSAT00000180314	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107954	ENSSSAT00000165832	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
