gene_id	transcript_id(s)	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R3
ENSSSAG00000000040	ENSSSAT00000000040,ENSSSAT00000158143,ENSSSAT00000197579,ENSSSAT00000219342	12.41	11.19	5.90	7.45	11.04	8.70	9.42	6.98	12.53	10.07	8.00	10.34
ENSSSAG00000000041	ENSSSAT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000044	ENSSSAT00000000051	0.06	0.11	0.11	0.09	0.02	0.06	0.13	0.42	0.28	0.18	0.03	0.56
ENSSSAG00000000048	ENSSSAT00000000056,ENSSSAT00000000058,ENSSSAT00000000059,ENSSSAT00000000060,ENSSSAT00000233067	5.17	4.62	4.47	3.84	4.79	3.82	4.25	4.12	6.22	4.94	4.00	4.03
ENSSSAG00000000049	ENSSSAT00000000061	7.34	8.59	4.45	8.05	12.51	11.73	12.78	10.51	14.23	10.82	5.87	12.94
ENSSSAG00000000051	ENSSSAT00000000064,ENSSSAT00000181079,ENSSSAT00000194671,ENSSSAT00000200218,ENSSSAT00000235262,ENSSSAT00000239238	15.84	12.14	14.94	11.65	17.80	14.34	12.43	16.03	15.14	19.27	12.53	16.19
ENSSSAG00000000052	ENSSSAT00000000066,ENSSSAT00000230849,ENSSSAT00000242780	0.04	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.79	0.01	0.00
ENSSSAG00000000055	ENSSSAT00000000069	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000057	ENSSSAT00000000071,ENSSSAT00000000072	24.51	30.79	23.50	25.58	30.74	26.94	22.31	25.72	40.89	36.67	20.08	42.15
ENSSSAG00000000059	ENSSSAT00000000082,ENSSSAT00000000085	0.51	0.74	0.16	0.12	0.36	0.38	0.37	0.16	0.30	0.54	0.14	0.47
ENSSSAG00000000063	ENSSSAT00000000093,ENSSSAT00000178006,ENSSSAT00000196236	4.11	6.29	2.89	5.02	5.89	4.22	5.36	5.52	5.53	5.48	3.51	5.34
ENSSSAG00000000065	ENSSSAT00000000097,ENSSSAT00000000098,ENSSSAT00000166332,ENSSSAT00000205880,ENSSSAT00000251405	0.00	0.30	0.00	2.04	0.00	4.46	5.59	0.29	12.00	0.00	3.48	4.71
ENSSSAG00000000067	ENSSSAT00000191367	0.37	0.28	0.00	0.11	0.52	0.17	0.00	0.35	0.30	0.15	0.10	0.20
ENSSSAG00000000069	ENSSSAT00000000102,ENSSSAT00000000103,ENSSSAT00000188433,ENSSSAT00000236380	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000073	ENSSSAT00000000108,ENSSSAT00000000109,ENSSSAT00000159604,ENSSSAT00000173271,ENSSSAT00000185150,ENSSSAT00000190668,ENSSSAT00000253112,ENSSSAT00000253728	0.00	0.14	0.00	0.06	0.13	0.06	0.03	0.06	0.15	0.09	0.00	0.19
ENSSSAG00000000075	ENSSSAT00000000111,ENSSSAT00000000112,ENSSSAT00000000113,ENSSSAT00000000114,ENSSSAT00000000115,ENSSSAT00000000116,ENSSSAT00000000117,ENSSSAT00000000118	3.21	1.65	1.13	1.45	3.27	2.47	1.89	2.28	2.73	2.88	1.30	2.74
ENSSSAG00000000076	ENSSSAT00000000119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000077	ENSSSAT00000000120,ENSSSAT00000000121,ENSSSAT00000000122,ENSSSAT00000000123	2.64	7.93	3.78	2.67	6.01	5.21	6.38	11.76	7.83	6.49	3.46	7.69
ENSSSAG00000000078	ENSSSAT00000000125	40.19	35.27	32.62	42.10	37.50	37.50	36.02	27.46	37.11	39.18	32.86	29.60
ENSSSAG00000000079	ENSSSAT00000000126,ENSSSAT00000228057	9.72	9.15	8.34	6.48	6.08	5.62	6.77	8.78	6.94	7.87	6.86	6.58
ENSSSAG00000000080	ENSSSAT00000000127,ENSSSAT00000000128,ENSSSAT00000000129	17.33	17.66	12.16	10.20	16.08	14.81	12.78	12.97	18.02	16.92	9.41	14.23
ENSSSAG00000000082	ENSSSAT00000000133,ENSSSAT00000000134,ENSSSAT00000000135	1.84	1.78	1.04	0.76	2.82	1.65	1.81	1.38	1.52	1.86	0.71	2.60
ENSSSAG00000000083	ENSSSAT00000000136	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000085	ENSSSAT00000000138,ENSSSAT00000181392	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000089	ENSSSAT00000108939,ENSSSAT00000162697,ENSSSAT00000244545	0.27	0.39	0.10	0.10	1.10	0.19	0.23	0.20	0.15	0.86	0.15	0.46
ENSSSAG00000000090	ENSSSAT00000000146,ENSSSAT00000000147,ENSSSAT00000000148,ENSSSAT00000232459	13.98	10.90	17.44	13.18	16.88	16.96	10.54	9.96	20.59	15.95	11.30	17.68
ENSSSAG00000000091	ENSSSAT00000000150,ENSSSAT00000108728,ENSSSAT00000186088	9.56	9.18	3.54	2.50	7.33	6.92	5.41	4.23	8.36	7.07	3.44	6.93
ENSSSAG00000000094	ENSSSAT00000000154,ENSSSAT00000000156,ENSSSAT00000000157,ENSSSAT00000000158,ENSSSAT00000098469,ENSSSAT00000174826,ENSSSAT00000240056	0.09	0.07	0.05	0.00	0.09	0.02	0.10	0.01	0.04	0.10	0.04	0.04
ENSSSAG00000000096	ENSSSAT00000000160,ENSSSAT00000000161,ENSSSAT00000000162,ENSSSAT00000222234	28.00	24.72	29.57	24.41	24.38	20.47	28.55	25.19	21.67	30.12	20.12	20.62
ENSSSAG00000000097	ENSSSAT00000000163,ENSSSAT00000163376	0.00	0.10	0.00	0.02	0.05	0.00	0.04	0.12	0.00	0.00	0.00	0.03
ENSSSAG00000000100	ENSSSAT00000000167	0.00	0.00	0.01	0.01	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000105	ENSSSAT00000000173	32.39	31.57	31.96	27.86	31.88	24.66	31.86	27.15	33.24	36.15	23.34	35.62
ENSSSAG00000000106	ENSSSAT00000000174	8.57	4.67	3.37	5.52	5.82	3.86	5.64	6.33	5.87	6.42	1.53	5.83
ENSSSAG00000000108	ENSSSAT00000000177,ENSSSAT00000188880	5.45	4.48	4.56	5.57	5.32	6.84	4.22	2.93	4.09	4.96	6.16	4.12
ENSSSAG00000000109	ENSSSAT00000000178	0.17	0.10	0.28	0.22	0.14	0.47	1.07	0.70	0.52	0.36	0.09	0.48
ENSSSAG00000000110	ENSSSAT00000000188,ENSSSAT00000000196,ENSSSAT00000151894,ENSSSAT00000151911	0.56	0.37	0.53	0.58	0.72	0.82	0.60	1.13	0.85	0.67	0.43	0.55
ENSSSAG00000000113	ENSSSAT00000000182,ENSSSAT00000000184,ENSSSAT00000110452	0.15	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000114	ENSSSAT00000000183,ENSSSAT00000000186,ENSSSAT00000000195,ENSSSAT00000000199,ENSSSAT00000064110	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000115	ENSSSAT00000000185	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000122	ENSSSAT00000000197	0.36	0.61	0.64	0.67	0.44	0.88	1.87	0.51	1.11	0.92	0.28	0.36
ENSSSAG00000000128	ENSSSAT00000000228,ENSSSAT00000000231,ENSSSAT00000000236,ENSSSAT00000193833	66.90	68.58	70.07	55.69	62.08	58.53	55.36	56.07	60.11	57.05	50.83	68.55
ENSSSAG00000000130	ENSSSAT00000000206,ENSSSAT00000000213,ENSSSAT00000000219,ENSSSAT00000110862,ENSSSAT00000110903,ENSSSAT00000110920,ENSSSAT00000228773	0.16	0.00	0.26	0.00	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.00
ENSSSAG00000000131	ENSSSAT00000000209,ENSSSAT00000000210,ENSSSAT00000000211	5.84	9.85	12.42	9.64	6.38	7.63	8.04	8.68	8.21	10.77	8.80	6.14
ENSSSAG00000000132	ENSSSAT00000000205	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.04	0.00	0.02
ENSSSAG00000000133	ENSSSAT00000000208	0.62	2.18	0.89	0.93	1.32	0.45	0.35	0.64	0.47	1.08	0.37	0.05
ENSSSAG00000000136	ENSSSAT00000000216	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000137	ENSSSAT00000000234	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000139	ENSSSAT00000000274,ENSSSAT00000189114,ENSSSAT00000196793,ENSSSAT00000241898,ENSSSAT00000252542	17.06	7.96	5.93	5.67	19.83	9.57	8.36	8.33	11.52	16.10	6.43	14.35
ENSSSAG00000000140	ENSSSAT00000000238	8.61	9.77	3.95	4.33	8.30	6.34	6.92	7.32	7.30	8.21	3.92	6.26
ENSSSAG00000000141	ENSSSAT00000000250,ENSSSAT00000000260,ENSSSAT00000000266,ENSSSAT00000000267	2.28	1.27	3.74	1.95	2.04	2.25	1.37	1.97	1.51	3.25	2.21	3.63
ENSSSAG00000000142	ENSSSAT00000000227,ENSSSAT00000000229,ENSSSAT00000000232,ENSSSAT00000201284	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000145	ENSSSAT00000000230	1.18	0.79	0.85	0.41	1.66	0.93	1.34	0.00	1.44	0.00	1.14	1.31
ENSSSAG00000000146	ENSSSAT00000000235,ENSSSAT00000000246	0.00	0.00	0.12	0.00	0.00	0.03	0.04	0.05	0.00	0.00	0.04	0.00
ENSSSAG00000000147	ENSSSAT00000000237	4.98	1.65	2.95	4.21	5.06	3.12	2.85	1.77	2.58	4.14	2.90	3.75
ENSSSAG00000000149	ENSSSAT00000000242,ENSSSAT00000221085	8.35	8.76	7.92	5.83	8.88	7.26	7.87	9.73	10.36	8.74	5.67	8.04
ENSSSAG00000000151	ENSSSAT00000000245,ENSSSAT00000166544	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000152	ENSSSAT00000000248,ENSSSAT00000165747,ENSSSAT00000235919	0.60	0.30	0.33	0.14	0.25	0.38	0.40	0.33	0.50	0.83	0.20	0.60
ENSSSAG00000000153	ENSSSAT00000000251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000154	ENSSSAT00000000249	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000156	ENSSSAT00000000254,ENSSSAT00000011083,ENSSSAT00000241690,ENSSSAT00000248262	0.23	0.00	0.75	0.00	0.00	0.00	0.08	2.70	0.00	0.29	0.00	0.00
ENSSSAG00000000157	ENSSSAT00000000270,ENSSSAT00000000275,ENSSSAT00000000294,ENSSSAT00000000303	43.23	116.53	14.40	42.15	65.48	33.20	18.49	13.74	47.24	13.23	6.76	22.59
ENSSSAG00000000159	ENSSSAT00000000256	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000160	ENSSSAT00000000279,ENSSSAT00000000281,ENSSSAT00000175516,ENSSSAT00000199602,ENSSSAT00000200986,ENSSSAT00000232142,ENSSSAT00000232828	0.00	0.00	0.00	0.00	0.07	0.00	0.04	0.00	0.00	0.06	0.05	0.00
ENSSSAG00000000161	ENSSSAT00000000263	11.14	9.37	9.71	6.38	7.35	4.35	6.95	8.24	8.62	9.27	6.81	8.33
ENSSSAG00000000163	ENSSSAT00000000310,ENSSSAT00000000317,ENSSSAT00000000335,ENSSSAT00000000352,ENSSSAT00000000375,ENSSSAT00000000400,ENSSSAT00000000407,ENSSSAT00000000411	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.02	0.00
ENSSSAG00000000164	ENSSSAT00000000261	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000165	ENSSSAT00000000277,ENSSSAT00000133002,ENSSSAT00000151290,ENSSSAT00000199737,ENSSSAT00000207168,ENSSSAT00000226744	0.05	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000166	ENSSSAT00000000268,ENSSSAT00000018778	28.75	28.94	23.90	21.15	24.38	14.40	20.01	29.40	27.17	24.53	14.56	30.40
ENSSSAG00000000167	ENSSSAT00000000271	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000169	ENSSSAT00000000282,ENSSSAT00000177965	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000170	ENSSSAT00000000285	5.00	5.57	2.51	2.95	5.12	4.17	4.35	3.13	5.03	5.28	2.78	4.55
ENSSSAG00000000172	ENSSSAT00000000348,ENSSSAT00000000362,ENSSSAT00000254605	7.71	6.62	5.71	6.03	9.31	7.24	7.99	7.10	9.24	10.26	4.58	9.92
ENSSSAG00000000174	ENSSSAT00000000305,ENSSSAT00000000307,ENSSSAT00000000311,ENSSSAT00000000321,ENSSSAT00000000329,ENSSSAT00000000331	0.14	0.14	0.08	0.00	0.05	0.06	0.07	0.71	0.22	0.05	0.00	0.15
ENSSSAG00000000176	ENSSSAT00000000319,ENSSSAT00000000338	0.04	0.03	0.03	0.05	0.12	0.06	0.21	0.00	0.03	0.00	0.04	0.36
ENSSSAG00000000177	ENSSSAT00000000288,ENSSSAT00000000292	42.34	56.71	35.08	34.84	46.40	26.74	40.18	54.04	43.11	49.96	25.33	45.70
ENSSSAG00000000179	ENSSSAT00000000290	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000181	ENSSSAT00000000349,ENSSSAT00000128223	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000186	ENSSSAT00000000354,ENSSSAT00000237697	0.06	0.23	0.00	0.00	0.48	0.33	0.65	0.94	0.19	0.56	0.16	0.45
ENSSSAG00000000188	ENSSSAT00000000384,ENSSSAT00000000395,ENSSSAT00000000421,ENSSSAT00000000427,ENSSSAT00000065933	0.68	0.83	0.28	0.22	0.80	0.63	0.57	0.42	1.10	0.75	0.21	0.86
ENSSSAG00000000189	ENSSSAT00000000308	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000191	ENSSSAT00000250669	0.14	0.28	0.08	0.11	0.19	0.04	0.14	0.09	0.05	0.20	0.20	0.16
ENSSSAG00000000192	ENSSSAT00000000313,ENSSSAT00000171887	2.30	2.70	1.77	2.01	2.35	2.46	2.76	2.40	2.18	2.68	1.50	2.37
ENSSSAG00000000193	ENSSSAT00000000315	10.29	5.95	8.05	6.02	6.51	3.29	6.06	6.76	7.51	7.38	6.43	5.51
ENSSSAG00000000195	ENSSSAT00000000357	1.96	2.11	1.20	1.64	2.63	1.64	1.66	2.03	2.82	1.29	1.34	1.55
ENSSSAG00000000199	ENSSSAT00000000328,ENSSSAT00000000330	25.97	24.85	15.17	26.57	29.38	20.43	22.82	22.92	31.26	27.19	14.66	18.87
ENSSSAG00000000202	ENSSSAT00000000345,ENSSSAT00000076212,ENSSSAT00000076217	4.24	4.24	4.39	3.20	3.83	3.34	5.20	4.67	6.00	5.49	2.12	8.34
ENSSSAG00000000205	ENSSSAT00000000353,ENSSSAT00000000364,ENSSSAT00000000388,ENSSSAT00000000404,ENSSSAT00000000410	0.04	0.02	0.00	0.00	0.16	0.05	0.03	0.06	0.02	0.00	0.01	0.06
ENSSSAG00000000210	ENSSSAT00000000360,ENSSSAT00000087058,ENSSSAT00000178940,ENSSSAT00000222954,ENSSSAT00000224833,ENSSSAT00000232240,ENSSSAT00000241725	3.15	4.77	3.19	2.68	5.70	4.90	3.74	3.35	4.44	6.82	3.80	6.17
ENSSSAG00000000213	ENSSSAT00000000389,ENSSSAT00000201480	2.10	1.87	4.72	4.11	4.56	6.28	6.51	7.20	5.36	7.21	5.39	8.11
ENSSSAG00000000214	ENSSSAT00000000358,ENSSSAT00000163057,ENSSSAT00000192115	7.82	8.48	8.30	2.92	22.07	3.87	6.63	3.36	5.40	18.80	0.00	7.43
ENSSSAG00000000215	ENSSSAT00000000787,ENSSSAT00000000811,ENSSSAT00000000825,ENSSSAT00000000907,ENSSSAT00000000939,ENSSSAT00000000969,ENSSSAT00000174501	3.25	3.35	2.41	1.04	3.37	3.15	3.54	3.21	4.70	4.35	1.06	3.89
ENSSSAG00000000220	ENSSSAT00000000366	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000221	ENSSSAT00000000368	2.67	0.90	22.30	27.82	4.08	38.99	8.80	4.50	0.53	1.73	13.23	2.29
ENSSSAG00000000227	ENSSSAT00000000381,ENSSSAT00000203818	5.43	7.05	3.94	4.77	7.12	4.80	4.79	5.10	6.41	7.04	4.21	7.89
ENSSSAG00000000230	ENSSSAT00000000383	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48
ENSSSAG00000000233	ENSSSAT00000000401	1.35	0.53	1.50	0.43	1.58	0.61	0.44	1.58	1.17	2.87	0.54	3.63
ENSSSAG00000000236	ENSSSAT00000000394	0.11	0.10	0.11	0.22	0.21	0.06	0.08	0.04	0.11	0.38	0.00	0.37
ENSSSAG00000000238	ENSSSAT00000000539,ENSSSAT00000000571,ENSSSAT00000000583,ENSSSAT00000000591	4.58	5.57	3.17	3.79	5.60	4.47	5.16	4.73	6.37	5.37	3.03	4.65
ENSSSAG00000000240	ENSSSAT00000000455,ENSSSAT00000000464,ENSSSAT00000000470,ENSSSAT00000000473,ENSSSAT00000128949	4.76	3.31	3.36	2.68	3.78	3.22	3.77	3.42	4.47	4.56	2.81	4.23
ENSSSAG00000000241	ENSSSAT00000000429,ENSSSAT00000000437	3.87	6.84	2.49	2.74	3.83	2.84	3.15	3.31	4.60	3.38	1.70	3.33
ENSSSAG00000000242	ENSSSAT00000000397,ENSSSAT00000000408,ENSSSAT00000000420	5.13	5.88	4.29	2.25	6.27	6.42	7.44	5.50	10.83	7.74	3.70	7.55
ENSSSAG00000000243	ENSSSAT00000000398,ENSSSAT00000000409,ENSSSAT00000000422,ENSSSAT00000230045,ENSSSAT00000240909	1.07	1.30	1.20	0.52	1.69	1.76	1.82	2.26	2.58	2.96	0.94	3.16
ENSSSAG00000000244	ENSSSAT00000000399	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000000248	ENSSSAT00000000406,ENSSSAT00000221050,ENSSSAT00000231671,ENSSSAT00000237215	8.20	4.79	11.18	11.51	11.94	17.91	8.70	7.57	7.34	9.04	9.42	10.75
ENSSSAG00000000249	ENSSSAT00000000419,ENSSSAT00000000423,ENSSSAT00000000428	6.14	6.47	4.78	4.49	5.66	4.59	4.97	6.13	5.68	7.71	3.52	5.73
ENSSSAG00000000250	ENSSSAT00000000467,ENSSSAT00000000480,ENSSSAT00000010438,ENSSSAT00000010454,ENSSSAT00000166157,ENSSSAT00000181475,ENSSSAT00000186973,ENSSSAT00000239989	0.11	0.03	0.08	0.06	0.05	0.01	0.08	0.13	0.02	0.08	0.05	0.10
ENSSSAG00000000252	ENSSSAT00000000457,ENSSSAT00000000510,ENSSSAT00000000527,ENSSSAT00000000593,ENSSSAT00000000614,ENSSSAT00000000637,ENSSSAT00000000653	0.03	0.06	0.01	0.01	0.03	0.02	0.04	0.01	0.05	0.17	0.00	0.09
ENSSSAG00000000255	ENSSSAT00000000431,ENSSSAT00000013095,ENSSSAT00000162254	13.78	12.38	6.90	9.83	15.52	9.38	12.29	12.86	13.72	15.20	6.27	12.11
ENSSSAG00000000256	ENSSSAT00000000432,ENSSSAT00000000436,ENSSSAT00000129665	7.21	7.98	4.25	4.93	8.50	7.56	6.25	6.95	7.44	7.53	3.85	7.06
ENSSSAG00000000258	ENSSSAT00000000775,ENSSSAT00000000826,ENSSSAT00000000863,ENSSSAT00000000872,ENSSSAT00000161842,ENSSSAT00000186304,ENSSSAT00000194077,ENSSSAT00000210191,ENSSSAT00000242688	6.30	5.83	6.73	3.89	7.10	4.56	5.81	5.02	6.51	9.42	3.80	5.87
ENSSSAG00000000262	ENSSSAT00000000448,ENSSSAT00000000460,ENSSSAT00000074482	15.91	11.77	13.37	12.49	14.74	12.17	13.95	16.18	20.39	17.39	8.08	16.76
ENSSSAG00000000265	ENSSSAT00000000743,ENSSSAT00000000751,ENSSSAT00000000760,ENSSSAT00000000778,ENSSSAT00000000798,ENSSSAT00000000817,ENSSSAT00000000824,ENSSSAT00000000844,ENSSSAT00000000851	0.98	0.82	0.53	0.20	1.31	0.60	1.49	1.16	0.44	0.86	0.31	1.17
ENSSSAG00000000269	ENSSSAT00000000451	4.91	4.32	4.53	2.49	3.15	3.58	2.94	2.70	4.79	4.83	2.59	2.60
ENSSSAG00000000270	ENSSSAT00000000443,ENSSSAT00000214952	8.62	9.45	7.86	7.94	7.91	8.13	6.79	8.26	8.84	8.92	7.24	8.83
ENSSSAG00000000272	ENSSSAT00000196534	64.24	72.26	38.20	61.10	55.36	59.88	70.49	91.26	97.74	47.78	46.25	50.22
ENSSSAG00000000273	ENSSSAT00000000449,ENSSSAT00000204456	9.55	11.65	12.04	8.59	11.10	8.94	7.75	10.87	9.56	10.46	7.18	8.90
ENSSSAG00000000275	ENSSSAT00000000452	0.00	0.17	0.00	0.00	0.35	0.90	0.50	0.00	0.00	0.94	0.00	0.00
ENSSSAG00000000276	ENSSSAT00000000600,ENSSSAT00000000623,ENSSSAT00000000635,ENSSSAT00000000641,ENSSSAT00000000666,ENSSSAT00000000689,ENSSSAT00000000706,ENSSSAT00000000734,ENSSSAT00000161621,ENSSSAT00000193413	14.26	11.86	9.66	8.45	12.22	9.68	10.48	9.69	12.16	12.59	7.81	14.83
ENSSSAG00000000277	ENSSSAT00000000465	12.86	13.23	13.92	10.78	11.74	8.42	10.82	12.27	9.86	10.67	7.03	11.59
ENSSSAG00000000278	ENSSSAT00000000488,ENSSSAT00000000518,ENSSSAT00000000521,ENSSSAT00000000523,ENSSSAT00000000528,ENSSSAT00000000542,ENSSSAT00000000544,ENSSSAT00000000547,ENSSSAT00000000550	2.37	2.00	1.30	1.71	5.28	3.60	4.45	3.49	4.41	3.64	1.23	6.59
ENSSSAG00000000279	ENSSSAT00000000463,ENSSSAT00000162528	2.87	3.71	1.27	1.47	2.81	1.85	2.72	2.38	3.33	3.53	0.96	2.23
ENSSSAG00000000280	ENSSSAT00000000462,ENSSSAT00000235200	0.51	0.88	0.49	0.67	0.48	0.84	0.73	0.91	2.61	0.60	0.00	0.67
ENSSSAG00000000282	ENSSSAT00000000482,ENSSSAT00000010359	3.80	5.90	5.76	3.89	5.28	4.74	5.15	5.87	5.11	5.72	3.52	4.23
ENSSSAG00000000283	ENSSSAT00000000472,ENSSSAT00000156906,ENSSSAT00000160517,ENSSSAT00000230184	0.19	0.28	0.33	0.56	0.67	0.59	0.74	0.82	0.77	0.45	0.25	0.68
ENSSSAG00000000284	ENSSSAT00000000534,ENSSSAT00000000562,ENSSSAT00000000578,ENSSSAT00000000597	37.64	33.86	42.44	39.32	26.78	36.47	29.97	27.61	27.47	30.30	38.03	29.27
ENSSSAG00000000286	ENSSSAT00000000475	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00
ENSSSAG00000000287	ENSSSAT00000000479,ENSSSAT00000113963,ENSSSAT00000209182,ENSSSAT00000230597	65.20	50.78	50.36	32.13	43.06	28.97	40.80	38.87	36.63	44.05	40.50	37.62
ENSSSAG00000000289	ENSSSAT00000000483	0.00	0.00	0.00	0.02	0.00	0.14	0.00	0.00	0.00	0.00	0.10	0.00
ENSSSAG00000000290	ENSSSAT00000000484,ENSSSAT00000167898,ENSSSAT00000177254,ENSSSAT00000180291,ENSSSAT00000195702,ENSSSAT00000202141,ENSSSAT00000223433,ENSSSAT00000239624	5.91	4.28	3.89	3.37	4.37	3.62	3.42	3.66	3.48	4.29	3.60	3.96
ENSSSAG00000000299	ENSSSAT00000000577,ENSSSAT00000000594,ENSSSAT00000000604,ENSSSAT00000000606,ENSSSAT00000000613,ENSSSAT00000000622,ENSSSAT00000186217	4.65	4.88	4.20	4.11	6.81	5.36	3.67	6.79	5.58	6.49	3.81	6.64
ENSSSAG00000000303	ENSSSAT00000000503,ENSSSAT00000252738	7.64	6.29	6.46	4.80	4.64	3.19	3.30	5.34	5.56	7.94	4.52	4.27
ENSSSAG00000000305	ENSSSAT00000000498,ENSSSAT00000000505	24.74	28.14	24.74	23.16	31.67	30.34	22.46	21.63	35.01	23.72	20.40	29.63
ENSSSAG00000000307	ENSSSAT00000000508	6.00	7.66	3.24	4.18	7.73	5.41	5.96	6.48	8.54	7.13	3.33	5.93
ENSSSAG00000000312	ENSSSAT00000000536	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.13	0.00	0.00	0.20
ENSSSAG00000000315	ENSSSAT00000076247,ENSSSAT00000236702,ENSSSAT00000246857	0.09	0.36	0.29	0.16	0.81	0.22	0.44	0.07	0.55	0.51	0.07	0.62
ENSSSAG00000000316	ENSSSAT00000000535,ENSSSAT00000000545	0.00	0.24	0.12	0.06	0.00	0.00	0.19	0.26	0.38	0.32	0.05	0.33
ENSSSAG00000000317	ENSSSAT00000000816,ENSSSAT00000000840,ENSSSAT00000000859	4.79	6.19	2.56	3.84	5.03	3.06	3.62	4.24	6.14	5.75	3.31	5.28
ENSSSAG00000000318	ENSSSAT00000000672,ENSSSAT00000000694,ENSSSAT00000000780,ENSSSAT00000000812	3.94	2.90	2.13	2.46	6.34	4.11	3.67	4.43	3.35	4.52	2.88	5.95
ENSSSAG00000000319	ENSSSAT00000223397	0.44	0.61	0.44	0.35	0.77	0.65	0.71	0.96	0.70	0.46	0.06	0.25
ENSSSAG00000000320	ENSSSAT00000000546,ENSSSAT00000000569,ENSSSAT00000000599,ENSSSAT00000000609,ENSSSAT00000199395,ENSSSAT00000230897	22.80	23.72	23.20	20.03	26.94	25.48	38.88	29.16	40.84	33.83	28.20	32.61
ENSSSAG00000000322	ENSSSAT00000000533,ENSSSAT00000000555,ENSSSAT00000185967	10.44	10.59	9.84	10.09	9.56	7.34	7.19	6.46	7.03	10.79	9.63	7.84
ENSSSAG00000000326	ENSSSAT00000000561,ENSSSAT00000072327	6.65	5.03	5.00	4.10	4.46	5.84	3.78	3.02	6.84	4.88	6.24	6.04
