gene_id	transcript_id(s)	AtlanticSalmon_RNA_Gill_Immature_Female_R1	AtlanticSalmon_RNA_Gill_Immature_Female_R2	AtlanticSalmon_RNA_Gill_Immature_Female_R3	AtlanticSalmon_RNA_Gill_Immature_Male_R1	AtlanticSalmon_RNA_Gill_Immature_Male_R2	AtlanticSalmon_RNA_Gill_Immature_Male_R3	AtlanticSalmon_RNA_Gill_Mature_Female_R1	AtlanticSalmon_RNA_Gill_Mature_Female_R2	AtlanticSalmon_RNA_Gill_Mature_Female_R3	AtlanticSalmon_RNA_Gill_Mature_Male_R1	AtlanticSalmon_RNA_Gill_Mature_Male_R2	AtlanticSalmon_RNA_Gill_Mature_Male_R3
ENSSSAG00000002328	ENSSSAT00000007643,ENSSSAT00000007658,ENSSSAT00000007663,ENSSSAT00000007673,ENSSSAT00000007683,ENSSSAT00000007692,ENSSSAT00000007708,ENSSSAT00000084836	19.84	29.54	30.91	26.43	27.58	24.00	22.20	28.32	27.52	29.29	25.51	25.77
ENSSSAG00000002330	ENSSSAT00000004958	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002331	ENSSSAT00000004951,ENSSSAT00000004959,ENSSSAT00000249838	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002332	ENSSSAT00000004952	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002333	ENSSSAT00000005341,ENSSSAT00000005359,ENSSSAT00000005372,ENSSSAT00000005410,ENSSSAT00000005434,ENSSSAT00000005445,ENSSSAT00000005451,ENSSSAT00000135980	14.70	16.46	12.80	16.00	14.45	14.00	15.87	14.82	14.25	14.41	15.86	14.71
ENSSSAG00000002334	ENSSSAT00000005006,ENSSSAT00000005339,ENSSSAT00000005350,ENSSSAT00000065176,ENSSSAT00000065207,ENSSSAT00000065224,ENSSSAT00000065640,ENSSSAT00000065888,ENSSSAT00000180113	7.30	9.74	10.90	7.36	12.61	6.85	8.89	13.25	11.43	5.91	8.00	10.12
ENSSSAG00000002335	ENSSSAT00000005295,ENSSSAT00000005374,ENSSSAT00000119887	5.74	10.88	12.78	10.74	13.07	9.17	15.98	17.58	23.12	8.20	8.91	10.12
ENSSSAG00000002336	ENSSSAT00000004976	0.11	0.08	0.00	0.04	0.00	0.04	0.00	0.11	0.08	0.00	0.00	0.00
ENSSSAG00000002337	ENSSSAT00000005063,ENSSSAT00000005074	36.86	41.44	43.12	40.52	43.56	49.70	38.45	45.12	42.64	41.20	38.77	43.00
ENSSSAG00000002338	ENSSSAT00000004962	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002339	ENSSSAT00000004968,ENSSSAT00000004995,ENSSSAT00000005259,ENSSSAT00000005291,ENSSSAT00000005335,ENSSSAT00000005373,ENSSSAT00000005429,ENSSSAT00000005467,ENSSSAT00000005529,ENSSSAT00000005568	0.23	0.68	0.51	0.47	0.61	0.40	0.90	0.72	0.75	0.65	0.35	0.30
ENSSSAG00000002340	ENSSSAT00000005456,ENSSSAT00000018281,ENSSSAT00000018338,ENSSSAT00000076973,ENSSSAT00000077341,ENSSSAT00000077775,ENSSSAT00000077825,ENSSSAT00000171675	0.05	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002343	ENSSSAT00000005557,ENSSSAT00000005618,ENSSSAT00000005621,ENSSSAT00000005628,ENSSSAT00000158597	21.56	21.93	23.46	23.31	18.68	20.30	16.62	16.34	17.21	15.89	19.95	15.75
ENSSSAG00000002345	ENSSSAT00000004982,ENSSSAT00000005000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002350	ENSSSAT00000134632	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002351	ENSSSAT00000005208,ENSSSAT00000005230,ENSSSAT00000005249	8.97	8.52	10.52	10.04	8.23	8.11	7.61	8.71	7.34	7.13	9.12	9.16
ENSSSAG00000002352	ENSSSAT00000005044,ENSSSAT00000005068	0.10	0.39	0.09	1.26	0.47	0.32	1.63	1.16	0.30	0.28	0.91	0.11
ENSSSAG00000002353	ENSSSAT00000005046	0.00	0.03	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002355	ENSSSAT00000004993	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002356	ENSSSAT00000004989	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002357	ENSSSAT00000005102,ENSSSAT00000005409,ENSSSAT00000005512,ENSSSAT00000005600,ENSSSAT00000005642	2.85	5.76	4.86	4.72	6.41	3.66	6.22	6.04	6.71	5.39	4.70	4.95
ENSSSAG00000002358	ENSSSAT00000200129,ENSSSAT00000202673,ENSSSAT00000254449	0.25	0.00	0.00	0.00	0.00	0.04	0.26	0.00	0.24	0.09	0.00	0.00
ENSSSAG00000002360	ENSSSAT00000005021,ENSSSAT00000005037,ENSSSAT00000005083,ENSSSAT00000197575,ENSSSAT00000215423,ENSSSAT00000254562	15.30	15.42	16.74	14.48	14.44	15.15	14.48	16.22	16.95	16.70	13.04	16.50
ENSSSAG00000002361	ENSSSAT00000005007	0.41	0.45	0.43	0.00	0.00	0.56	0.29	0.57	1.13	0.29	0.15	1.06
ENSSSAG00000002362	ENSSSAT00000005059,ENSSSAT00000005066,ENSSSAT00000005082,ENSSSAT00000132920,ENSSSAT00000133011,ENSSSAT00000160627,ENSSSAT00000248127	7.53	7.86	10.92	5.31	5.35	7.15	6.15	5.71	6.95	7.41	6.88	15.01
ENSSSAG00000002365	ENSSSAT00000006726	2.10	4.02	5.10	3.90	5.01	2.69	5.55	6.06	8.05	3.38	4.28	4.38
ENSSSAG00000002368	ENSSSAT00000005019	0.54	0.77	0.88	0.04	0.35	0.00	0.51	0.66	0.56	0.68	0.67	0.00
ENSSSAG00000002370	ENSSSAT00000005028,ENSSSAT00000005043	11.13	12.79	12.02	10.63	11.39	10.39	13.28	13.07	13.79	11.72	12.10	14.65
ENSSSAG00000002372	ENSSSAT00000005148,ENSSSAT00000005160,ENSSSAT00000005168,ENSSSAT00000172353,ENSSSAT00000227961,ENSSSAT00000238108,ENSSSAT00000249568	1.03	1.58	0.69	1.87	2.55	1.38	3.94	0.75	4.01	3.68	0.65	0.53
ENSSSAG00000002374	ENSSSAT00000005058,ENSSSAT00000169339	16.23	15.74	16.39	13.52	13.35	13.44	14.31	15.54	13.81	15.33	17.46	21.67
ENSSSAG00000002375	ENSSSAT00000005126,ENSSSAT00000005140,ENSSSAT00000146530	0.00	0.19	0.28	0.05	0.00	0.00	0.04	0.35	0.00	0.09	0.13	0.59
ENSSSAG00000002377	ENSSSAT00000005077,ENSSSAT00000005092,ENSSSAT00000005098,ENSSSAT00000005113,ENSSSAT00000165545,ENSSSAT00000212518,ENSSSAT00000213531,ENSSSAT00000215115,ENSSSAT00000228486,ENSSSAT00000250339	5.10	8.46	9.78	8.31	7.20	6.46	8.08	6.79	10.00	6.88	7.93	4.54
ENSSSAG00000002379	ENSSSAT00000005049	6.38	9.32	8.58	8.41	8.87	6.84	9.00	10.25	8.10	9.36	9.51	8.14
ENSSSAG00000002380	ENSSSAT00000005056	13.49	12.47	15.19	9.55	10.63	11.44	8.19	11.08	6.67	8.85	14.68	14.53
ENSSSAG00000002381	ENSSSAT00000007241,ENSSSAT00000007254,ENSSSAT00000007509,ENSSSAT00000007527,ENSSSAT00000007531,ENSSSAT00000007573,ENSSSAT00000007585,ENSSSAT00000007599,ENSSSAT00000007612,ENSSSAT00000007696	2.19	1.57	2.47	2.94	3.76	2.48	8.01	2.16	6.37	5.16	0.94	2.36
ENSSSAG00000002383	ENSSSAT00000005425,ENSSSAT00000005436,ENSSSAT00000005563	0.08	0.18	0.04	0.00	0.09	0.23	0.21	0.00	0.18	0.31	0.00	0.00
ENSSSAG00000002384	ENSSSAT00000005062	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002385	ENSSSAT00000005089	36.08	44.43	29.05	35.71	31.69	30.92	27.85	34.84	29.09	24.62	30.01	27.84
ENSSSAG00000002386	ENSSSAT00000005072	4.18	4.78	7.92	6.19	5.54	4.34	7.30	7.58	4.60	7.29	4.39	4.34
ENSSSAG00000002389	ENSSSAT00000005080	8.35	11.00	11.38	9.79	9.17	8.80	9.88	12.19	12.42	11.85	8.75	10.18
