gene_id	transcript_id(s)	RainbowTrout_RNA_Gonad_Immature_Female_R1	RainbowTrout_RNA_Gonad_Immature_Female_R2	RainbowTrout_RNA_Gonad_Immature_Female_R3	RainbowTrout_RNA_Gonad_Immature_Male_R1	RainbowTrout_RNA_Gonad_Immature_Male_R2	RainbowTrout_RNA_Gonad_Immature_Male_R3	RainbowTrout_RNA_Gonad_Immature_Male_R4	RainbowTrout_RNA_Gonad_Immature_Male_R5	RainbowTrout_RNA_Gonad_Immature_Male_R6	RainbowTrout_RNA_Gonad_Mature_Female_R1	RainbowTrout_RNA_Gonad_Mature_Female_R2	RainbowTrout_RNA_Gonad_Mature_Female_R3	RainbowTrout_RNA_Gonad_Mature_Male_R1	RainbowTrout_RNA_Gonad_Mature_Male_R2	RainbowTrout_RNA_Gonad_Mature_Male_R3	RainbowTrout_RNA_Gonad_Mature_Male_R4	RainbowTrout_RNA_Gonad_Mature_Male_R5	RainbowTrout_RNA_Gonad_Mature_Male_R6
ENSOMYG00000000039	ENSOMYT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000042	ENSOMYT00000000043	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.06	0.05
ENSOMYG00000000043	ENSOMYT00000000044	1.95	2.07	4.20	16.48	14.86	13.26	14.04	13.67	12.01	6.84	9.95	16.32	3.87	6.08	5.14	9.91	9.78	2.73
ENSOMYG00000000044	ENSOMYT00000000045,ENSOMYT00000130347,ENSOMYT00000152379	1.13	1.00	5.48	4.04	2.73	3.54	9.57	2.19	1.82	1.14	4.63	1.99	2.93	4.33	4.90	4.71	7.35	4.40
ENSOMYG00000000045	ENSOMYT00000000046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000046	ENSOMYT00000000047	47.51	62.23	26.96	2.26	1.70	3.20	3.24	3.25	2.72	20.55	26.55	25.79	2.10	4.19	1.06	0.32	1.42	0.30
ENSOMYG00000000048	ENSOMYT00000000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000049	ENSOMYT00000000052	7.74	16.14	15.19	26.39	14.63	14.85	8.13	17.70	18.29	15.81	7.81	8.73	173.07	163.73	195.63	124.93	291.68	152.93
ENSOMYG00000000050	ENSOMYT00000000053	11.05	9.88	11.21	6.45	7.93	9.43	9.49	7.20	5.03	7.90	12.55	10.08	8.23	7.83	7.44	8.29	7.53	7.34
ENSOMYG00000000053	ENSOMYT00000000056	8.71	9.78	6.12	3.16	5.45	3.61	4.17	5.42	4.32	4.47	4.61	4.84	2.35	3.13	3.99	3.75	2.85	2.88
ENSOMYG00000000054	ENSOMYT00000000058,ENSOMYT00000000061,ENSOMYT00000137190	0.52	0.59	0.37	0.48	1.25	1.24	0.60	0.80	0.86	0.50	0.30	0.13	1.19	2.33	1.66	2.40	4.47	1.33
ENSOMYG00000000055	ENSOMYT00000000057	0.00	0.00	0.00	0.62	0.00	0.59	0.07	0.38	0.34	0.00	0.00	0.00	0.63	0.90	0.13	0.00	0.00	0.27
ENSOMYG00000000056	ENSOMYT00000000060,ENSOMYT00000125986,ENSOMYT00000131030,ENSOMYT00000137071	19.30	19.58	22.63	6.92	5.36	8.78	8.49	5.02	5.56	16.49	12.94	14.77	1.44	2.86	3.20	4.44	2.05	2.71
ENSOMYG00000000059	ENSOMYT00000000064	0.00	0.00	0.00	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000061	ENSOMYT00000000070,ENSOMYT00000000072	1.52	3.69	5.10	27.92	22.82	21.66	32.89	12.25	13.16	38.72	52.19	38.54	3.86	4.20	3.89	5.74	1.90	1.82
ENSOMYG00000000063	ENSOMYT00000000071	0.06	0.00	0.00	0.00	0.00	0.11	0.25	0.00	0.11	0.12	0.09	0.00	0.18	0.18	0.12	0.00	0.00	0.00
ENSOMYG00000000064	ENSOMYT00000000074,ENSOMYT00000160957	2.63	0.26	0.26	1.20	0.96	1.21	2.55	1.38	1.32	0.14	3.14	1.07	0.61	1.62	0.62	0.95	0.79	2.92
ENSOMYG00000000066	ENSOMYT00000000080,ENSOMYT00000157253	48.61	59.24	37.26	1.89	2.55	4.64	2.02	1.08	0.97	23.16	28.34	12.30	0.86	1.73	0.66	0.12	0.58	0.43
ENSOMYG00000000068	ENSOMYT00000000078	0.00	0.00	0.00	0.00	0.10	0.28	0.11	0.26	0.36	0.00	0.00	0.00	0.10	0.10	0.00	0.00	0.00	0.00
ENSOMYG00000000074	ENSOMYT00000000087	2.42	1.18	1.46	26.81	26.85	24.86	22.47	12.29	10.41	0.58	2.40	1.00	4.76	5.49	4.58	6.93	1.79	3.51
ENSOMYG00000000075	ENSOMYT00000000088,ENSOMYT00000000089,ENSOMYT00000145649	2.07	3.26	12.26	13.28	8.38	7.37	13.48	6.68	6.80	20.09	14.18	6.74	2.58	2.67	2.66	2.96	4.16	4.30
ENSOMYG00000000077	ENSOMYT00000000095,ENSOMYT00000129612	18.88	21.46	25.81	3.92	5.53	3.92	4.05	3.77	4.08	14.89	16.99	15.26	1.58	3.15	2.19	2.89	1.32	0.79
ENSOMYG00000000078	ENSOMYT00000000092	0.00	0.15	0.15	0.76	1.50	2.11	1.49	1.35	0.98	0.31	0.24	0.37	0.77	0.77	0.31	0.00	0.14	0.79
ENSOMYG00000000080	ENSOMYT00000000094,ENSOMYT00000126984,ENSOMYT00000129249,ENSOMYT00000143412,ENSOMYT00000150820,ENSOMYT00000157123,ENSOMYT00000161318	28.14	29.48	28.75	44.14	52.24	47.70	36.75	50.92	49.30	28.20	24.42	18.21	57.87	61.60	60.78	56.72	52.20	54.59
ENSOMYG00000000082	ENSOMYT00000000098	19.29	20.85	17.40	10.87	13.21	12.76	15.26	11.59	8.89	8.94	8.99	8.30	5.59	5.76	5.28	5.41	3.33	4.77
ENSOMYG00000000083	ENSOMYT00000000103	5.28	6.11	4.10	4.97	7.43	6.08	3.68	5.13	6.07	0.69	0.97	0.89	2.34	1.86	3.13	1.03	0.65	6.23
ENSOMYG00000000084	ENSOMYT00000000101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.13
ENSOMYG00000000087	ENSOMYT00000000108	0.57	0.26	0.17	4.31	7.40	2.91	3.07	6.51	4.84	2.97	2.33	4.49	8.86	12.08	8.27	7.54	17.09	9.83
ENSOMYG00000000088	ENSOMYT00000000110,ENSOMYT00000000117,ENSOMYT00000000119	142.02	149.62	119.66	131.78	138.85	115.10	92.06	122.59	126.90	66.19	56.58	70.30	96.75	140.69	108.16	88.86	89.67	86.74
ENSOMYG00000000090	ENSOMYT00000000109	0.00	0.00	0.04	0.93	1.63	1.36	0.59	0.82	1.25	0.00	0.00	0.05	0.59	0.27	0.69	1.01	0.57	0.55
ENSOMYG00000000092	ENSOMYT00000000113,ENSOMYT00000137620	15.99	18.17	13.92	10.58	13.67	17.40	22.03	10.91	13.25	11.69	11.18	10.18	7.45	5.78	5.88	11.52	8.40	7.52
ENSOMYG00000000093	ENSOMYT00000000116	93.55	80.72	91.92	17.06	13.21	14.14	13.80	11.93	13.01	68.14	68.92	70.20	10.44	10.66	9.05	11.41	13.29	9.83
ENSOMYG00000000094	ENSOMYT00000000118,ENSOMYT00000000120,ENSOMYT00000000121	27.99	28.30	26.21	10.59	11.20	10.90	13.61	10.00	8.79	12.12	11.43	10.67	12.96	15.82	15.18	12.13	10.03	10.47
ENSOMYG00000000096	ENSOMYT00000000125,ENSOMYT00000000128,ENSOMYT00000121315,ENSOMYT00000135557,ENSOMYT00000161089	5.94	5.51	4.14	21.49	22.87	15.14	23.05	16.22	16.45	3.65	4.10	7.05	27.77	34.03	20.77	17.67	20.43	17.68
ENSOMYG00000000097	ENSOMYT00000000131,ENSOMYT00000000134,ENSOMYT00000126859	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000099	ENSOMYT00000000129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000100	ENSOMYT00000000127	13.55	30.43	38.90	12.70	15.64	8.23	9.42	6.82	6.43	26.23	26.27	15.84	17.60	10.21	14.42	7.29	9.51	2.04
ENSOMYG00000000101	ENSOMYT00000000133	3.03	2.20	1.75	1.51	4.09	3.03	2.83	1.59	1.08	3.00	2.45	2.31	2.30	1.86	2.76	1.69	0.42	0.64
ENSOMYG00000000103	ENSOMYT00000000135,ENSOMYT00000000144,ENSOMYT00000000150,ENSOMYT00000000158	6.02	5.57	3.96	6.54	10.34	8.64	11.45	7.42	7.58	7.32	1.06	9.75	31.19	30.95	20.26	14.35	39.73	28.99
ENSOMYG00000000105	ENSOMYT00000000139,ENSOMYT00000000148	42.24	38.50	37.24	35.98	43.53	36.09	48.14	39.46	34.82	31.61	26.16	30.79	26.45	27.27	27.31	22.76	14.26	19.32
ENSOMYG00000000106	ENSOMYT00000000142,ENSOMYT00000000146	1.67	1.97	2.32	37.95	43.93	38.38	38.13	52.56	70.79	4.77	3.29	4.39	719.42	816.65	817.65	512.85	1324.79	756.75
ENSOMYG00000000107	ENSOMYT00000000147,ENSOMYT00000000149	0.24	0.17	0.44	3.33	3.07	2.77	5.68	1.79	1.65	10.69	10.09	25.20	1.45	0.80	0.98	1.31	1.46	1.36
ENSOMYG00000000108	ENSOMYT00000000151,ENSOMYT00000000153	0.00	0.00	0.00	1.02	1.58	1.45	0.64	0.31	0.25	0.79	0.19	0.94	0.33	0.40	0.22	0.28	0.06	0.15
ENSOMYG00000000109	ENSOMYT00000000155	0.00	0.00	0.00	0.35	0.17	0.48	0.00	0.00	2.70	1.07	1.22	1.25	2.61	3.12	3.50	0.16	0.00	0.00
ENSOMYG00000000110	ENSOMYT00000000154	21.76	21.51	20.38	4.75	4.75	4.88	4.71	5.72	4.55	14.00	11.16	10.53	4.43	3.47	5.38	5.45	4.27	5.34
ENSOMYG00000000112	ENSOMYT00000000164	0.00	0.00	0.06	1.11	0.96	1.25	0.89	0.24	0.65	0.00	0.00	0.09	0.17	0.17	0.06	0.05	0.10	0.28
ENSOMYG00000000114	ENSOMYT00000000161	11.39	10.44	15.26	16.71	10.45	8.71	6.31	8.52	9.80	12.58	15.48	11.51	83.37	97.58	125.81	71.58	143.65	85.35
ENSOMYG00000000115	ENSOMYT00000000163,ENSOMYT00000150771	0.00	0.00	0.00	0.31	0.08	0.37	0.51	0.34	0.14	0.00	0.00	0.06	0.08	0.00	0.08	0.36	0.14	0.07
ENSOMYG00000000116	ENSOMYT00000000165	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000117	ENSOMYT00000000169,ENSOMYT00000000174,ENSOMYT00000000180	35.86	38.01	23.38	7.82	6.96	7.13	7.56	9.70	9.74	21.09	16.43	15.89	16.79	14.55	11.47	9.06	10.10	11.33
ENSOMYG00000000118	ENSOMYT00000000166,ENSOMYT00000000168,ENSOMYT00000000176	3.00	2.67	9.11	17.72	28.96	24.06	26.89	20.02	21.57	14.69	21.70	15.06	26.11	27.33	23.77	15.24	12.06	15.43
ENSOMYG00000000119	ENSOMYT00000000173,ENSOMYT00000000177	8.03	7.36	7.91	0.13	0.31	0.20	0.14	0.11	0.06	4.50	8.22	9.73	0.00	0.09	0.20	0.00	0.13	0.00
ENSOMYG00000000121	ENSOMYT00000000171	89.67	95.26	92.99	47.56	48.42	43.75	47.53	43.43	37.72	89.93	93.34	84.69	24.94	26.93	33.77	32.39	23.83	29.43
ENSOMYG00000000122	ENSOMYT00000000183,ENSOMYT00000000186,ENSOMYT00000000191,ENSOMYT00000087803,ENSOMYT00000087901,ENSOMYT00000088067,ENSOMYT00000088128,ENSOMYT00000088339,ENSOMYT00000088432,ENSOMYT00000088437	3.92	3.52	6.03	5.77	5.17	4.14	1.54	1.96	1.66	1.54	2.53	1.92	1.06	1.62	1.30	1.72	0.96	0.90
ENSOMYG00000000125	ENSOMYT00000000198	0.00	0.14	0.00	0.69	0.56	0.39	0.07	0.36	0.25	0.00	0.06	0.00	0.00	0.43	0.07	0.19	0.25	0.00
ENSOMYG00000000126	ENSOMYT00000000178,ENSOMYT00000121546,ENSOMYT00000141230,ENSOMYT00000152460,ENSOMYT00000154641,ENSOMYT00000155581,ENSOMYT00000157706,ENSOMYT00000160411,ENSOMYT00000164586,ENSOMYT00000166551	70.89	85.35	61.72	13.29	14.21	11.09	12.03	14.82	15.52	34.44	35.39	18.15	23.33	51.99	40.11	22.71	33.62	30.91
ENSOMYG00000000127	ENSOMYT00000000192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000128	ENSOMYT00000000182	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00
ENSOMYG00000000132	ENSOMYT00000000195,ENSOMYT00000000199	0.46	0.86	1.04	0.00	0.03	0.10	0.00	0.02	0.00	0.41	0.26	0.33	0.00	0.11	0.05	0.05	0.09	0.22
ENSOMYG00000000133	ENSOMYT00000000194	230.21	187.46	325.97	21.05	19.55	27.40	23.69	19.86	14.85	194.51	208.10	171.56	6.52	9.16	10.59	7.83	4.20	10.56
ENSOMYG00000000134	ENSOMYT00000000197,ENSOMYT00000130809	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	1.74	0.15	0.00	0.00	0.00
ENSOMYG00000000135	ENSOMYT00000000233,ENSOMYT00000000235	0.00	0.05	0.10	0.80	1.13	0.89	0.60	0.39	0.60	0.05	0.16	0.08	1.55	1.07	1.22	1.14	3.38	1.97
ENSOMYG00000000136	ENSOMYT00000000201,ENSOMYT00000000205	0.00	0.00	0.00	0.05	0.26	0.00	0.11	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.24	0.00	0.00	0.00
ENSOMYG00000000137	ENSOMYT00000000203,ENSOMYT00000068986	6.77	6.28	3.88	5.37	5.59	5.11	8.62	5.88	2.97	1.90	1.22	1.94	0.71	2.85	0.87	1.81	0.53	0.49
ENSOMYG00000000138	ENSOMYT00000000204	0.56	1.11	0.43	8.89	5.25	6.09	8.47	3.76	4.94	3.20	2.72	5.35	2.28	1.94	2.41	2.79	4.31	2.31
ENSOMYG00000000139	ENSOMYT00000000202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000140	ENSOMYT00000000215,ENSOMYT00000000223,ENSOMYT00000000227,ENSOMYT00000000232,ENSOMYT00000000236	0.13	0.25	0.06	1.95	3.79	2.35	1.01	2.07	0.99	0.28	0.10	0.26	1.17	2.00	1.96	1.14	0.44	0.62
ENSOMYG00000000141	ENSOMYT00000000207	0.24	0.00	0.00	0.11	0.06	0.41	0.35	0.00	0.05	0.86	0.79	0.04	0.28	0.11	0.00	0.05	0.40	0.09
ENSOMYG00000000142	ENSOMYT00000000210	0.00	0.06	0.00	0.06	0.65	0.00	0.41	0.22	0.00	0.40	0.35	0.16	0.00	0.46	0.07	0.00	0.06	0.27
ENSOMYG00000000143	ENSOMYT00000000217	22.94	18.53	16.18	3.11	5.93	3.50	3.94	1.72	3.07	12.81	20.77	35.14	0.36	1.73	1.93	1.54	0.65	0.99
ENSOMYG00000000146	ENSOMYT00000000216	2.78	2.72	3.58	0.00	0.19	0.03	0.08	0.03	0.00	6.09	1.28	2.71	0.07	0.00	0.00	0.00	0.00	0.03
ENSOMYG00000000147	ENSOMYT00000000218,ENSOMYT00000000221,ENSOMYT00000000402	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00
ENSOMYG00000000148	ENSOMYT00000000220,ENSOMYT00000118702,ENSOMYT00000132357,ENSOMYT00000136409,ENSOMYT00000151793,ENSOMYT00000153102	0.00	0.00	0.05	0.32	0.38	0.34	0.34	0.22	0.24	0.10	0.00	0.09	0.11	0.15	0.18	0.13	0.00	0.05
ENSOMYG00000000149	ENSOMYT00000000219	3.90	2.81	1.86	1.09	1.00	0.74	0.32	0.26	0.09	4.34	5.50	0.56	0.00	0.10	0.10	0.09	0.09	0.00
ENSOMYG00000000150	ENSOMYT00000000222,ENSOMYT00000000231	0.00	0.04	0.07	1.95	2.50	1.62	4.36	2.11	1.71	0.64	0.85	0.96	0.64	0.38	0.76	0.60	0.17	0.51
ENSOMYG00000000152	ENSOMYT00000000140,ENSOMYT00000000228,ENSOMYT00000000240	65.23	61.11	57.63	122.92	104.25	96.81	169.71	68.28	82.60	57.22	42.04	39.71	40.79	45.07	37.51	34.19	13.40	26.30
ENSOMYG00000000153	ENSOMYT00000000239,ENSOMYT00000000249	19.63	14.97	24.88	6.97	10.44	9.87	10.80	12.62	14.07	13.49	13.67	11.65	19.89	28.21	20.03	19.20	31.95	24.07
ENSOMYG00000000154	ENSOMYT00000000225	0.16	0.34	0.43	0.64	0.97	0.38	0.49	0.46	0.05	0.30	0.35	0.40	0.05	0.10	0.17	0.26	0.07	0.23
ENSOMYG00000000155	ENSOMYT00000000237,ENSOMYT00000000241,ENSOMYT00000122050	29.52	23.90	20.71	18.49	27.41	22.78	13.96	18.16	21.06	26.40	31.56	27.63	36.76	43.47	48.50	34.83	70.63	38.23
ENSOMYG00000000157	ENSOMYT00000000242	0.00	0.00	0.00	1.24	0.47	1.33	0.64	0.93	0.37	0.22	0.25	0.15	0.11	0.00	0.07	0.10	0.05	0.04
ENSOMYG00000000158	ENSOMYT00000000243,ENSOMYT00000134638,ENSOMYT00000148775	0.15	0.60	0.38	5.82	4.22	3.63	9.59	4.49	2.70	4.49	4.72	5.73	1.79	1.55	1.43	1.36	0.38	0.60
ENSOMYG00000000160	ENSOMYT00000000245,ENSOMYT00000000248	0.00	0.08	0.15	4.73	5.03	2.87	1.60	2.39	1.39	0.00	0.00	0.00	1.01	1.64	0.87	1.04	0.62	2.48
ENSOMYG00000000162	ENSOMYT00000000250	1.86	0.58	1.11	2.09	2.22	0.70	1.67	2.71	2.99	0.20	0.45	0.31	1.15	2.09	2.69	0.35	0.17	2.00
ENSOMYG00000000165	ENSOMYT00000000254	0.56	1.03	0.22	0.44	0.59	0.75	0.24	0.06	0.39	0.15	0.23	0.06	0.07	0.00	0.15	0.07	0.00	0.12
ENSOMYG00000000167	ENSOMYT00000000255	0.23	0.00	0.20	0.83	3.81	2.85	2.06	0.00	0.77	5.99	4.54	18.94	1.25	0.62	3.35	0.76	0.75	0.36
ENSOMYG00000000168	ENSOMYT00000000256	0.55	0.00	0.97	5.06	17.74	2.74	25.02	2.96	2.59	3.88	2.15	8.02	1.52	0.75	3.28	0.00	0.69	0.67
ENSOMYG00000000169	ENSOMYT00000000257	10.18	10.73	6.73	4.06	10.31	5.88	6.16	5.79	4.28	6.45	4.21	3.31	10.00	12.53	16.09	10.08	13.32	10.73
ENSOMYG00000000170	ENSOMYT00000000258,ENSOMYT00000129413,ENSOMYT00000132030,ENSOMYT00000136644,ENSOMYT00000140046,ENSOMYT00000141725,ENSOMYT00000148040,ENSOMYT00000152283,ENSOMYT00000155587,ENSOMYT00000165105	0.00	0.00	0.02	3.23	3.53	3.53	2.67	2.45	2.80	0.23	0.32	0.03	2.08	2.73	2.17	3.41	1.70	2.59
ENSOMYG00000000174	ENSOMYT00000000267	8.90	10.76	11.29	5.83	15.65	20.28	1.82	7.59	8.76	5.81	8.53	11.52	4.85	11.27	9.40	8.76	5.00	6.60
ENSOMYG00000000176	ENSOMYT00000000281,ENSOMYT00000116039,ENSOMYT00000118336,ENSOMYT00000125403,ENSOMYT00000138269,ENSOMYT00000143843,ENSOMYT00000144835,ENSOMYT00000151294,ENSOMYT00000154979,ENSOMYT00000163595	7.30	9.82	7.81	3.61	4.46	3.38	2.10	2.72	2.05	2.05	3.27	3.10	5.32	11.51	4.94	4.15	6.36	5.31
ENSOMYG00000000177	ENSOMYT00000000272,ENSOMYT00000147028	25.22	30.34	29.53	4.32	4.95	6.56	4.28	4.91	5.85	19.65	25.06	24.01	5.12	7.49	5.31	7.63	6.37	8.58
ENSOMYG00000000178	ENSOMYT00000000276	0.00	0.00	0.00	0.07	0.04	0.00	0.22	0.09	0.00	0.04	0.06	0.25	0.17	0.07	0.07	0.43	0.28	0.14
ENSOMYG00000000179	ENSOMYT00000000278	2.93	4.10	4.44	1.28	0.46	0.36	0.71	0.52	0.63	1.07	0.67	0.70	0.17	0.24	0.26	0.06	0.15	0.28
ENSOMYG00000000180	ENSOMYT00000000277	0.07	0.25	0.39	4.72	5.88	5.70	1.78	1.91	1.38	0.21	0.22	0.53	3.30	4.38	3.64	4.25	6.98	6.73
ENSOMYG00000000182	ENSOMYT00000000275	5.77	5.19	4.58	5.06	5.03	5.06	0.87	3.11	1.84	1.15	0.96	0.87	4.28	4.57	4.09	4.37	3.16	5.74
ENSOMYG00000000183	ENSOMYT00000000279	0.00	0.00	0.00	0.39	0.08	0.30	0.34	0.14	0.00	0.00	0.00	0.00	0.40	0.16	0.16	0.14	0.29	1.08
ENSOMYG00000000186	ENSOMYT00000000288	8.46	7.82	8.54	7.84	10.14	10.47	4.66	6.19	6.18	3.07	2.32	2.46	24.90	32.38	21.64	13.57	19.06	16.06
ENSOMYG00000000187	ENSOMYT00000000286	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000188	ENSOMYT00000000287	22.26	21.63	28.39	4.30	4.47	4.79	1.89	4.60	5.23	15.38	22.41	17.68	32.84	41.64	47.97	26.26	55.53	49.69
ENSOMYG00000000189	ENSOMYT00000000289	0.00	0.34	0.11	3.15	5.17	4.71	8.16	3.66	3.99	0.00	0.09	0.09	0.91	0.69	0.12	2.56	0.31	1.65
ENSOMYG00000000190	ENSOMYT00000000291	0.06	0.03	0.00	0.92	0.06	0.48	0.16	0.33	0.05	0.00	0.00	0.00	0.15	0.12	0.03	0.16	0.03	0.05
ENSOMYG00000000191	ENSOMYT00000000290,ENSOMYT00000163851	34.66	28.50	28.66	14.78	28.35	28.49	11.34	18.19	18.85	7.45	3.87	4.14	18.94	40.94	25.33	13.42	31.74	16.50
ENSOMYG00000000193	ENSOMYT00000000293	0.12	0.16	0.08	0.38	1.31	0.65	2.46	0.78	0.51	0.16	0.12	0.03	0.08	0.24	0.41	0.19	0.00	0.10
ENSOMYG00000000195	ENSOMYT00000000295,ENSOMYT00000000298,ENSOMYT00000000303,ENSOMYT00000000305	0.55	0.77	0.93	14.17	12.16	14.53	18.58	9.55	8.68	1.18	0.60	1.55	3.71	4.56	5.18	6.25	2.67	5.06
ENSOMYG00000000196	ENSOMYT00000000296	10.05	16.54	14.78	27.75	28.27	32.25	21.23	23.89	21.99	23.05	16.94	10.51	21.58	25.35	36.26	35.25	24.06	22.49
ENSOMYG00000000197	ENSOMYT00000000312,ENSOMYT00000000321,ENSOMYT00000000327,ENSOMYT00000000332	25.93	23.13	35.52	20.56	25.96	28.67	34.95	31.60	22.05	43.03	68.33	29.56	16.00	16.46	20.52	27.72	12.12	18.97
ENSOMYG00000000198	ENSOMYT00000000297,ENSOMYT00000034182,ENSOMYT00000156680	0.00	0.00	0.00	1.08	2.10	0.59	0.95	0.26	0.18	0.00	0.00	0.00	0.46	1.00	0.61	0.89	1.36	0.08
ENSOMYG00000000200	ENSOMYT00000000302,ENSOMYT00000000307	0.00	0.00	0.17	0.10	0.13	0.00	0.37	0.00	0.08	0.27	0.76	1.66	0.04	0.00	0.13	0.00	0.00	0.04
ENSOMYG00000000201	ENSOMYT00000000304	0.03	0.38	0.12	1.59	0.76	0.13	2.19	0.84	0.94	0.00	0.15	0.00	0.99	0.89	0.77	0.00	0.00	0.18
ENSOMYG00000000202	ENSOMYT00000000306	0.00	0.33	0.21	0.00	0.11	0.00	0.00	0.00	0.10	0.11	1.21	0.86	0.22	0.22	0.00	0.00	0.00	0.19
ENSOMYG00000000204	ENSOMYT00000000324,ENSOMYT00000000331,ENSOMYT00000000337,ENSOMYT00000000347,ENSOMYT00000000383,ENSOMYT00000121558,ENSOMYT00000127414,ENSOMYT00000149738,ENSOMYT00000159257,ENSOMYT00000161654	0.00	0.06	0.00	1.02	0.25	0.40	0.89	0.77	0.90	0.62	0.24	0.15	3.86	4.22	3.84	1.79	3.55	1.37
ENSOMYG00000000206	ENSOMYT00000000336,ENSOMYT00000000339,ENSOMYT00000000341,ENSOMYT00000000342,ENSOMYT00000000345,ENSOMYT00000013605	9.64	11.80	11.24	53.40	66.57	51.47	62.99	59.09	59.45	14.53	16.33	19.91	50.88	42.39	42.09	68.18	42.85	63.33
ENSOMYG00000000207	ENSOMYT00000000316	34.99	42.25	40.10	36.18	45.90	33.99	16.30	58.49	55.57	28.52	36.77	21.68	58.28	47.68	56.67	59.35	55.25	59.72
ENSOMYG00000000208	ENSOMYT00000000315,ENSOMYT00000000322,ENSOMYT00000000325	41.84	41.06	52.47	22.91	20.25	21.06	25.74	18.51	22.79	46.68	56.97	39.85	13.00	12.46	10.66	16.81	11.19	10.26
ENSOMYG00000000209	ENSOMYT00000000314	6.99	9.24	11.65	29.10	41.26	18.62	106.91	18.36	18.10	40.09	32.28	49.89	5.77	6.21	6.42	6.86	4.59	4.49
ENSOMYG00000000210	ENSOMYT00000000320	0.19	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000211	ENSOMYT00000000340,ENSOMYT00000000343	0.00	0.00	0.00	0.00	0.08	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.17	0.35	0.09	0.16	0.43	0.20
ENSOMYG00000000212	ENSOMYT00000000323,ENSOMYT00000131882	1.32	0.90	1.98	2.13	2.15	2.05	4.79	2.46	2.14	2.78	2.47	1.45	1.06	2.51	1.66	0.65	0.81	0.66
ENSOMYG00000000213	ENSOMYT00000070953	0.10	0.29	0.19	0.48	0.48	0.36	0.00	0.17	0.26	0.00	0.15	0.23	0.00	0.10	0.10	0.17	0.17	0.08
ENSOMYG00000000214	ENSOMYT00000000328	13.80	37.53	38.99	0.00	0.14	0.38	0.75	0.12	0.00	44.83	41.97	64.63	0.00	0.00	0.28	0.25	0.00	0.00
ENSOMYG00000000215	ENSOMYT00000000333	2.40	3.04	2.15	4.92	6.67	6.77	5.08	7.92	7.54	0.94	0.52	1.02	4.58	5.24	3.80	5.09	2.35	3.65
ENSOMYG00000000216	ENSOMYT00000000330	97.64	123.87	163.89	185.69	251.90	301.88	295.37	238.29	238.21	237.90	226.98	203.92	71.94	98.96	89.12	133.01	67.13	79.00
ENSOMYG00000000217	ENSOMYT00000000334,ENSOMYT00000000338,ENSOMYT00000142511,ENSOMYT00000160257	164.27	183.24	134.01	807.79	1001.55	1122.78	1094.57	991.10	920.13	366.22	309.21	459.42	753.36	547.43	553.04	766.27	484.69	653.43
