gene_id	transcript_id(s)	RainbowTrout_RNA_Gonad_Immature_Female_R1	RainbowTrout_RNA_Gonad_Immature_Female_R2	RainbowTrout_RNA_Gonad_Immature_Female_R3	RainbowTrout_RNA_Gonad_Immature_Male_R1	RainbowTrout_RNA_Gonad_Immature_Male_R2	RainbowTrout_RNA_Gonad_Immature_Male_R3	RainbowTrout_RNA_Gonad_Immature_Male_R4	RainbowTrout_RNA_Gonad_Immature_Male_R5	RainbowTrout_RNA_Gonad_Immature_Male_R6	RainbowTrout_RNA_Gonad_Mature_Female_R1	RainbowTrout_RNA_Gonad_Mature_Female_R2	RainbowTrout_RNA_Gonad_Mature_Female_R3	RainbowTrout_RNA_Gonad_Mature_Male_R1	RainbowTrout_RNA_Gonad_Mature_Male_R2	RainbowTrout_RNA_Gonad_Mature_Male_R3	RainbowTrout_RNA_Gonad_Mature_Male_R4	RainbowTrout_RNA_Gonad_Mature_Male_R5	RainbowTrout_RNA_Gonad_Mature_Male_R6
ENSOMYG00000005252	ENSOMYT00000011581	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000005253	ENSOMYT00000011562	7.51	7.18	8.53	5.11	3.55	4.04	3.97	1.57	1.31	4.16	6.68	4.23	1.79	1.81	1.48	2.33	0.91	2.30
ENSOMYG00000005254	ENSOMYT00000011616	1.03	1.91	3.20	0.66	1.46	0.44	0.68	0.08	0.15	1.72	1.67	2.12	0.08	0.00	0.27	0.23	0.06	0.11
ENSOMYG00000005256	ENSOMYT00000009083,ENSOMYT00000009114,ENSOMYT00000011705,ENSOMYT00000011765,ENSOMYT00000011776,ENSOMYT00000011783,ENSOMYT00000011792,ENSOMYT00000011819,ENSOMYT00000011836,ENSOMYT00000011883	26.66	25.13	25.88	14.16	15.97	15.67	8.26	10.85	11.56	7.17	5.28	5.94	14.37	14.32	10.00	14.55	7.28	10.90
ENSOMYG00000005258	ENSOMYT00000150314,ENSOMYT00000158122	0.04	0.02	0.01	0.16	0.25	0.23	0.59	0.07	0.12	0.01	0.11	0.01	0.04	0.04	0.00	0.04	0.14	0.05
ENSOMYG00000005259	ENSOMYT00000011622,ENSOMYT00000011648,ENSOMYT00000011663,ENSOMYT00000011679,ENSOMYT00000034280,ENSOMYT00000122061,ENSOMYT00000150234	138.72	140.90	178.24	33.54	20.30	21.49	48.69	10.01	9.56	149.04	165.77	139.62	2.60	6.13	6.40	4.48	1.67	3.86
ENSOMYG00000005260	ENSOMYT00000011586,ENSOMYT00000145615	0.36	0.82	0.43	18.17	20.73	17.04	7.97	10.08	10.99	0.68	0.17	0.67	11.75	13.12	10.51	10.11	7.51	10.91
ENSOMYG00000005261	ENSOMYT00000011579,ENSOMYT00000011593,ENSOMYT00000011598	76.24	70.52	66.00	118.61	120.55	90.14	117.28	130.05	129.46	68.92	74.50	66.73	109.72	129.85	108.26	119.60	107.33	122.44
ENSOMYG00000005262	ENSOMYT00000011578	0.00	0.00	0.00	4.28	8.70	7.05	7.24	12.54	7.72	0.00	0.14	0.43	18.48	18.76	14.46	16.32	29.95	31.10
ENSOMYG00000005263	ENSOMYT00000011587	7.76	11.97	7.47	3.00	4.96	1.40	6.77	1.96	2.02	2.77	6.97	5.50	1.82	6.26	5.60	3.99	8.00	3.57
ENSOMYG00000005265	ENSOMYT00000011654,ENSOMYT00000011672,ENSOMYT00000011677,ENSOMYT00000011695	1.05	0.79	0.99	25.48	34.97	27.80	33.26	23.69	15.11	4.81	3.62	3.81	8.25	9.58	11.70	10.27	7.12	8.30
ENSOMYG00000005268	ENSOMYT00000011608,ENSOMYT00000011645,ENSOMYT00000011660,ENSOMYT00000011758,ENSOMYT00000011800,ENSOMYT00000152000,ENSOMYT00000163950	6.22	5.09	3.88	8.18	6.23	6.50	6.08	6.10	6.29	5.83	5.41	5.81	4.19	4.59	4.05	4.64	3.42	3.55
ENSOMYG00000005269	ENSOMYT00000012093,ENSOMYT00000012101,ENSOMYT00000012124,ENSOMYT00000012136,ENSOMYT00000012145	8.51	8.00	3.03	7.31	6.21	6.13	11.87	4.70	3.31	4.74	3.71	4.42	25.31	33.51	26.19	9.53	28.70	21.19
ENSOMYG00000005270	ENSOMYT00000011600	0.78	0.89	0.42	1.09	1.18	1.58	2.01	0.94	1.34	1.15	1.88	2.31	0.45	1.88	1.33	1.11	1.20	0.90
ENSOMYG00000005271	ENSOMYT00000011597,ENSOMYT00000164729	39.29	43.44	34.23	13.05	17.97	15.98	20.46	18.96	17.19	23.19	25.60	21.12	29.70	25.74	24.01	15.75	11.79	16.95
ENSOMYG00000005272	ENSOMYT00000011599,ENSOMYT00000011605	0.74	1.68	0.52	34.39	59.96	43.97	40.13	38.03	39.65	6.87	3.49	8.95	14.92	24.34	27.59	23.64	11.83	12.62
ENSOMYG00000005273	ENSOMYT00000014296,ENSOMYT00000014587,ENSOMYT00000014628,ENSOMYT00000014705,ENSOMYT00000014761,ENSOMYT00000014801,ENSOMYT00000014878,ENSOMYT00000014901,ENSOMYT00000122018,ENSOMYT00000131270	42.31	36.01	24.33	31.80	51.17	47.13	48.13	60.81	54.65	17.89	17.66	17.53	98.81	109.95	78.41	61.71	98.18	92.54
ENSOMYG00000005274	ENSOMYT00000011676,ENSOMYT00000011739,ENSOMYT00000011771,ENSOMYT00000011837,ENSOMYT00000011844	37.11	45.74	36.49	60.25	126.60	98.34	46.33	137.28	168.62	41.55	40.05	41.57	325.53	352.29	315.00	283.28	296.77	254.51
ENSOMYG00000005275	ENSOMYT00000011606	57.77	73.92	66.83	33.07	21.22	32.77	30.78	16.57	23.12	76.32	68.55	67.02	15.14	17.17	19.55	15.03	16.85	20.52
ENSOMYG00000005276	ENSOMYT00000011615	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.22	0.11	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000005277	ENSOMYT00000011630,ENSOMYT00000067011,ENSOMYT00000067130,ENSOMYT00000067269,ENSOMYT00000067305,ENSOMYT00000067330,ENSOMYT00000133254	2.20	3.58	2.14	6.42	1.27	4.57	1.42	2.79	2.01	8.17	5.46	11.80	0.90	0.43	1.09	3.62	0.55	1.03
