gene_id	transcript_id(s)	RainbowTrout_RNA_Brain_Immature_Female_R1	RainbowTrout_RNA_Brain_Immature_Female_R2	RainbowTrout_RNA_Brain_Immature_Female_R3	RainbowTrout_RNA_Brain_Immature_Male_R1	RainbowTrout_RNA_Brain_Immature_Male_R2	RainbowTrout_RNA_Brain_Immature_Male_R3	RainbowTrout_RNA_Brain_Mature_Female_R1	RainbowTrout_RNA_Brain_Mature_Female_R2	RainbowTrout_RNA_Brain_Mature_Female_R3	RainbowTrout_RNA_Brain_Mature_Male_R1	RainbowTrout_RNA_Brain_Mature_Male_R2	RainbowTrout_RNA_Brain_Mature_Male_R3
ENSOMYG00000000039	ENSOMYT00000000041	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43
ENSOMYG00000000042	ENSOMYT00000000043	3.25	9.96	5.13	7.23	7.20	8.93	5.50	9.76	6.44	5.84	5.99	8.28
ENSOMYG00000000043	ENSOMYT00000000044	20.47	17.56	16.44	17.53	15.58	21.50	11.11	11.78	13.51	18.28	16.93	16.52
ENSOMYG00000000044	ENSOMYT00000000045,ENSOMYT00000130347,ENSOMYT00000152379	0.72	1.43	0.93	1.82	0.60	1.89	0.88	1.80	1.66	4.58	3.95	0.69
ENSOMYG00000000045	ENSOMYT00000000046	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000046	ENSOMYT00000000047	9.96	13.51	12.10	10.99	12.64	15.22	9.56	11.61	15.35	5.26	11.25	11.97
ENSOMYG00000000048	ENSOMYT00000000051	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000049	ENSOMYT00000000052	15.77	14.97	15.82	20.75	14.08	16.60	7.49	29.47	14.10	17.37	16.44	18.78
ENSOMYG00000000050	ENSOMYT00000000053	8.00	9.99	7.73	5.32	8.66	8.55	7.82	8.20	7.82	6.36	6.77	6.14
ENSOMYG00000000053	ENSOMYT00000000056	4.24	3.60	3.40	1.88	2.36	2.74	2.35	2.11	2.23	2.02	2.51	2.40
ENSOMYG00000000054	ENSOMYT00000000058,ENSOMYT00000000061,ENSOMYT00000137190	38.89	34.45	39.56	37.53	31.94	32.72	3.41	6.08	7.73	4.67	4.90	26.97
ENSOMYG00000000055	ENSOMYT00000000057	2.00	3.29	0.88	1.57	1.98	2.93	1.58	1.76	1.29	1.38	0.66	1.76
ENSOMYG00000000056	ENSOMYT00000000060,ENSOMYT00000125986,ENSOMYT00000131030,ENSOMYT00000137071	3.17	2.46	2.94	4.26	4.42	4.32	3.75	4.28	4.67	2.69	4.19	4.59
ENSOMYG00000000059	ENSOMYT00000000064	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000061	ENSOMYT00000000070,ENSOMYT00000000072	1.35	0.27	1.89	2.34	1.89	0.50	1.31	1.10	1.37	2.20	2.88	0.26
ENSOMYG00000000063	ENSOMYT00000000071	1.60	1.22	0.74	0.45	0.46	0.69	1.78	1.95	1.44	1.07	0.79	1.91
ENSOMYG00000000064	ENSOMYT00000000074,ENSOMYT00000160957	4.43	6.73	5.26	9.53	7.26	3.98	3.27	3.60	5.37	5.67	4.32	2.51
ENSOMYG00000000066	ENSOMYT00000000080,ENSOMYT00000157253	4.72	5.22	1.47	8.18	3.98	8.94	6.70	6.28	4.88	8.28	6.78	13.31
ENSOMYG00000000068	ENSOMYT00000000078	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.30
ENSOMYG00000000074	ENSOMYT00000000087	4.45	5.31	4.16	4.52	5.07	4.34	3.03	3.63	4.80	2.57	3.90	5.12
ENSOMYG00000000075	ENSOMYT00000000088,ENSOMYT00000000089,ENSOMYT00000145649	11.24	10.97	10.95	11.03	10.94	9.15	10.28	8.83	12.09	10.92	8.92	10.76
ENSOMYG00000000077	ENSOMYT00000000095,ENSOMYT00000129612	0.06	0.39	0.38	0.13	0.61	0.15	0.40	0.00	0.03	0.00	0.05	0.21
ENSOMYG00000000078	ENSOMYT00000000092	7.11	7.37	3.54	9.63	10.63	9.68	6.28	15.18	6.42	2.12	13.50	4.72
ENSOMYG00000000080	ENSOMYT00000000094,ENSOMYT00000126984,ENSOMYT00000129249,ENSOMYT00000143412,ENSOMYT00000150820,ENSOMYT00000157123,ENSOMYT00000161318	31.86	31.24	34.10	36.52	32.98	26.87	27.92	27.44	26.06	30.51	33.12	26.43
ENSOMYG00000000082	ENSOMYT00000000098	5.76	5.88	6.69	5.87	6.55	6.18	6.77	6.52	5.61	5.79	7.63	5.62
ENSOMYG00000000083	ENSOMYT00000000103	16.99	19.63	18.78	15.18	15.75	18.76	4.73	12.59	13.89	3.56	4.31	14.71
ENSOMYG00000000084	ENSOMYT00000000101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000087	ENSOMYT00000000108	3.44	1.10	1.08	2.00	1.91	2.27	8.71	3.75	4.34	4.36	2.21	5.77
ENSOMYG00000000088	ENSOMYT00000000110,ENSOMYT00000000117,ENSOMYT00000000119	99.71	106.85	95.67	95.10	94.87	79.85	77.42	77.82	77.26	99.10	106.39	75.35
ENSOMYG00000000090	ENSOMYT00000000109	133.34	110.72	72.68	96.36	70.16	101.99	19.63	24.05	36.23	18.32	8.61	34.62
ENSOMYG00000000092	ENSOMYT00000000113,ENSOMYT00000137620	7.73	4.88	6.86	7.11	7.88	6.88	8.27	5.44	6.81	5.50	8.97	4.53
ENSOMYG00000000093	ENSOMYT00000000116	29.28	27.14	23.24	29.43	31.70	27.23	30.52	28.45	28.20	31.92	36.48	25.46
ENSOMYG00000000094	ENSOMYT00000000118,ENSOMYT00000000120,ENSOMYT00000000121	5.16	4.97	5.08	5.00	5.13	3.70	4.59	4.19	4.51	4.69	4.96	3.74
ENSOMYG00000000096	ENSOMYT00000000125,ENSOMYT00000000128,ENSOMYT00000121315,ENSOMYT00000135557,ENSOMYT00000161089	25.74	22.37	18.63	18.48	13.75	14.04	12.52	12.69	11.51	13.37	17.11	11.07
ENSOMYG00000000097	ENSOMYT00000000131,ENSOMYT00000000134,ENSOMYT00000126859	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000099	ENSOMYT00000000129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000100	ENSOMYT00000000127	1.85	4.80	1.00	2.54	0.00	0.00	0.83	2.43	0.67	3.04	1.02	3.96
ENSOMYG00000000101	ENSOMYT00000000133	2.48	1.85	0.24	0.85	0.92	1.28	0.19	0.81	0.64	1.26	0.00	0.22
ENSOMYG00000000103	ENSOMYT00000000135,ENSOMYT00000000144,ENSOMYT00000000150,ENSOMYT00000000158	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.25	0.00	0.00	0.00
ENSOMYG00000000105	ENSOMYT00000000139,ENSOMYT00000000148	21.68	19.09	25.69	17.73	20.85	17.14	20.11	15.63	18.31	23.13	18.61	16.28
ENSOMYG00000000106	ENSOMYT00000000142,ENSOMYT00000000146	27.74	28.86	18.22	23.85	35.64	31.75	29.38	50.29	21.93	22.57	18.69	25.78
ENSOMYG00000000107	ENSOMYT00000000147,ENSOMYT00000000149	11.02	7.17	6.22	6.88	6.69	8.13	9.77	12.04	9.29	10.74	13.85	7.29
ENSOMYG00000000108	ENSOMYT00000000151,ENSOMYT00000000153	6.71	12.26	5.91	9.25	13.29	12.39	2.97	8.32	8.50	4.18	2.37	6.16
ENSOMYG00000000109	ENSOMYT00000000155	1.34	0.00	2.67	0.33	0.00	2.24	2.37	3.69	1.86	3.26	2.60	1.78
ENSOMYG00000000110	ENSOMYT00000000154	2.04	3.58	3.57	2.31	3.05	1.60	1.46	4.01	2.79	3.92	3.65	3.40
ENSOMYG00000000112	ENSOMYT00000000164	3.49	6.32	3.68	6.99	5.47	4.82	1.55	3.92	4.61	0.22	0.84	4.30
ENSOMYG00000000114	ENSOMYT00000000161	9.40	6.26	8.08	6.57	6.21	6.25	11.21	15.12	9.75	7.92	9.45	7.50
ENSOMYG00000000115	ENSOMYT00000000163,ENSOMYT00000150771	4.89	5.62	4.68	5.76	8.30	8.51	2.58	4.62	1.94	1.43	2.72	3.03
ENSOMYG00000000116	ENSOMYT00000000165	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000117	ENSOMYT00000000169,ENSOMYT00000000174,ENSOMYT00000000180	12.28	11.10	9.95	8.89	11.30	11.99	9.72	11.42	9.96	9.37	11.77	8.01
ENSOMYG00000000118	ENSOMYT00000000166,ENSOMYT00000000168,ENSOMYT00000000176	8.13	8.28	7.23	8.36	7.47	6.74	9.36	8.03	10.81	8.60	9.20	6.63
ENSOMYG00000000119	ENSOMYT00000000173,ENSOMYT00000000177	19.79	13.67	18.57	9.88	13.11	10.04	12.02	11.26	10.61	19.19	14.75	11.94
ENSOMYG00000000121	ENSOMYT00000000171	35.82	39.75	37.73	38.24	38.22	34.78	49.59	40.54	41.95	36.27	35.31	39.65
ENSOMYG00000000122	ENSOMYT00000000183,ENSOMYT00000000186,ENSOMYT00000000191,ENSOMYT00000087803,ENSOMYT00000087901,ENSOMYT00000088067,ENSOMYT00000088128,ENSOMYT00000088339,ENSOMYT00000088432,ENSOMYT00000088437	11.68	7.45	11.25	8.46	9.48	8.71	1.48	4.70	4.93	1.81	1.39	8.82
ENSOMYG00000000125	ENSOMYT00000000198	7.99	10.39	5.77	5.89	6.25	7.42	5.51	4.61	8.47	6.85	4.60	7.72
ENSOMYG00000000126	ENSOMYT00000000178,ENSOMYT00000121546,ENSOMYT00000141230,ENSOMYT00000152460,ENSOMYT00000154641,ENSOMYT00000155581,ENSOMYT00000157706,ENSOMYT00000160411,ENSOMYT00000164586,ENSOMYT00000166551	12.42	15.09	11.67	11.45	12.21	13.28	10.62	10.24	7.21	10.22	10.59	11.97
ENSOMYG00000000127	ENSOMYT00000000192	0.00	0.00	0.00	0.26	0.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000128	ENSOMYT00000000182	0.00	3.07	0.38	0.96	0.77	1.43	1.25	0.94	1.47	1.55	3.78	1.48
ENSOMYG00000000132	ENSOMYT00000000195,ENSOMYT00000000199	0.07	0.00	0.14	0.00	0.08	0.26	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000133	ENSOMYT00000000194	92.89	81.28	87.39	103.40	110.76	92.41	108.90	126.41	150.70	135.56	115.52	117.81
ENSOMYG00000000134	ENSOMYT00000000197,ENSOMYT00000130809	0.07	0.12	0.23	0.14	0.47	0.76	0.19	0.19	0.51	0.19	0.11	0.00
ENSOMYG00000000135	ENSOMYT00000000233,ENSOMYT00000000235	0.00	0.24	0.39	0.19	0.00	0.00	0.06	0.00	0.00	0.13	0.00	0.00
ENSOMYG00000000136	ENSOMYT00000000201,ENSOMYT00000000205	4.10	7.55	4.66	6.03	4.95	5.31	1.07	1.85	2.45	1.01	0.47	4.14
ENSOMYG00000000137	ENSOMYT00000000203,ENSOMYT00000068986	1.55	3.10	1.10	1.36	2.20	0.82	0.91	1.07	2.78	0.72	2.98	0.64
ENSOMYG00000000138	ENSOMYT00000000204	8.07	17.47	9.06	11.99	12.93	10.92	11.34	15.14	13.98	11.59	11.34	10.85
ENSOMYG00000000139	ENSOMYT00000000202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000140	ENSOMYT00000000215,ENSOMYT00000000223,ENSOMYT00000000227,ENSOMYT00000000232,ENSOMYT00000000236	7.06	7.51	3.94	6.37	6.38	11.23	2.31	6.26	5.54	2.07	0.93	9.25
ENSOMYG00000000141	ENSOMYT00000000207	2.48	3.17	2.51	2.45	2.36	3.08	1.25	1.98	0.71	0.72	0.83	1.39
ENSOMYG00000000142	ENSOMYT00000000210	0.20	0.00	0.30	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000143	ENSOMYT00000000217	6.53	3.11	9.22	5.68	1.69	7.95	46.98	15.71	28.03	4.04	4.44	12.83
ENSOMYG00000000146	ENSOMYT00000000216	0.24	0.23	0.12	0.21	0.46	0.48	0.09	0.00	0.07	0.24	0.38	0.22
ENSOMYG00000000147	ENSOMYT00000000218,ENSOMYT00000000221,ENSOMYT00000000402	0.00	0.00	0.06	0.00	0.00	0.05	0.00	0.14	0.00	0.00	0.00	0.00
ENSOMYG00000000148	ENSOMYT00000000220,ENSOMYT00000118702,ENSOMYT00000132357,ENSOMYT00000136409,ENSOMYT00000151793,ENSOMYT00000153102	0.46	0.24	0.78	0.49	0.17	0.40	0.00	0.00	0.10	0.22	0.00	0.93
ENSOMYG00000000149	ENSOMYT00000000219	0.32	0.47	0.31	0.19	0.00	0.44	0.13	0.38	0.20	0.26	0.90	0.00
ENSOMYG00000000150	ENSOMYT00000000222,ENSOMYT00000000231	10.37	11.94	11.82	16.88	11.19	10.42	8.06	9.71	11.49	5.41	8.48	5.78
ENSOMYG00000000152	ENSOMYT00000000140,ENSOMYT00000000228,ENSOMYT00000000240	11.67	10.37	10.88	10.44	14.06	9.97	13.14	11.04	10.35	10.88	11.86	8.18
ENSOMYG00000000153	ENSOMYT00000000239,ENSOMYT00000000249	9.44	9.46	7.38	8.80	8.30	7.95	8.03	6.88	7.55	7.55	7.94	7.77
ENSOMYG00000000154	ENSOMYT00000000225	0.15	0.08	0.46	0.28	0.08	0.00	0.81	0.25	0.29	0.00	0.29	0.29
ENSOMYG00000000155	ENSOMYT00000000237,ENSOMYT00000000241,ENSOMYT00000122050	85.54	58.57	61.65	82.38	63.47	84.17	62.38	84.78	64.58	78.16	75.12	61.03
ENSOMYG00000000157	ENSOMYT00000000242	0.18	0.00	0.00	0.61	0.81	0.77	0.77	0.00	0.00	0.00	0.32	0.16
ENSOMYG00000000158	ENSOMYT00000000243,ENSOMYT00000134638,ENSOMYT00000148775	2.71	4.28	2.72	5.61	5.32	4.71	11.95	11.66	7.07	8.03	9.16	8.36
ENSOMYG00000000160	ENSOMYT00000000245,ENSOMYT00000000248	39.75	34.62	27.53	28.82	28.85	31.28	13.80	22.11	13.88	1.79	8.30	27.26
ENSOMYG00000000162	ENSOMYT00000000250	2.34	2.94	1.47	1.82	1.76	1.09	0.00	0.72	1.86	0.00	0.00	1.12
ENSOMYG00000000165	ENSOMYT00000000254	7.59	11.52	5.62	6.63	10.73	11.45	0.18	4.11	5.47	0.28	0.11	8.57
ENSOMYG00000000167	ENSOMYT00000000255	3.81	6.71	6.38	6.34	2.23	9.81	25.57	11.69	23.55	4.66	6.24	8.85
ENSOMYG00000000168	ENSOMYT00000000256	2.28	0.77	3.46	0.48	1.53	0.00	1.87	0.63	3.69	0.62	0.00	1.11
ENSOMYG00000000169	ENSOMYT00000000257	8.13	9.96	6.05	5.69	3.87	7.90	3.31	4.77	4.95	3.05	5.93	6.72
ENSOMYG00000000170	ENSOMYT00000000258,ENSOMYT00000129413,ENSOMYT00000132030,ENSOMYT00000136644,ENSOMYT00000140046,ENSOMYT00000141725,ENSOMYT00000148040,ENSOMYT00000152283,ENSOMYT00000155587,ENSOMYT00000165105	15.87	19.74	22.74	20.33	17.55	23.07	7.32	12.63	7.26	2.18	6.62	15.28
ENSOMYG00000000174	ENSOMYT00000000267	0.54	0.33	0.64	0.13	0.11	0.70	0.34	0.26	1.01	0.44	0.41	1.41
ENSOMYG00000000176	ENSOMYT00000000281,ENSOMYT00000116039,ENSOMYT00000118336,ENSOMYT00000125403,ENSOMYT00000138269,ENSOMYT00000143843,ENSOMYT00000144835,ENSOMYT00000151294,ENSOMYT00000154979,ENSOMYT00000163595	16.78	25.26	14.67	17.66	23.43	24.58	4.43	13.23	11.92	1.47	2.53	18.47
ENSOMYG00000000177	ENSOMYT00000000272,ENSOMYT00000147028	2.91	2.05	2.52	3.76	1.90	1.76	2.83	2.40	2.80	2.63	2.25	1.58
ENSOMYG00000000178	ENSOMYT00000000276	0.11	0.22	0.27	0.20	0.00	0.10	0.09	0.65	0.00	0.13	0.10	0.15
ENSOMYG00000000179	ENSOMYT00000000278	0.80	0.38	0.63	0.74	0.61	0.51	1.42	0.78	0.25	0.22	0.05	0.55
ENSOMYG00000000180	ENSOMYT00000000277	0.34	0.11	0.21	0.25	0.29	0.16	0.13	0.22	0.09	0.03	0.06	0.43
ENSOMYG00000000182	ENSOMYT00000000275	4.66	6.06	3.20	5.64	5.55	7.23	0.27	4.34	3.26	0.05	0.11	4.71
ENSOMYG00000000183	ENSOMYT00000000279	1.64	1.05	0.12	0.30	0.50	2.88	1.59	2.02	1.32	0.31	0.00	1.52
ENSOMYG00000000186	ENSOMYT00000000288	14.48	14.15	12.81	12.58	11.06	10.53	2.70	8.62	7.33	1.91	2.83	10.90
ENSOMYG00000000187	ENSOMYT00000000286	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000188	ENSOMYT00000000287	8.58	11.82	6.01	10.30	10.40	10.25	14.20	19.06	7.85	11.93	10.97	8.77
ENSOMYG00000000189	ENSOMYT00000000289	0.00	0.00	2.28	1.08	0.35	0.82	1.27	0.57	5.42	2.46	0.68	2.00
ENSOMYG00000000190	ENSOMYT00000000291	1.21	2.97	1.17	1.61	2.37	2.06	0.23	0.50	0.91	0.08	0.00	1.59
ENSOMYG00000000191	ENSOMYT00000000290,ENSOMYT00000163851	4.97	4.84	4.06	4.19	3.55	4.23	2.07	2.33	2.12	1.06	1.23	2.49
ENSOMYG00000000193	ENSOMYT00000000293	2.26	3.53	2.87	1.49	3.63	2.20	2.69	4.53	1.89	5.21	5.27	1.93
ENSOMYG00000000195	ENSOMYT00000000295,ENSOMYT00000000298,ENSOMYT00000000303,ENSOMYT00000000305	18.31	18.82	14.48	12.23	16.47	15.17	11.63	10.04	16.93	17.97	13.79	11.45
ENSOMYG00000000196	ENSOMYT00000000296	21.85	22.20	15.90	15.35	15.63	24.36	23.95	18.21	10.42	18.23	21.50	19.78
ENSOMYG00000000197	ENSOMYT00000000312,ENSOMYT00000000321,ENSOMYT00000000327,ENSOMYT00000000332	22.24	21.50	17.02	23.60	17.93	20.90	20.92	30.92	18.88	20.30	23.72	20.29
ENSOMYG00000000198	ENSOMYT00000000297,ENSOMYT00000034182,ENSOMYT00000156680	0.00	0.00	0.00	0.35	0.00	0.14	0.00	0.13	0.00	0.00	0.00	0.00
ENSOMYG00000000200	ENSOMYT00000000302,ENSOMYT00000000307	0.00	0.14	0.88	0.25	0.07	0.95	2.30	0.78	1.45	0.00	0.59	0.96
ENSOMYG00000000201	ENSOMYT00000000304	0.78	1.17	1.11	1.08	0.52	0.10	0.46	0.20	0.21	0.11	0.55	0.73
ENSOMYG00000000202	ENSOMYT00000000306	0.00	0.00	0.53	0.00	0.00	0.00	0.14	0.38	27.18	0.00	0.16	0.00
ENSOMYG00000000204	ENSOMYT00000000324,ENSOMYT00000000331,ENSOMYT00000000337,ENSOMYT00000000347,ENSOMYT00000000383,ENSOMYT00000121558,ENSOMYT00000127414,ENSOMYT00000149738,ENSOMYT00000159257,ENSOMYT00000161654	52.71	68.33	44.06	62.60	72.60	58.42	43.06	48.80	40.12	59.95	57.42	46.43
ENSOMYG00000000206	ENSOMYT00000000336,ENSOMYT00000000339,ENSOMYT00000000341,ENSOMYT00000000342,ENSOMYT00000000345,ENSOMYT00000013605	31.62	40.55	35.85	31.38	30.02	33.36	30.13	37.35	35.72	28.82	28.99	22.43
ENSOMYG00000000207	ENSOMYT00000000316	6.42	6.82	4.61	4.13	6.33	5.48	3.03	3.67	6.98	6.78	5.33	3.07
ENSOMYG00000000208	ENSOMYT00000000315,ENSOMYT00000000322,ENSOMYT00000000325	114.11	117.11	80.62	103.81	109.50	104.15	103.18	129.77	120.55	120.93	98.82	88.56
ENSOMYG00000000209	ENSOMYT00000000314	0.21	0.43	0.21	0.00	0.85	0.20	0.34	0.17	0.13	0.17	0.00	0.40
ENSOMYG00000000210	ENSOMYT00000000320	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000211	ENSOMYT00000000340,ENSOMYT00000000343	2.31	2.16	0.13	1.65	2.27	0.82	0.70	1.12	1.34	0.52	0.00	1.54
ENSOMYG00000000212	ENSOMYT00000000323,ENSOMYT00000131882	2.72	6.66	3.40	5.31	5.02	5.54	5.17	6.12	4.48	4.93	5.32	4.61
ENSOMYG00000000213	ENSOMYT00000070953	1.97	1.21	1.64	1.65	1.65	0.84	0.36	1.34	0.66	0.37	0.14	0.28
ENSOMYG00000000214	ENSOMYT00000000328	1.08	0.65	0.00	1.85	0.64	2.80	0.35	1.40	0.00	2.98	1.24	0.20
ENSOMYG00000000215	ENSOMYT00000000333	10.20	9.83	11.53	7.97	8.93	9.69	6.48	8.61	7.63	4.11	5.91	10.18
ENSOMYG00000000216	ENSOMYT00000000330	61.10	52.76	93.17	72.41	68.56	102.34	115.99	112.26	100.77	66.03	92.95	96.08
ENSOMYG00000000217	ENSOMYT00000000334,ENSOMYT00000000338,ENSOMYT00000142511,ENSOMYT00000160257	276.19	257.45	320.24	279.62	302.57	325.90	362.47	301.21	354.84	337.74	343.41	385.57
ENSOMYG00000000218	ENSOMYT00000000350,ENSOMYT00000000357,ENSOMYT00000000359,ENSOMYT00000163909	1.98	2.64	2.39	3.16	2.19	2.01	2.05	3.38	2.54	1.74	1.44	2.23
ENSOMYG00000000219	ENSOMYT00000000360,ENSOMYT00000000377,ENSOMYT00000000378,ENSOMYT00000000379,ENSOMYT00000134143	3.87	3.26	3.57	3.14	3.10	4.08	7.90	5.65	5.83	5.07	3.80	5.45
ENSOMYG00000000220	ENSOMYT00000000344	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000221	ENSOMYT00000000348,ENSOMYT00000000351,ENSOMYT00000000356	2.65	3.96	2.75	3.24	3.66	5.81	2.68	3.34	2.55	1.67	1.96	3.39
ENSOMYG00000000224	ENSOMYT00000000358,ENSOMYT00000000361	7.31	3.92	12.34	3.93	3.89	4.11	22.01	6.32	18.58	11.89	3.57	23.75
ENSOMYG00000000226	ENSOMYT00000000354,ENSOMYT00000124153,ENSOMYT00000134531,ENSOMYT00000138576,ENSOMYT00000149962,ENSOMYT00000166702	8.59	8.40	11.16	7.71	5.46	7.34	3.11	5.03	5.40	1.15	2.17	6.90
ENSOMYG00000000227	ENSOMYT00000000355,ENSOMYT00000115966,ENSOMYT00000118717	67.13	70.65	58.61	59.43	60.89	53.11	42.83	49.10	42.21	50.79	51.43	38.17
ENSOMYG00000000228	ENSOMYT00000000364	0.05	0.00	0.05	0.00	0.14	0.00	0.08	0.08	0.00	0.00	0.00	0.09
ENSOMYG00000000229	ENSOMYT00000000365	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000230	ENSOMYT00000000363	0.65	1.64	2.61	1.62	2.93	1.22	1.06	0.53	0.42	3.71	1.28	2.50
ENSOMYG00000000231	ENSOMYT00000000373	14.07	15.00	11.01	15.46	13.63	12.36	11.26	10.32	8.42	15.47	12.18	7.49
ENSOMYG00000000232	ENSOMYT00000000367	10.79	11.26	9.42	9.08	11.48	8.90	12.16	10.82	12.37	11.28	13.31	8.73
ENSOMYG00000000233	ENSOMYT00000000370	0.00	0.00	0.15	0.00	0.00	0.05	0.04	0.00	0.03	0.04	0.09	0.00
ENSOMYG00000000234	ENSOMYT00000000369	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000235	ENSOMYT00000000374	1.47	1.31	1.38	1.27	1.19	1.29	0.95	1.41	0.77	1.27	0.38	1.77
ENSOMYG00000000236	ENSOMYT00000000380	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000237	ENSOMYT00000000382	0.09	0.00	0.09	0.00	0.09	0.16	0.00	0.14	0.00	0.14	0.08	0.16
ENSOMYG00000000239	ENSOMYT00000000384	0.65	0.94	0.00	0.00	0.00	0.23	0.35	0.27	0.18	0.36	0.00	0.18
ENSOMYG00000000240	ENSOMYT00000000385,ENSOMYT00000000387	10.68	10.10	11.20	7.15	8.40	8.84	4.20	6.68	6.19	4.43	4.08	8.34
ENSOMYG00000000242	ENSOMYT00000000392	10.09	11.27	18.87	14.44	12.40	9.02	14.53	10.51	14.82	12.10	10.72	12.41
ENSOMYG00000000243	ENSOMYT00000000390,ENSOMYT00000000395	8.18	8.11	7.10	7.65	8.83	8.24	1.93	3.70	5.02	1.37	1.94	6.84
ENSOMYG00000000244	ENSOMYT00000000389	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000246	ENSOMYT00000000393	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000248	ENSOMYT00000000396	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000250	ENSOMYT00000000408,ENSOMYT00000110606,ENSOMYT00000134083,ENSOMYT00000150861,ENSOMYT00000152156	1.12	3.05	1.78	5.55	4.47	8.41	0.79	2.43	2.71	0.89	0.98	3.00
ENSOMYG00000000251	ENSOMYT00000000406	5.82	1.08	5.37	2.93	3.17	1.25	0.15	0.33	1.01	0.18	0.24	2.75
ENSOMYG00000000252	ENSOMYT00000000398,ENSOMYT00000000416,ENSOMYT00000000424,ENSOMYT00000000427	8.50	15.56	10.79	14.51	15.04	17.94	15.91	16.01	12.14	10.14	10.95	12.64
ENSOMYG00000000253	ENSOMYT00000000400,ENSOMYT00000000403	94.73	83.71	109.34	95.73	109.13	100.19	116.17	108.87	109.98	90.30	124.43	94.18
ENSOMYG00000000255	ENSOMYT00000000409	0.17	0.00	0.68	0.00	0.09	0.00	0.27	1.18	0.38	0.43	1.72	1.21
ENSOMYG00000000257	ENSOMYT00000000407	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000258	ENSOMYT00000000413,ENSOMYT00000000418,ENSOMYT00000121362,ENSOMYT00000132256,ENSOMYT00000149942	15.06	16.10	19.11	10.23	12.11	14.29	14.61	14.90	16.18	16.48	23.65	13.84
ENSOMYG00000000259	ENSOMYT00000000417,ENSOMYT00000000421,ENSOMYT00000000429,ENSOMYT00000000434,ENSOMYT00000000707,ENSOMYT00000131703,ENSOMYT00000142232,ENSOMYT00000145758,ENSOMYT00000157162,ENSOMYT00000163799	5.69	1.71	1.21	3.33	3.41	5.87	0.34	1.74	0.07	0.71	2.38	0.21
ENSOMYG00000000260	ENSOMYT00000000410	10.78	12.08	18.24	16.48	13.58	12.67	18.25	16.10	9.63	7.28	18.40	12.11
ENSOMYG00000000261	ENSOMYT00000000419	8.57	7.46	21.92	4.95	5.31	8.83	39.13	10.13	37.69	17.23	8.34	37.47
ENSOMYG00000000262	ENSOMYT00000000420,ENSOMYT00000000423,ENSOMYT00000123594	9.07	13.49	11.73	11.96	9.00	9.16	6.89	7.27	9.37	8.96	9.78	8.95
ENSOMYG00000000263	ENSOMYT00000000426,ENSOMYT00000000428	0.08	0.11	0.03	0.37	0.03	0.18	0.15	0.97	1.05	0.47	0.44	0.13
