gene_id	transcript_id(s)	RainbowTrout_RNA_Brain_Immature_Female_R1	RainbowTrout_RNA_Brain_Immature_Female_R2	RainbowTrout_RNA_Brain_Immature_Female_R3	RainbowTrout_RNA_Brain_Immature_Male_R1	RainbowTrout_RNA_Brain_Immature_Male_R2	RainbowTrout_RNA_Brain_Immature_Male_R3	RainbowTrout_RNA_Brain_Mature_Female_R1	RainbowTrout_RNA_Brain_Mature_Female_R2	RainbowTrout_RNA_Brain_Mature_Female_R3	RainbowTrout_RNA_Brain_Mature_Male_R1	RainbowTrout_RNA_Brain_Mature_Male_R2	RainbowTrout_RNA_Brain_Mature_Male_R3
ENSOMYG00000026619	ENSOMYT00000067462,ENSOMYT00000067471,ENSOMYT00000067552,ENSOMYT00000067599,ENSOMYT00000067646,ENSOMYT00000067677,ENSOMYT00000067787,ENSOMYT00000067792,ENSOMYT00000120202,ENSOMYT00000151978	93.56	99.68	72.34	87.94	87.04	89.72	66.25	75.64	66.50	82.00	97.84	74.52
ENSOMYG00000026624	ENSOMYT00000062805,ENSOMYT00000062825,ENSOMYT00000062836,ENSOMYT00000122543,ENSOMYT00000137736	1.03	1.03	0.55	1.21	1.22	1.12	0.35	0.42	0.85	0.49	0.14	0.34
ENSOMYG00000026625	ENSOMYT00000062917	16.19	14.37	16.04	12.85	15.97	16.76	11.85	15.76	15.38	15.27	16.98	15.13
ENSOMYG00000026626	ENSOMYT00000062831	1.25	3.68	1.63	2.61	3.26	0.81	0.21	0.35	1.37	0.20	0.23	4.19
ENSOMYG00000026627	ENSOMYT00000062819	4.64	4.94	6.95	5.66	3.91	3.47	4.48	4.02	4.26	5.65	3.56	3.51
ENSOMYG00000026628	ENSOMYT00000062814	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026630	ENSOMYT00000062823	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.49
ENSOMYG00000026632	ENSOMYT00000062806	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026634	ENSOMYT00000062828	56.68	58.81	40.21	64.32	57.81	53.51	33.46	56.55	35.16	33.36	26.33	29.54
ENSOMYG00000026636	ENSOMYT00000062818,ENSOMYT00000136827	0.00	0.00	0.74	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.58
ENSOMYG00000026637	ENSOMYT00000062821	0.00	0.00	0.00	0.00	1.33	1.88	0.00	0.55	0.00	0.53	1.36	1.32
ENSOMYG00000026638	ENSOMYT00000063667,ENSOMYT00000063684,ENSOMYT00000063799,ENSOMYT00000063834,ENSOMYT00000063867,ENSOMYT00000128762,ENSOMYT00000158594	42.28	38.24	39.87	37.93	42.45	39.12	40.12	33.18	32.32	44.50	47.25	27.60
ENSOMYG00000026639	ENSOMYT00000062871	0.11	0.00	0.00	0.00	0.11	0.00	0.00	0.18	0.20	0.45	0.21	0.51
ENSOMYG00000026640	ENSOMYT00000062955,ENSOMYT00000125687,ENSOMYT00000142748,ENSOMYT00000157050	0.09	0.10	0.19	0.00	0.19	0.00	0.00	0.16	0.00	0.00	0.00	0.00
ENSOMYG00000026641	ENSOMYT00000062947,ENSOMYT00000062966,ENSOMYT00000123724	4.52	17.11	3.83	8.83	12.43	24.28	2.48	6.13	1.54	0.78	1.54	1.27
ENSOMYG00000026642	ENSOMYT00000062835	4.76	5.43	3.12	4.86	3.76	5.48	1.10	1.92	2.53	1.08	1.02	6.47
ENSOMYG00000026644	ENSOMYT00000062865	0.00	0.55	0.00	0.00	0.00	0.00	2.42	0.66	1.04	0.22	0.00	2.85
ENSOMYG00000026645	ENSOMYT00000062855	32.09	37.21	46.02	38.41	45.53	44.60	42.33	32.63	38.14	47.15	51.47	37.21
ENSOMYG00000026646	ENSOMYT00000062846	4.10	3.63	3.75	3.43	3.34	4.07	2.17	2.77	2.35	2.68	2.92	3.95
ENSOMYG00000026647	ENSOMYT00000062841	4.47	2.65	4.07	2.82	3.57	2.44	3.44	4.00	4.98	4.84	3.60	5.13
ENSOMYG00000026648	ENSOMYT00000062845	4.83	6.22	4.44	4.85	5.66	4.24	2.85	3.22	3.59	3.76	3.97	5.31
ENSOMYG00000026649	ENSOMYT00000063629,ENSOMYT00000063650,ENSOMYT00000063659,ENSOMYT00000063703	13.46	11.25	19.51	11.19	14.52	12.27	11.94	14.09	13.33	9.05	13.03	11.27
ENSOMYG00000026650	ENSOMYT00000062851,ENSOMYT00000062864	1.18	1.13	1.02	0.93	1.11	1.55	0.93	1.38	1.50	0.41	0.63	1.57
ENSOMYG00000026651	ENSOMYT00000062848,ENSOMYT00000116262,ENSOMYT00000122368	1.22	0.87	0.51	1.27	1.72	2.40	0.97	0.28	0.87	0.85	0.33	0.16
ENSOMYG00000026652	ENSOMYT00000063151,ENSOMYT00000063171,ENSOMYT00000063193,ENSOMYT00000063205,ENSOMYT00000063216	145.31	155.04	127.30	151.91	161.03	139.34	125.05	138.35	144.65	182.57	199.01	119.06
ENSOMYG00000026653	ENSOMYT00000062876	10.07	9.91	13.37	10.29	9.83	8.76	2.36	3.22	4.74	1.91	2.24	7.57
ENSOMYG00000026654	ENSOMYT00000062863	27.00	26.40	23.67	22.57	21.44	24.79	3.68	18.10	16.00	5.62	4.02	17.56
ENSOMYG00000026655	ENSOMYT00000062860	127.36	159.56	144.16	149.73	154.51	147.68	162.85	173.40	184.78	170.88	203.46	153.92
ENSOMYG00000026656	ENSOMYT00000062858	2.91	2.49	3.13	2.35	1.78	1.40	2.41	1.89	1.03	1.35	1.44	1.42
ENSOMYG00000026657	ENSOMYT00000009198	47.42	47.79	31.15	37.95	45.11	39.36	3.33	14.80	19.38	2.43	2.23	41.06
ENSOMYG00000026658	ENSOMYT00000062886	7.03	5.98	9.67	6.99	6.62	5.37	6.33	6.29	7.56	9.20	8.52	6.30
ENSOMYG00000026660	ENSOMYT00000062890,ENSOMYT00000062896	0.00	1.71	0.00	7.16	0.00	3.43	0.00	0.00	0.00	3.98	0.00	0.00
ENSOMYG00000026661	ENSOMYT00000062981,ENSOMYT00000063006,ENSOMYT00000063036,ENSOMYT00000063149,ENSOMYT00000063249,ENSOMYT00000063277,ENSOMYT00000063285	19.92	23.63	21.33	13.77	15.83	13.78	24.61	22.99	25.27	19.49	23.25	20.58
ENSOMYG00000026664	ENSOMYT00000062882	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026665	ENSOMYT00000062879,ENSOMYT00000124026,ENSOMYT00000142777,ENSOMYT00000145033,ENSOMYT00000151115,ENSOMYT00000156102	6.05	5.24	4.45	4.57	3.99	5.87	0.42	2.83	2.86	0.00	0.06	3.87
ENSOMYG00000026666	ENSOMYT00000013560	2.57	2.47	3.24	5.00	2.76	2.77	3.64	2.64	2.42	2.02	4.65	2.80
ENSOMYG00000026667	ENSOMYT00000062772,ENSOMYT00000062891	0.00	0.26	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026668	ENSOMYT00000062874	4.12	0.95	1.22	0.81	1.61	3.42	0.53	0.61	11.71	0.08	0.81	0.09
ENSOMYG00000026669	ENSOMYT00000015617,ENSOMYT00000062924,ENSOMYT00000062936,ENSOMYT00000078953,ENSOMYT00000129874,ENSOMYT00000130922,ENSOMYT00000149401	17.30	16.30	17.34	11.20	15.24	13.95	10.96	8.33	10.64	4.65	4.04	12.61
ENSOMYG00000026670	ENSOMYT00000062889	1.34	0.92	2.82	1.36	1.22	0.85	1.38	1.97	1.33	1.17	1.35	0.76
ENSOMYG00000026671	ENSOMYT00000062893,ENSOMYT00000062898	25.21	23.05	22.77	17.41	21.97	13.62	16.93	18.53	19.34	26.24	20.95	15.84
ENSOMYG00000026672	ENSOMYT00000062915	14.63	16.81	17.94	14.67	15.61	19.45	22.53	24.82	24.65	23.49	23.12	26.29
ENSOMYG00000026673	ENSOMYT00000062908	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026674	ENSOMYT00000036090,ENSOMYT00000063032,ENSOMYT00000063050,ENSOMYT00000063107	1.43	0.80	0.16	0.34	0.14	0.76	0.13	0.22	0.40	0.23	0.51	0.15
ENSOMYG00000026676	ENSOMYT00000062906	1.25	1.09	1.08	5.70	2.01	2.45	2.48	3.64	4.66	7.88	5.05	1.32
ENSOMYG00000026677	ENSOMYT00000062920,ENSOMYT00000150738	534.14	566.86	245.80	595.74	563.38	510.23	485.71	698.49	568.40	535.68	557.48	600.95
ENSOMYG00000026681	ENSOMYT00000062912,ENSOMYT00000062959	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
