gene_id	transcript_id(s)	RainbowTrout_RNA_Gill_Immature_Female_R1	RainbowTrout_RNA_Gill_Immature_Female_R2	RainbowTrout_RNA_Gill_Immature_Female_R3	RainbowTrout_RNA_Gill_Immature_Male_R1	RainbowTrout_RNA_Gill_Immature_Male_R2	RainbowTrout_RNA_Gill_Immature_Male_R3	RainbowTrout_RNA_Gill_Mature_Female_R1	RainbowTrout_RNA_Gill_Mature_Female_R2	RainbowTrout_RNA_Gill_Mature_Female_R3	RainbowTrout_RNA_Gill_Mature_Male_R1	RainbowTrout_RNA_Gill_Mature_Male_R2	RainbowTrout_RNA_Gill_Mature_Male_R3
ENSOMYG00000017704	ENSOMYT00000041550	7.05	8.85	9.94	7.75	9.25	8.36	18.36	8.76	7.65	8.08	9.51	9.51
ENSOMYG00000017705	ENSOMYT00000045444,ENSOMYT00000045465,ENSOMYT00000045480,ENSOMYT00000045489,ENSOMYT00000045658,ENSOMYT00000045698,ENSOMYT00000045708,ENSOMYT00000045727,ENSOMYT00000045851,ENSOMYT00000045927	8.49	9.67	5.94	11.55	5.42	11.27	6.99	3.86	6.22	8.84	9.34	4.84
ENSOMYG00000017706	ENSOMYT00000041558	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017707	ENSOMYT00000041560	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017709	ENSOMYT00000033542,ENSOMYT00000041916,ENSOMYT00000041937,ENSOMYT00000042157,ENSOMYT00000042165,ENSOMYT00000042171,ENSOMYT00000042181,ENSOMYT00000042190	4.66	3.95	4.71	2.69	3.92	6.22	11.94	3.34	4.42	6.17	7.47	8.64
ENSOMYG00000017711	ENSOMYT00000041574	0.15	0.66	0.48	0.37	0.06	0.00	0.00	0.18	0.16	0.26	0.28	0.21
ENSOMYG00000017712	ENSOMYT00000042186,ENSOMYT00000042207,ENSOMYT00000042226,ENSOMYT00000042238,ENSOMYT00000042246,ENSOMYT00000042261,ENSOMYT00000124386,ENSOMYT00000162512	2.00	0.69	0.67	1.27	0.77	0.76	1.39	0.17	0.67	0.69	0.32	0.79
ENSOMYG00000017713	ENSOMYT00000041591,ENSOMYT00000117436	2.44	2.44	2.08	1.82	1.50	1.12	2.17	1.86	4.83	0.73	2.55	0.91
ENSOMYG00000017714	ENSOMYT00000041695,ENSOMYT00000041709	25.53	28.07	28.22	25.81	27.10	25.65	22.45	25.48	20.34	22.31	28.18	22.35
ENSOMYG00000017715	ENSOMYT00000041612,ENSOMYT00000149554	30.13	19.86	32.38	14.74	21.57	30.94	11.41	36.00	16.61	14.80	13.22	17.16
ENSOMYG00000017717	ENSOMYT00000041588,ENSOMYT00000130079,ENSOMYT00000157704	0.48	0.67	0.46	0.43	0.62	0.52	0.30	0.45	0.13	0.45	0.85	1.04
ENSOMYG00000017718	ENSOMYT00000028384,ENSOMYT00000028423,ENSOMYT00000041594,ENSOMYT00000041607,ENSOMYT00000041618	1.01	3.36	2.08	1.24	0.70	1.92	2.01	1.51	1.49	0.94	1.62	5.56
ENSOMYG00000017719	ENSOMYT00000041601,ENSOMYT00000041625,ENSOMYT00000041663,ENSOMYT00000041676,ENSOMYT00000041700,ENSOMYT00000041720,ENSOMYT00000041739,ENSOMYT00000041766,ENSOMYT00000041792	10.18	13.10	10.30	11.03	10.03	11.53	10.41	10.15	8.17	10.80	9.47	9.76
ENSOMYG00000017721	ENSOMYT00000041697	0.00	0.20	0.02	0.02	0.09	0.10	0.00	0.05	0.05	0.02	0.02	0.11
ENSOMYG00000017724	ENSOMYT00000041619,ENSOMYT00000102322,ENSOMYT00000102325,ENSOMYT00000102332	16.53	15.59	15.33	14.26	14.28	13.44	16.69	14.71	14.05	15.71	14.56	15.15
ENSOMYG00000017725	ENSOMYT00000041621	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017727	ENSOMYT00000041734,ENSOMYT00000044427,ENSOMYT00000064260,ENSOMYT00000127352,ENSOMYT00000137416,ENSOMYT00000147967	0.52	0.06	0.00	0.00	0.00	0.16	0.00	0.00	0.04	0.00	0.05	0.00
ENSOMYG00000017728	ENSOMYT00000041654,ENSOMYT00000167849	5.02	3.72	3.29	3.02	4.77	2.75	1.60	0.83	1.56	4.14	1.09	1.44
ENSOMYG00000017729	ENSOMYT00000041727	10.69	6.29	9.76	7.14	10.90	9.14	5.11	20.88	10.31	9.01	13.62	8.03
ENSOMYG00000017730	ENSOMYT00000041640	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.25	0.39	0.00
ENSOMYG00000017731	ENSOMYT00000041649	8.20	11.12	8.30	9.59	9.25	10.05	18.50	11.01	12.99	6.76	8.80	8.99
ENSOMYG00000017732	ENSOMYT00000041678,ENSOMYT00000041693,ENSOMYT00000041702	20.57	16.68	14.68	14.39	15.15	13.88	17.27	18.87	20.45	13.21	12.65	15.40
ENSOMYG00000017733	ENSOMYT00000047381,ENSOMYT00000047400,ENSOMYT00000047472,ENSOMYT00000047476,ENSOMYT00000047496,ENSOMYT00000047624,ENSOMYT00000047773,ENSOMYT00000047888,ENSOMYT00000147227	13.01	13.80	11.44	15.39	12.45	10.27	25.66	13.68	13.89	15.90	16.34	17.10
ENSOMYG00000017734	ENSOMYT00000042059,ENSOMYT00000042123,ENSOMYT00000042137,ENSOMYT00000042154	10.19	8.42	8.66	9.60	7.79	10.19	19.12	8.97	5.87	5.40	8.22	5.41
ENSOMYG00000017735	ENSOMYT00000041658	23.78	20.74	19.65	17.54	19.27	12.22	17.62	27.35	46.17	29.36	32.69	27.23
ENSOMYG00000017738	ENSOMYT00000041666	0.47	1.45	1.57	1.95	0.81	1.77	0.22	1.91	1.02	1.15	1.91	2.35
ENSOMYG00000017740	ENSOMYT00000041674	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.10	0.10
ENSOMYG00000017741	ENSOMYT00000041687	28.39	28.25	16.62	14.86	19.79	15.50	11.44	13.53	10.95	17.24	20.11	19.90
ENSOMYG00000017742	ENSOMYT00000042300,ENSOMYT00000042347,ENSOMYT00000042446	5.85	6.83	4.97	6.35	7.05	6.53	4.04	3.59	1.37	4.24	3.39	4.48
ENSOMYG00000017744	ENSOMYT00000041691	0.00	0.00	0.00	0.00	0.00	0.10	0.19	0.00	0.03	0.09	0.00	0.00
ENSOMYG00000017745	ENSOMYT00000041698	7.94	10.55	5.21	7.08	3.59	6.83	5.92	9.57	10.11	11.41	11.87	8.40
ENSOMYG00000017746	ENSOMYT00000041703	0.05	0.32	0.49	0.51	0.79	0.26	0.00	1.01	0.48	0.17	1.48	0.99
ENSOMYG00000017747	ENSOMYT00000041791,ENSOMYT00000041820,ENSOMYT00000041841	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017748	ENSOMYT00000049093,ENSOMYT00000049134,ENSOMYT00000049461,ENSOMYT00000049720,ENSOMYT00000049732,ENSOMYT00000049747,ENSOMYT00000049757,ENSOMYT00000049767,ENSOMYT00000049794	0.00	0.00	0.04	0.00	0.00	0.29	0.26	0.04	0.00	0.09	0.00	0.00
ENSOMYG00000017749	ENSOMYT00000041715	5.59	3.42	1.80	3.27	4.01	6.16	7.58	3.64	5.47	5.52	2.89	5.79
ENSOMYG00000017750	ENSOMYT00000041773	36.76	28.01	34.31	36.98	36.46	30.44	28.72	34.03	32.81	22.37	26.31	36.65
ENSOMYG00000017751	ENSOMYT00000041728	32.13	34.06	40.21	37.88	34.43	35.58	23.75	29.49	23.54	33.39	34.39	33.29
ENSOMYG00000017752	ENSOMYT00000041721	0.00	0.00	0.00	0.09	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017753	ENSOMYT00000041735	4.00	3.11	4.67	4.10	2.01	4.11	8.83	3.09	3.77	3.35	3.40	4.26
ENSOMYG00000017754	ENSOMYT00000041730	9.65	20.95	20.41	27.98	19.68	19.82	39.40	10.51	16.62	26.15	23.90	29.06
ENSOMYG00000017755	ENSOMYT00000041528,ENSOMYT00000041548,ENSOMYT00000041571,ENSOMYT00000121751,ENSOMYT00000122274,ENSOMYT00000128492,ENSOMYT00000128817,ENSOMYT00000149203,ENSOMYT00000161405	1.16	0.60	1.90	1.26	1.15	2.23	2.04	2.22	1.53	0.96	0.86	3.19
ENSOMYG00000017756	ENSOMYT00000041823,ENSOMYT00000041936,ENSOMYT00000042019	0.99	3.32	2.03	0.90	2.80	2.78	44.07	5.79	1.33	2.15	0.73	5.50
ENSOMYG00000017757	ENSOMYT00000042371,ENSOMYT00000042471,ENSOMYT00000042538,ENSOMYT00000155866	2.23	2.62	2.22	1.54	1.69	2.13	1.15	1.25	1.79	1.34	1.85	3.70
ENSOMYG00000017758	ENSOMYT00000043241,ENSOMYT00000043883,ENSOMYT00000043935,ENSOMYT00000044028,ENSOMYT00000044038,ENSOMYT00000044089,ENSOMYT00000044143,ENSOMYT00000123038,ENSOMYT00000124478,ENSOMYT00000148754	6.06	5.99	6.27	3.64	2.99	3.13	8.98	2.70	3.79	7.83	8.22	9.49
ENSOMYG00000017761	ENSOMYT00000041741	0.00	0.18	0.04	0.00	0.00	0.08	3.78	0.07	0.03	0.04	0.12	0.13
ENSOMYG00000017763	ENSOMYT00000041748,ENSOMYT00000041769	0.00	0.33	0.07	0.00	0.00	0.00	0.00	0.13	0.06	0.00	0.00	0.16
