gene_id	transcript_id(s)	RainbowTrout_RNA_Gill_Immature_Female_R1	RainbowTrout_RNA_Gill_Immature_Female_R2	RainbowTrout_RNA_Gill_Immature_Female_R3	RainbowTrout_RNA_Gill_Immature_Male_R1	RainbowTrout_RNA_Gill_Immature_Male_R2	RainbowTrout_RNA_Gill_Immature_Male_R3	RainbowTrout_RNA_Gill_Mature_Female_R1	RainbowTrout_RNA_Gill_Mature_Female_R2	RainbowTrout_RNA_Gill_Mature_Female_R3	RainbowTrout_RNA_Gill_Mature_Male_R1	RainbowTrout_RNA_Gill_Mature_Male_R2	RainbowTrout_RNA_Gill_Mature_Male_R3
ENSOMYG00000052394	ENSOMYT00000157280	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052395	ENSOMYT00000160930	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052396	ENSOMYT00000130059	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.16	0.16
ENSOMYG00000052397	ENSOMYT00000140590	0.95	1.09	1.05	0.84	0.50	0.71	4.32	0.83	0.98	0.57	1.18	0.65
ENSOMYG00000052398	ENSOMYT00000090296	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.07
ENSOMYG00000052399	ENSOMYT00000164785	0.67	0.00	1.08	1.04	0.49	0.54	1.73	0.73	0.50	0.10	0.78	0.44
ENSOMYG00000052400	ENSOMYT00000148457	2.14	2.83	2.27	2.47	0.70	0.65	1.15	0.72	0.10	0.35	0.31	1.00
ENSOMYG00000052401	ENSOMYT00000137594,ENSOMYT00000161546	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00
ENSOMYG00000052402	ENSOMYT00000165708	0.52	0.25	0.00	0.00	0.11	0.00	0.00	0.10	0.09	0.00	0.00	0.00
ENSOMYG00000052403	ENSOMYT00000151165	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.19
ENSOMYG00000052404	ENSOMYT00000118280	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052405	ENSOMYT00000141626	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052406	ENSOMYT00000128659,ENSOMYT00000165597	0.00	0.05	0.14	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.05	0.08
ENSOMYG00000052407	ENSOMYT00000160491	1.22	2.22	2.16	2.38	2.54	0.74	1.65	1.33	1.76	1.98	2.37	2.24
ENSOMYG00000052408	ENSOMYT00000166001	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.10	0.00	0.13	0.26
ENSOMYG00000052409	ENSOMYT00000146971	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052410	ENSOMYT00000127003,ENSOMYT00000131332,ENSOMYT00000131438,ENSOMYT00000135322,ENSOMYT00000165186	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052411	ENSOMYT00000139096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052412	ENSOMYT00000121126	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052413	ENSOMYT00000145865	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.27	0.43	0.09	0.00
ENSOMYG00000052414	ENSOMYT00000134738	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052415	ENSOMYT00000130613	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052416	ENSOMYT00000122643	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052417	ENSOMYT00000149703	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052418	ENSOMYT00000147139	5.68	8.72	6.30	5.65	6.11	7.09	6.50	5.89	6.89	7.39	5.94	5.73
ENSOMYG00000052419	ENSOMYT00000128321	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052420	ENSOMYT00000121840	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052421	ENSOMYT00000122749	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052422	ENSOMYT00000125405	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052423	ENSOMYT00000138385	0.00	0.00	0.00	0.16	0.17	0.06	0.35	0.05	0.25	0.00	0.10	0.00
ENSOMYG00000052424	ENSOMYT00000144270	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.00	0.00	0.07	0.00	0.39
ENSOMYG00000052425	ENSOMYT00000143890	0.12	0.46	0.00	0.10	0.10	0.00	0.00	0.19	0.00	0.00	0.22	0.00
ENSOMYG00000052426	ENSOMYT00000121571,ENSOMYT00000121912,ENSOMYT00000122722,ENSOMYT00000123983,ENSOMYT00000146469,ENSOMYT00000152023	0.00	0.08	0.00	0.04	0.02	0.00	0.00	0.04	0.00	0.00	0.00	0.00
ENSOMYG00000052427	ENSOMYT00000145921	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052428	ENSOMYT00000162836	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052429	ENSOMYT00000124364,ENSOMYT00000131801,ENSOMYT00000135378,ENSOMYT00000136556,ENSOMYT00000140250,ENSOMYT00000149369,ENSOMYT00000154240,ENSOMYT00000158169,ENSOMYT00000162091,ENSOMYT00000166701	35.91	34.04	25.70	23.64	22.91	25.31	26.75	32.43	40.25	38.13	34.04	28.98
ENSOMYG00000052430	ENSOMYT00000129953,ENSOMYT00000130633,ENSOMYT00000135350,ENSOMYT00000142923,ENSOMYT00000151038,ENSOMYT00000151456,ENSOMYT00000156221,ENSOMYT00000160641,ENSOMYT00000164369,ENSOMYT00000165668	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052431	ENSOMYT00000136152	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052432	ENSOMYT00000139411	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052433	ENSOMYT00000149791	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27
ENSOMYG00000052434	ENSOMYT00000166146	0.00	0.05	0.00	0.08	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSOMYG00000052435	ENSOMYT00000129383	0.44	0.65	1.15	1.13	0.87	0.45	1.16	0.26	0.24	0.24	0.86	0.47
ENSOMYG00000052436	ENSOMYT00000162456	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052437	ENSOMYT00000129605	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052438	ENSOMYT00000120222	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.24	0.18
ENSOMYG00000052439	ENSOMYT00000166199	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052440	ENSOMYT00000161881	0.10	0.00	0.00	0.03	0.00	0.01	0.00	0.01	0.01	0.04	0.00	0.00
ENSOMYG00000052441	ENSOMYT00000140207	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.03	0.00
ENSOMYG00000052442	ENSOMYT00000163741	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052443	ENSOMYT00000160222	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052444	ENSOMYT00000104991	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052445	ENSOMYT00000138434	0.14	0.00	0.11	0.06	0.00	0.22	0.00	0.02	0.00	0.02	0.00	0.13
ENSOMYG00000052446	ENSOMYT00000150158	0.12	0.12	0.00	0.06	0.17	0.11	0.00	0.14	0.09	0.05	0.00	0.20
ENSOMYG00000052447	ENSOMYT00000143552	0.00	0.00	0.00	0.00	0.00	0.00	2.12	0.16	0.15	0.00	0.76	0.00
ENSOMYG00000052448	ENSOMYT00000159750	1.68	2.68	6.19	6.81	8.55	7.06	2.40	1.84	1.69	3.69	4.73	6.84
ENSOMYG00000052449	ENSOMYT00000125917	1.55	5.10	0.00	2.87	3.19	0.00	3.75	0.96	1.75	4.74	0.38	0.55
ENSOMYG00000052450	ENSOMYT00000136182	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052451	ENSOMYT00000149627	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052452	ENSOMYT00000163466	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052453	ENSOMYT00000155828	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052454	ENSOMYT00000116796,ENSOMYT00000138244,ENSOMYT00000145526,ENSOMYT00000159868	0.41	0.00	0.64	0.14	0.41	0.85	0.00	0.03	0.07	0.52	0.05	0.16
ENSOMYG00000052455	ENSOMYT00000151127	0.00	0.07	0.10	0.05	0.10	0.06	0.00	0.10	0.00	0.00	0.15	0.00
ENSOMYG00000052456	ENSOMYT00000167394	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052457	ENSOMYT00000140006	0.00	0.06	0.00	0.10	0.00	0.22	0.00	0.05	0.00	0.00	0.00	0.12
ENSOMYG00000052458	ENSOMYT00000122604	2.95	2.05	1.24	2.60	0.85	0.00	15.38	7.07	2.55	2.16	5.92	3.54
ENSOMYG00000052459	ENSOMYT00000148760	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052460	ENSOMYT00000158437	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052461	ENSOMYT00000115972	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052462	ENSOMYT00000165747	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052463	ENSOMYT00000116149	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052464	ENSOMYT00000128698	0.00	0.00	9.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052465	ENSOMYT00000120400	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052466	ENSOMYT00000138278	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052467	ENSOMYT00000138831,ENSOMYT00000154482	0.40	1.21	0.68	0.76	0.55	0.80	0.62	0.59	0.67	0.76	0.76	0.50
ENSOMYG00000052468	ENSOMYT00000145960	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.27	0.00	0.00	0.00	0.00
ENSOMYG00000052469	ENSOMYT00000148214	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052470	ENSOMYT00000137699	1.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052471	ENSOMYT00000117154	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052472	ENSOMYT00000117470	0.07	0.14	0.00	0.06	0.00	0.00	0.00	0.05	0.05	0.00	0.00	0.00
ENSOMYG00000052473	ENSOMYT00000152118	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052474	ENSOMYT00000167730	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052475	ENSOMYT00000137188	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052476	ENSOMYT00000158675	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052477	ENSOMYT00000135975	4.45	3.93	2.75	3.82	3.54	3.34	3.22	1.89	2.56	3.03	2.58	3.76
ENSOMYG00000052478	ENSOMYT00000131935	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052479	ENSOMYT00000162067	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052480	ENSOMYT00000163869	9.60	8.28	8.02	5.75	7.00	7.41	10.55	3.43	5.43	8.25	12.00	12.36
ENSOMYG00000052481	ENSOMYT00000120442	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052482	ENSOMYT00000125449	10.57	11.30	11.35	8.40	10.01	9.01	90.68	13.91	13.24	10.86	10.08	6.14
ENSOMYG00000052483	ENSOMYT00000118128,ENSOMYT00000132148	16.90	26.74	10.93	23.66	11.43	12.28	25.24	17.79	28.89	17.65	22.54	15.36
ENSOMYG00000052484	ENSOMYT00000148471	14.17	12.48	10.94	12.90	10.48	5.63	8.99	9.63	7.78	6.94	7.94	7.29
ENSOMYG00000052485	ENSOMYT00000120609	1.54	2.22	3.37	1.80	2.04	1.77	2.86	1.36	1.02	3.91	2.19	2.05
ENSOMYG00000052486	ENSOMYT00000130724	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052487	ENSOMYT00000126416	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052488	ENSOMYT00000133550	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052489	ENSOMYT00000137436	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052490	ENSOMYT00000133596	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12
ENSOMYG00000052491	ENSOMYT00000149806,ENSOMYT00000156758	0.19	0.00	0.06	0.00	0.00	0.00	1.72	0.52	0.00	0.00	0.07	0.00
ENSOMYG00000052492	ENSOMYT00000166678	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052493	ENSOMYT00000142543	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052494	ENSOMYT00000141282	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.04
ENSOMYG00000052495	ENSOMYT00000156798	2.08	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48
ENSOMYG00000052496	ENSOMYT00000127840,ENSOMYT00000133253,ENSOMYT00000159596	5.80	4.22	4.94	6.21	3.66	5.77	3.92	9.93	10.28	7.35	8.45	15.02
ENSOMYG00000052497	ENSOMYT00000146088	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052498	ENSOMYT00000154333	0.00	0.25	0.00	0.00	0.11	0.00	0.00	0.00	0.28	0.00	0.00	0.00
ENSOMYG00000052499	ENSOMYT00000142796	0.13	0.25	0.00	0.53	0.54	0.58	0.00	0.00	0.12	0.00	0.00	0.24
ENSOMYG00000052500	ENSOMYT00000165962	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052501	ENSOMYT00000069592,ENSOMYT00000092454	0.00	0.00	0.79	0.00	0.00	0.92	0.00	1.30	1.19	0.00	0.00	0.00
ENSOMYG00000052502	ENSOMYT00000052780	2.03	2.75	1.01	1.98	1.52	0.62	0.00	0.74	1.31	0.50	1.25	2.81
ENSOMYG00000052503	ENSOMYT00000121761,ENSOMYT00000137413,ENSOMYT00000149240,ENSOMYT00000151132,ENSOMYT00000152316,ENSOMYT00000165027,ENSOMYT00000166691	13.62	15.52	14.47	11.51	11.03	13.52	12.12	9.26	9.65	11.28	9.84	16.81
ENSOMYG00000052504	ENSOMYT00000124272	0.00	0.28	0.00	0.00	0.10	0.52	0.00	0.29	0.18	0.00	0.22	0.32
ENSOMYG00000052505	ENSOMYT00000143948	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.11
ENSOMYG00000052506	ENSOMYT00000162792	0.00	0.54	0.00	0.48	0.00	0.00	0.00	0.00	0.00	1.05	0.00	0.50
ENSOMYG00000052507	ENSOMYT00000066445	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.36
ENSOMYG00000052508	ENSOMYT00000127589	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052509	ENSOMYT00000121527	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
ENSOMYG00000052510	ENSOMYT00000164096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052511	ENSOMYT00000140573	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052512	ENSOMYT00000117086	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052513	ENSOMYT00000147862	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052514	ENSOMYT00000141437	0.00	0.00	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052515	ENSOMYT00000138325	0.92	1.06	0.24	0.35	0.71	0.16	0.32	0.00	0.00	0.26	0.39	0.23
ENSOMYG00000052516	ENSOMYT00000161007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
ENSOMYG00000052517	ENSOMYT00000120539,ENSOMYT00000121928,ENSOMYT00000123343,ENSOMYT00000126054,ENSOMYT00000138999,ENSOMYT00000140280,ENSOMYT00000151891,ENSOMYT00000156716,ENSOMYT00000157594,ENSOMYT00000164742	7.14	7.22	5.43	3.66	3.76	5.64	2.78	3.29	2.62	2.30	4.15	5.19
ENSOMYG00000052518	ENSOMYT00000142119	2.22	0.46	0.41	1.36	1.56	1.62	0.00	0.44	0.68	0.62	0.00	1.19
ENSOMYG00000052519	ENSOMYT00000154008	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052520	ENSOMYT00000007071,ENSOMYT00000121086	1.68	3.15	3.12	2.77	3.31	2.08	2.20	3.29	3.30	1.83	2.94	3.92
ENSOMYG00000052521	ENSOMYT00000119940,ENSOMYT00000122021,ENSOMYT00000125144,ENSOMYT00000131567,ENSOMYT00000132828,ENSOMYT00000146248,ENSOMYT00000156057,ENSOMYT00000161006,ENSOMYT00000164497,ENSOMYT00000165313	0.00	0.14	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052522	ENSOMYT00000155943	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052523	ENSOMYT00000135039	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052524	ENSOMYT00000131605	6.82	6.31	4.89	5.71	4.12	5.64	4.52	3.50	3.88	3.61	5.77	5.71
ENSOMYG00000052525	ENSOMYT00000124354	0.21	0.27	0.35	0.19	0.23	0.27	165.41	0.28	0.38	0.19	0.26	0.09
ENSOMYG00000052526	ENSOMYT00000125719	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.29	0.31	0.00
ENSOMYG00000052527	ENSOMYT00000119797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052528	ENSOMYT00000163199	5.63	1.76	0.67	0.34	2.49	3.83	5.48	2.53	1.21	1.22	8.50	68.21
ENSOMYG00000052529	ENSOMYT00000048996,ENSOMYT00000118929,ENSOMYT00000137217,ENSOMYT00000147166,ENSOMYT00000147792,ENSOMYT00000158671	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052530	ENSOMYT00000153789	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052531	ENSOMYT00000150431	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052532	ENSOMYT00000119268	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052533	ENSOMYT00000144364	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052534	ENSOMYT00000121631	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052535	ENSOMYT00000146047	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052536	ENSOMYT00000151283	3.71	3.09	2.29	3.10	1.00	1.02	2.42	2.01	2.79	0.75	1.22	1.11
ENSOMYG00000052537	ENSOMYT00000124447	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.08	0.00
ENSOMYG00000052538	ENSOMYT00000021261,ENSOMYT00000021271	3.31	1.45	4.69	5.12	9.04	3.15	0.00	17.24	3.39	2.77	6.74	1.35
ENSOMYG00000052539	ENSOMYT00000157260	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052540	ENSOMYT00000092828	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052541	ENSOMYT00000157034,ENSOMYT00000160881	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052542	ENSOMYT00000162688	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052543	ENSOMYT00000117373	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052544	ENSOMYT00000124317,ENSOMYT00000130269,ENSOMYT00000131011,ENSOMYT00000148302	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052545	ENSOMYT00000131831	0.26	1.49	0.34	0.19	0.00	0.00	0.00	0.00	0.52	0.00	0.00	0.97
ENSOMYG00000052546	ENSOMYT00000145411	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052547	ENSOMYT00000147850	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052548	ENSOMYT00000158002	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052549	ENSOMYT00000121762	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052550	ENSOMYT00000141567	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052551	ENSOMYT00000120524	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052552	ENSOMYT00000133799	0.00	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.11	0.38	0.00	0.54
ENSOMYG00000052553	ENSOMYT00000064328	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.06	0.07	0.00	0.00
ENSOMYG00000052554	ENSOMYT00000166355	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052555	ENSOMYT00000148729	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052556	ENSOMYT00000147468	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052557	ENSOMYT00000123800	0.00	0.00	0.05	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.11
ENSOMYG00000052558	ENSOMYT00000152891	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052559	ENSOMYT00000000422	0.00	0.00	0.00	0.00	0.11	0.12	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052560	ENSOMYT00000163568	0.21	0.15	0.04	0.04	0.09	0.00	0.00	0.04	0.00	0.00	0.00	0.00
ENSOMYG00000052561	ENSOMYT00000159442	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052562	ENSOMYT00000136633	0.00	0.00	0.00	0.00	0.32	0.00	0.50	0.00	0.00	0.00	0.00	0.09
ENSOMYG00000052563	ENSOMYT00000116537,ENSOMYT00000121434,ENSOMYT00000141235	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052564	ENSOMYT00000143503	0.13	0.00	0.00	0.10	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052565	ENSOMYT00000018876	0.00	0.00	0.65	0.00	0.00	2.28	0.00	2.88	0.00	4.08	0.00	1.48
ENSOMYG00000052566	ENSOMYT00000115686	4.72	4.53	2.83	1.93	2.73	2.66	4.74	3.27	4.61	1.13	3.11	4.45
ENSOMYG00000052567	ENSOMYT00000117322	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052568	ENSOMYT00000133255	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000052569	ENSOMYT00000157818	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.08	0.00	0.00	0.00
ENSOMYG00000052570	ENSOMYT00000119204	0.00	0.00	0.00	0.00	0.00	0.00	281.67	0.00	0.00	0.00	0.00	0.00
