gene_id	transcript_id(s)	RainbowTrout_RNA_HeadKidney_Immature_Female_R1	RainbowTrout_RNA_HeadKidney_Immature_Female_R2	RainbowTrout_RNA_HeadKidney_Immature_Female_R3	RainbowTrout_RNA_HeadKidney_Immature_Male_R1	RainbowTrout_RNA_HeadKidney_Immature_Male_R2	RainbowTrout_RNA_HeadKidney_Immature_Male_R3	RainbowTrout_RNA_HeadKidney_Mature_Female_R1	RainbowTrout_RNA_HeadKidney_Mature_Female_R2	RainbowTrout_RNA_HeadKidney_Mature_Female_R3	RainbowTrout_RNA_HeadKidney_Mature_Male_R1	RainbowTrout_RNA_HeadKidney_Mature_Male_R2	RainbowTrout_RNA_HeadKidney_Mature_Male_R3
ENSOMYG00000009156	ENSOMYT00000020737,ENSOMYT00000020752	21.97	16.82	15.43	13.71	12.30	13.81	14.85	16.24	15.13	9.81	13.08	13.81
ENSOMYG00000009157	ENSOMYT00000020719	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009159	ENSOMYT00000020726	0.43	0.70	0.00	0.15	0.42	0.85	0.30	0.57	0.15	0.13	0.77	0.17
ENSOMYG00000009161	ENSOMYT00000020797,ENSOMYT00000020804,ENSOMYT00000020821,ENSOMYT00000078589,ENSOMYT00000164172	14.54	12.46	14.27	12.60	10.95	11.69	15.25	16.52	15.05	9.41	13.82	13.10
ENSOMYG00000009162	ENSOMYT00000020741,ENSOMYT00000167840	0.00	0.05	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009163	ENSOMYT00000020742	1.78	2.35	1.37	1.93	1.19	1.17	1.07	1.37	1.92	1.09	0.77	0.66
ENSOMYG00000009165	ENSOMYT00000020772	0.05	0.05	0.05	0.03	0.05	0.11	0.05	0.02	0.05	0.04	0.07	0.06
ENSOMYG00000009166	ENSOMYT00000020753,ENSOMYT00000020756	0.63	0.42	0.75	0.87	1.61	0.49	0.51	0.11	0.17	0.98	1.07	1.05
ENSOMYG00000009167	ENSOMYT00000020759	10.40	9.12	11.73	8.66	8.02	10.82	5.17	6.56	7.20	4.13	5.40	10.58
ENSOMYG00000009168	ENSOMYT00000024485,ENSOMYT00000032263,ENSOMYT00000032371,ENSOMYT00000032438,ENSOMYT00000032455,ENSOMYT00000032470,ENSOMYT00000032997	0.22	0.52	0.40	0.18	0.03	0.35	0.06	0.02	0.00	0.00	0.00	0.01
ENSOMYG00000009169	ENSOMYT00000020790	0.41	0.69	0.13	0.34	0.72	0.73	0.00	0.22	0.17	0.15	0.36	0.14
ENSOMYG00000009170	ENSOMYT00000020796	0.12	0.07	0.37	0.06	0.06	0.17	0.04	0.07	0.00	0.00	0.05	0.07
ENSOMYG00000009171	ENSOMYT00000020771	0.00	0.00	0.04	0.00	0.07	0.00	0.04	0.07	0.00	0.00	0.00	0.00
ENSOMYG00000009172	ENSOMYT00000020775	27.84	27.53	26.38	17.45	15.39	19.39	18.25	15.71	15.06	20.02	14.89	26.89
ENSOMYG00000009173	ENSOMYT00000020767	2.04	0.00	0.93	1.15	1.31	0.79	0.87	0.55	0.00	0.24	0.00	0.31
ENSOMYG00000009174	ENSOMYT00000038147,ENSOMYT00000038156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009175	ENSOMYT00000020774	10.69	14.00	12.53	12.06	10.93	16.58	17.83	18.72	14.71	14.24	15.80	18.11
ENSOMYG00000009177	ENSOMYT00000025768,ENSOMYT00000026501,ENSOMYT00000027016,ENSOMYT00000027481,ENSOMYT00000030364,ENSOMYT00000031551,ENSOMYT00000032091	27.20	21.52	24.03	17.47	14.90	16.85	17.92	22.19	18.60	14.51	13.96	18.95
ENSOMYG00000009178	ENSOMYT00000021789,ENSOMYT00000021828,ENSOMYT00000021836,ENSOMYT00000021911,ENSOMYT00000021936,ENSOMYT00000021957,ENSOMYT00000127737	4.32	9.19	8.52	8.07	6.40	10.08	4.57	0.64	3.29	2.71	6.41	2.77
ENSOMYG00000009180	ENSOMYT00000020785	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009181	ENSOMYT00000020783	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009182	ENSOMYT00000020793	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009183	ENSOMYT00000020812	7.43	9.05	6.07	4.71	4.06	4.52	3.51	2.32	3.56	1.47	1.95	4.74
ENSOMYG00000009184	ENSOMYT00000020798	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009185	ENSOMYT00000020910,ENSOMYT00000020953,ENSOMYT00000020981,ENSOMYT00000116115,ENSOMYT00000118584,ENSOMYT00000140539,ENSOMYT00000157584,ENSOMYT00000161573	0.72	0.12	0.26	0.10	0.14	0.19	0.13	0.03	0.37	0.01	0.20	0.19
ENSOMYG00000009188	ENSOMYT00000020937,ENSOMYT00000020949,ENSOMYT00000091293,ENSOMYT00000120886,ENSOMYT00000139933	0.00	0.23	0.00	0.34	0.00	0.00	0.91	0.44	0.00	0.11	0.24	0.00
ENSOMYG00000009189	ENSOMYT00000020858,ENSOMYT00000020866,ENSOMYT00000118366,ENSOMYT00000121281,ENSOMYT00000150471,ENSOMYT00000155899,ENSOMYT00000160288,ENSOMYT00000164410	27.85	22.13	23.20	19.23	19.22	20.46	13.31	14.26	10.98	12.02	18.60	24.75
ENSOMYG00000009190	ENSOMYT00000020811,ENSOMYT00000020816	45.01	48.71	71.68	62.15	46.24	61.55	68.55	73.20	82.18	56.96	68.26	58.39
ENSOMYG00000009191	ENSOMYT00000020817,ENSOMYT00000020823	3.28	1.34	1.80	1.54	2.09	1.91	1.99	1.79	2.00	2.16	1.21	2.08
ENSOMYG00000009192	ENSOMYT00000021657,ENSOMYT00000021727,ENSOMYT00000021764,ENSOMYT00000021805	75.45	74.81	67.09	62.06	60.71	76.32	60.29	35.50	49.72	36.28	82.33	76.75
ENSOMYG00000009193	ENSOMYT00000020892	0.24	0.29	0.65	0.41	0.40	0.56	0.42	0.55	0.49	0.14	0.34	0.10
ENSOMYG00000009194	ENSOMYT00000020878,ENSOMYT00000020971,ENSOMYT00000020975	84.66	86.70	99.48	57.87	118.93	86.37	3.36	1.28	23.47	1.86	12.16	17.86
ENSOMYG00000009195	ENSOMYT00000020833,ENSOMYT00000020841,ENSOMYT00000117062	6.04	20.79	5.34	13.97	11.59	6.68	10.10	6.47	7.64	5.11	4.13	5.26
ENSOMYG00000009196	ENSOMYT00000035162,ENSOMYT00000037341,ENSOMYT00000038266,ENSOMYT00000038309,ENSOMYT00000038339,ENSOMYT00000038407,ENSOMYT00000038494,ENSOMYT00000038612,ENSOMYT00000038676	8.39	7.13	4.48	4.52	6.68	3.49	1.67	2.27	2.63	3.13	2.51	5.29
ENSOMYG00000009197	ENSOMYT00000020826	5.26	5.59	4.77	4.22	4.48	4.55	4.73	3.16	3.13	2.50	5.50	4.72
ENSOMYG00000009198	ENSOMYT00000020828,ENSOMYT00000020838	4.22	5.04	2.51	1.87	1.70	2.45	0.71	0.56	1.64	0.67	0.88	1.72
ENSOMYG00000009200	ENSOMYT00000020848,ENSOMYT00000020856	53.26	74.64	66.13	68.29	75.64	61.87	64.32	83.06	79.77	76.58	73.46	70.47
ENSOMYG00000009201	ENSOMYT00000020837	0.05	0.06	0.02	0.00	0.00	0.03	0.02	0.03	0.00	0.01	0.00	0.00
ENSOMYG00000009202	ENSOMYT00000020962,ENSOMYT00000020982,ENSOMYT00000021042,ENSOMYT00000021080,ENSOMYT00000021108,ENSOMYT00000021123	194.87	175.54	206.59	206.45	130.85	175.39	205.81	230.46	221.26	161.14	190.77	155.60
ENSOMYG00000009203	ENSOMYT00000020844,ENSOMYT00000161938	4.92	3.97	5.44	3.20	5.88	6.71	3.43	3.77	3.70	3.81	5.77	6.75
ENSOMYG00000009204	ENSOMYT00000020931,ENSOMYT00000020938,ENSOMYT00000020944	0.12	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00
ENSOMYG00000009205	ENSOMYT00000022306,ENSOMYT00000022484,ENSOMYT00000022490	9.16	7.79	6.26	4.67	5.70	5.41	4.86	3.36	4.81	2.93	3.46	6.85
ENSOMYG00000009206	ENSOMYT00000020924,ENSOMYT00000020966,ENSOMYT00000021015,ENSOMYT00000021029,ENSOMYT00000021073,ENSOMYT00000021086	27.58	13.79	14.16	7.86	8.12	10.78	18.44	17.78	10.92	11.48	12.82	9.70
ENSOMYG00000009207	ENSOMYT00000021139,ENSOMYT00000021146,ENSOMYT00000021272,ENSOMYT00000021287,ENSOMYT00000021295,ENSOMYT00000021400,ENSOMYT00000021477,ENSOMYT00000021484,ENSOMYT00000021489,ENSOMYT00000021499	47.27	38.61	82.71	53.99	38.12	51.53	91.86	124.78	160.04	62.26	80.77	46.97
ENSOMYG00000009208	ENSOMYT00000020849	0.00	3.87	4.30	2.39	6.03	4.30	6.53	7.94	6.08	6.99	5.84	5.52
ENSOMYG00000009210	ENSOMYT00000020855	1.83	1.12	2.86	1.12	1.64	2.03	1.87	1.10	1.92	1.13	0.51	1.33
ENSOMYG00000009211	ENSOMYT00000020914,ENSOMYT00000020928	28.77	32.98	26.04	23.01	26.08	25.75	30.85	36.86	28.47	22.77	29.31	28.73
ENSOMYG00000009212	ENSOMYT00000020891	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009214	ENSOMYT00000020871	3.75	2.71	2.67	3.35	2.47	2.16	4.21	4.73	2.00	2.34	4.09	5.30
ENSOMYG00000009216	ENSOMYT00000020865	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009217	ENSOMYT00000020972,ENSOMYT00000020979,ENSOMYT00000020988,ENSOMYT00000020997,ENSOMYT00000021019,ENSOMYT00000021043,ENSOMYT00000021051,ENSOMYT00000021056,ENSOMYT00000021078,ENSOMYT00000021090	26.40	21.43	24.15	22.25	19.76	28.30	14.60	10.56	12.18	12.03	18.97	19.78
ENSOMYG00000009219	ENSOMYT00000021165,ENSOMYT00000021185,ENSOMYT00000021206,ENSOMYT00000021212,ENSOMYT00000021224	7.33	8.15	8.12	6.14	7.36	9.11	7.90	5.35	6.35	4.88	7.61	7.95
ENSOMYG00000009221	ENSOMYT00000020886	6.29	7.86	6.39	5.54	5.04	8.34	8.63	8.48	8.57	6.58	7.00	7.19
ENSOMYG00000009222	ENSOMYT00000020917	0.00	0.00	0.00	0.00	1.33	2.70	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009224	ENSOMYT00000020895	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSOMYG00000009225	ENSOMYT00000020934	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009226	ENSOMYT00000020903,ENSOMYT00000021016	1.12	1.54	1.25	1.09	1.23	0.63	1.36	1.30	1.73	0.67	1.12	0.88
ENSOMYG00000009227	ENSOMYT00000021689,ENSOMYT00000021697,ENSOMYT00000021734,ENSOMYT00000021749	8.26	5.42	5.25	2.94	2.09	2.33	2.78	3.37	2.86	0.59	0.82	2.96
ENSOMYG00000009228	ENSOMYT00000020923	0.00	0.00	0.00	0.00	0.12	0.12	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009232	ENSOMYT00000023050,ENSOMYT00000023066,ENSOMYT00000023085,ENSOMYT00000023118,ENSOMYT00000023133,ENSOMYT00000023157,ENSOMYT00000023161,ENSOMYT00000023168,ENSOMYT00000023188	28.12	21.70	12.46	10.12	8.51	11.18	16.25	15.28	17.71	13.76	15.63	8.79
ENSOMYG00000009233	ENSOMYT00000026111,ENSOMYT00000026210,ENSOMYT00000026235,ENSOMYT00000026425,ENSOMYT00000026446,ENSOMYT00000026553,ENSOMYT00000026740,ENSOMYT00000026811	17.00	26.15	15.60	13.92	19.61	17.02	8.11	5.36	16.79	5.32	5.99	12.25
ENSOMYG00000009234	ENSOMYT00000084982,ENSOMYT00000140918	1.09	0.30	1.23	1.01	0.41	1.14	1.03	0.73	1.24	0.72	0.17	0.69
ENSOMYG00000009236	ENSOMYT00000020926	3.69	4.74	3.13	4.25	4.94	4.70	4.34	3.44	4.42	3.20	4.16	4.06
ENSOMYG00000009237	ENSOMYT00000020933	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009238	ENSOMYT00000020935,ENSOMYT00000137639	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009239	ENSOMYT00000011442,ENSOMYT00000021048	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009240	ENSOMYT00000020939	1.11	1.54	0.49	1.52	1.04	1.33	0.42	1.35	0.67	1.12	1.17	0.77
ENSOMYG00000009241	ENSOMYT00000031247,ENSOMYT00000031709,ENSOMYT00000032021,ENSOMYT00000032033,ENSOMYT00000032049,ENSOMYT00000032115,ENSOMYT00000032122,ENSOMYT00000032197,ENSOMYT00000032215,ENSOMYT00000032284	9.62	5.86	5.80	4.63	5.40	5.21	4.00	4.84	5.88	3.00	3.58	4.54
ENSOMYG00000009242	ENSOMYT00000020969	30.06	19.49	22.64	18.32	18.02	20.89	27.01	34.36	32.38	17.13	18.04	16.98
ENSOMYG00000009243	ENSOMYT00000020957,ENSOMYT00000020974,ENSOMYT00000020986	5.42	6.10	6.35	6.52	5.16	7.40	5.58	4.00	5.46	4.29	6.87	5.40
ENSOMYG00000009245	ENSOMYT00000024065,ENSOMYT00000024131,ENSOMYT00000024150,ENSOMYT00000024167,ENSOMYT00000024186,ENSOMYT00000024221,ENSOMYT00000024242,ENSOMYT00000024256,ENSOMYT00000024263,ENSOMYT00000024287	11.10	7.87	8.16	7.90	5.75	9.31	8.02	8.92	11.19	5.01	6.85	8.59
ENSOMYG00000009246	ENSOMYT00000020958	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009249	ENSOMYT00000020967	0.00	0.00	0.00	0.00	0.00	1.51	0.88	0.97	0.28	0.37	0.44	0.33
ENSOMYG00000009251	ENSOMYT00000020968,ENSOMYT00000134009	8.47	7.25	10.92	12.44	14.78	17.93	9.91	11.05	12.19	6.34	12.69	14.72
ENSOMYG00000009252	ENSOMYT00000020976	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.16	0.00
ENSOMYG00000009253	ENSOMYT00000020970,ENSOMYT00000165142	0.12	0.05	0.13	0.19	0.04	0.22	0.23	0.20	0.19	0.06	0.04	0.13
ENSOMYG00000009254	ENSOMYT00000020993	9.11	6.64	6.54	5.48	4.28	4.59	12.27	13.57	10.10	8.24	8.61	6.32
ENSOMYG00000009255	ENSOMYT00000020973	1.07	0.70	0.91	0.88	0.68	0.90	0.53	0.52	0.88	0.30	0.59	0.42
ENSOMYG00000009256	ENSOMYT00000020980,ENSOMYT00000157506,ENSOMYT00000158025	27.45	24.43	25.64	25.07	25.95	22.59	33.47	30.24	19.09	24.57	28.61	25.20
ENSOMYG00000009257	ENSOMYT00000021033,ENSOMYT00000021046	0.10	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.09
ENSOMYG00000009258	ENSOMYT00000020985	12.82	14.73	11.73	10.01	14.44	17.49	9.46	11.04	10.54	11.84	12.19	14.49
ENSOMYG00000009259	ENSOMYT00000020983	3.69	2.45	3.07	2.40	2.55	2.35	2.93	2.72	2.02	1.62	1.74	1.00
ENSOMYG00000009261	ENSOMYT00000021012,ENSOMYT00000021026	26.01	26.39	20.79	22.73	17.24	22.07	29.04	29.31	27.92	20.38	21.24	13.58
ENSOMYG00000009262	ENSOMYT00000020989	6.89	5.21	6.45	4.68	4.16	4.64	6.25	5.28	6.68	5.67	4.75	5.06
ENSOMYG00000009263	ENSOMYT00000020990	0.00	0.09	0.33	0.05	0.03	0.08	0.13	0.15	0.03	0.00	0.03	0.03
ENSOMYG00000009264	ENSOMYT00000021005	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009265	ENSOMYT00000020995	20.23	18.97	17.84	14.97	13.22	16.70	13.08	11.80	14.01	10.33	10.50	19.11
ENSOMYG00000009268	ENSOMYT00000024601,ENSOMYT00000024667,ENSOMYT00000024688,ENSOMYT00000024765,ENSOMYT00000024814,ENSOMYT00000024832,ENSOMYT00000024948,ENSOMYT00000136791,ENSOMYT00000145394,ENSOMYT00000164039	52.81	30.02	32.91	21.69	17.80	22.83	48.14	57.89	46.02	22.99	27.41	25.46
ENSOMYG00000009269	ENSOMYT00000024749,ENSOMYT00000024805,ENSOMYT00000024903,ENSOMYT00000024940,ENSOMYT00000025076,ENSOMYT00000025162,ENSOMYT00000025287,ENSOMYT00000025332	0.06	0.16	0.00	0.04	0.02	0.00	0.10	0.06	0.03	0.03	0.08	0.10
ENSOMYG00000009271	ENSOMYT00000020998	1.10	0.54	1.05	3.34	0.42	1.47	0.23	0.11	0.53	0.66	0.23	0.03
ENSOMYG00000009272	ENSOMYT00000021008	3.08	2.15	3.45	1.85	1.41	2.37	0.71	2.01	2.69	1.59	2.28	1.93
ENSOMYG00000009273	ENSOMYT00000021010	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009276	ENSOMYT00000021013	24.91	19.75	20.07	18.04	15.86	19.43	19.44	24.49	19.68	14.07	21.94	13.53
ENSOMYG00000009277	ENSOMYT00000011044,ENSOMYT00000021050	7.70	20.41	9.58	14.75	17.91	11.91	4.91	3.11	7.70	8.84	5.29	12.14
ENSOMYG00000009280	ENSOMYT00000021023	0.07	0.00	0.12	0.21	0.15	0.05	0.00	0.05	0.00	0.00	0.00	0.00
ENSOMYG00000009282	ENSOMYT00000021024	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009283	ENSOMYT00000021030,ENSOMYT00000021049,ENSOMYT00000021094	4.33	4.04	3.21	3.17	2.24	3.89	1.17	0.18	1.39	0.35	0.27	1.63
ENSOMYG00000009284	ENSOMYT00000021035	15.92	15.52	14.57	12.32	13.70	14.31	21.78	20.80	22.68	12.61	15.69	10.98
ENSOMYG00000009286	ENSOMYT00000021053	0.43	0.28	0.20	0.59	0.17	0.00	0.24	0.06	0.12	0.56	0.00	0.00
ENSOMYG00000009288	ENSOMYT00000024347	1.94	3.13	17.26	5.17	8.29	14.87	8.29	7.16	8.01	3.08	11.70	15.88
ENSOMYG00000009290	ENSOMYT00000021055,ENSOMYT00000021122,ENSOMYT00000021153,ENSOMYT00000021163,ENSOMYT00000021168,ENSOMYT00000021177,ENSOMYT00000021180	7.16	8.28	6.02	6.70	8.47	6.33	3.66	2.54	3.47	3.50	2.74	8.27
ENSOMYG00000009291	ENSOMYT00000021076,ENSOMYT00000128401	0.83	1.03	0.96	1.15	0.37	0.65	0.39	0.28	0.38	0.84	0.69	0.22
ENSOMYG00000009293	ENSOMYT00000107275,ENSOMYT00000107280	0.00	1.64	0.00	7.05	0.00	0.00	6.25	2.31	5.56	3.86	5.41	3.65
ENSOMYG00000009294	ENSOMYT00000021060	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00
ENSOMYG00000009295	ENSOMYT00000021061,ENSOMYT00000137039	5.73	9.69	6.88	10.72	6.27	8.49	12.99	11.62	12.69	7.41	8.44	7.44
ENSOMYG00000009296	ENSOMYT00000021074	62.88	164.77	188.38	99.57	183.84	143.83	171.47	142.76	79.12	149.60	83.10	134.63
ENSOMYG00000009297	ENSOMYT00000021068,ENSOMYT00000021093,ENSOMYT00000021127	0.17	0.44	0.38	0.12	0.22	0.35	0.13	0.11	0.41	0.03	0.10	0.28
ENSOMYG00000009298	ENSOMYT00000021067,ENSOMYT00000021082	2.26	1.35	2.09	1.68	0.99	2.02	1.72	1.95	2.96	1.22	1.39	0.80
ENSOMYG00000009299	ENSOMYT00000021066	6.49	5.73	6.37	9.13	7.94	9.21	6.68	7.27	6.20	4.02	3.96	4.26
ENSOMYG00000009302	ENSOMYT00000021219	0.52	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.17
ENSOMYG00000009303	ENSOMYT00000021181,ENSOMYT00000021201,ENSOMYT00000132063,ENSOMYT00000140596,ENSOMYT00000163248	27.12	20.05	20.73	18.02	14.71	17.52	24.18	26.51	27.09	17.69	20.35	18.08
ENSOMYG00000009304	ENSOMYT00000021077,ENSOMYT00000164986	1.32	1.37	1.93	1.87	0.54	0.73	1.66	1.20	1.04	0.70	0.96	0.85
ENSOMYG00000009305	ENSOMYT00000022059,ENSOMYT00000022131,ENSOMYT00000022133,ENSOMYT00000022138,ENSOMYT00000022150,ENSOMYT00000022164	12.90	11.58	15.99	12.33	14.01	24.63	27.92	19.79	25.11	14.91	21.17	15.54
ENSOMYG00000009307	ENSOMYT00000021089	7.56	6.74	6.43	4.63	5.60	6.16	2.00	0.74	1.14	0.61	0.75	6.04
ENSOMYG00000009308	ENSOMYT00000021102,ENSOMYT00000021116	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00
ENSOMYG00000009309	ENSOMYT00000021085	0.71	1.57	0.09	0.08	0.16	0.00	0.29	0.00	0.12	0.35	0.85	1.02
ENSOMYG00000009310	ENSOMYT00000021091,ENSOMYT00000021111,ENSOMYT00000021125	17.68	23.55	11.10	16.91	15.49	26.76	5.85	11.72	8.62	9.74	8.20	11.76
ENSOMYG00000009311	ENSOMYT00000021088	5.45	7.75	6.40	4.59	5.68	4.56	4.98	2.94	4.55	5.04	4.69	5.03
ENSOMYG00000009312	ENSOMYT00000021092,ENSOMYT00000155176	4.21	2.48	2.62	2.53	1.51	2.59	4.52	4.09	4.67	2.77	2.08	2.67
ENSOMYG00000009313	ENSOMYT00000024602,ENSOMYT00000024612,ENSOMYT00000024914,ENSOMYT00000024937,ENSOMYT00000024954,ENSOMYT00000024972	0.15	0.15	0.08	0.08	0.21	0.06	0.00	0.00	0.03	0.00	0.00	0.09
ENSOMYG00000009314	ENSOMYT00000021106,ENSOMYT00000021117	4.98	5.47	4.82	2.62	2.07	3.71	2.28	2.97	2.21	1.52	3.29	1.65
ENSOMYG00000009315	ENSOMYT00000021121	2.16	2.67	1.91	1.49	2.08	1.94	0.93	0.89	2.05	0.83	1.56	2.42
ENSOMYG00000009316	ENSOMYT00000021113	114.55	131.90	162.87	120.69	123.80	158.19	112.62	144.77	133.82	98.85	177.83	239.29
ENSOMYG00000009318	ENSOMYT00000022413,ENSOMYT00000022447,ENSOMYT00000022456,ENSOMYT00000022466,ENSOMYT00000022510,ENSOMYT00000022668,ENSOMYT00000022710	27.28	31.32	26.32	23.61	19.86	28.00	17.30	29.37	30.53	22.96	29.46	20.48
ENSOMYG00000009319	ENSOMYT00000115929,ENSOMYT00000143785,ENSOMYT00000159366,ENSOMYT00000165408,ENSOMYT00000166979	36.35	14.72	14.89	12.23	7.06	12.20	14.53	15.78	10.68	15.03	10.59	8.11
ENSOMYG00000009322	ENSOMYT00000021131	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009324	ENSOMYT00000028825,ENSOMYT00000029734,ENSOMYT00000029770,ENSOMYT00000029965,ENSOMYT00000029979,ENSOMYT00000029994,ENSOMYT00000030063,ENSOMYT00000030077,ENSOMYT00000030120,ENSOMYT00000030141	0.67	0.82	0.81	0.36	0.79	0.73	0.15	0.13	0.44	0.37	0.63	0.40
ENSOMYG00000009325	ENSOMYT00000021150,ENSOMYT00000021162,ENSOMYT00000147034	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009326	ENSOMYT00000021124	0.47	0.00	0.00	0.00	0.32	0.08	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009327	ENSOMYT00000021130	44.85	30.01	27.78	20.43	25.33	17.87	16.79	10.98	16.76	22.00	37.38	32.37
ENSOMYG00000009329	ENSOMYT00000021487,ENSOMYT00000021532,ENSOMYT00000129501,ENSOMYT00000167350	0.00	0.00	0.19	0.00	0.00	0.01	0.00	0.00	0.02	0.00	0.00	0.04
ENSOMYG00000009330	ENSOMYT00000028723,ENSOMYT00000028737,ENSOMYT00000028750,ENSOMYT00000028765,ENSOMYT00000028782,ENSOMYT00000028807,ENSOMYT00000028826,ENSOMYT00000028840,ENSOMYT00000028855	27.37	26.14	21.38	28.32	14.76	25.86	15.07	19.51	17.76	7.86	12.24	9.92
ENSOMYG00000009332	ENSOMYT00000021157,ENSOMYT00000021171,ENSOMYT00000021179	0.46	0.50	0.26	0.48	0.39	0.42	0.02	0.14	0.21	0.24	0.04	0.11
ENSOMYG00000009333	ENSOMYT00000021138	5.48	6.11	6.34	7.24	4.54	8.11	6.65	2.65	2.83	4.90	8.52	9.27
ENSOMYG00000009335	ENSOMYT00000025198,ENSOMYT00000026460,ENSOMYT00000027375,ENSOMYT00000027388,ENSOMYT00000027508,ENSOMYT00000027587,ENSOMYT00000027641,ENSOMYT00000027768,ENSOMYT00000027808,ENSOMYT00000122837	45.98	34.71	31.45	27.04	22.69	26.26	32.98	34.69	29.59	25.75	31.46	24.04
ENSOMYG00000009336	ENSOMYT00000021142	0.10	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009337	ENSOMYT00000021166	0.00	0.00	0.05	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009338	ENSOMYT00000021143	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009339	ENSOMYT00000021156	17.35	13.09	14.38	11.14	11.79	12.91	15.15	17.27	13.85	10.93	13.81	14.14
ENSOMYG00000009340	ENSOMYT00000021151	3.95	5.33	3.25	1.55	4.53	5.70	3.69	2.64	2.64	2.47	2.08	2.37
ENSOMYG00000009341	ENSOMYT00000021149	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009344	ENSOMYT00000021158	0.00	0.00	3.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000009345	ENSOMYT00000023058,ENSOMYT00000023176,ENSOMYT00000023318,ENSOMYT00000023617	37.03	44.88	32.18	51.40	31.19	25.74	8.87	6.99	16.92	24.09	20.22	31.83
ENSOMYG00000009346	ENSOMYT00000011525,ENSOMYT00000022592,ENSOMYT00000022673,ENSOMYT00000022692,ENSOMYT00000022715	6.33	7.10	6.67	5.33	5.60	6.26	4.39	4.70	7.67	3.09	5.81	5.29
ENSOMYG00000009348	ENSOMYT00000021169	0.00	1.00	0.37	0.68	0.32	0.64	0.00	0.49	0.33	0.00	1.04	0.00
ENSOMYG00000009349	ENSOMYT00000021193,ENSOMYT00000021221,ENSOMYT00000021227	6.83	6.08	4.77	4.70	4.36	6.14	4.39	3.47	4.97	2.26	2.40	4.45
ENSOMYG00000009350	ENSOMYT00000021199,ENSOMYT00000021213	10.24	10.77	6.27	5.48	3.87	6.57	1.44	0.31	1.96	0.20	0.18	3.82
