gene_id	transcript_id(s)	RainbowTrout_RNA_HeadKidney_Immature_Female_R1	RainbowTrout_RNA_HeadKidney_Immature_Female_R2	RainbowTrout_RNA_HeadKidney_Immature_Female_R3	RainbowTrout_RNA_HeadKidney_Immature_Male_R1	RainbowTrout_RNA_HeadKidney_Immature_Male_R2	RainbowTrout_RNA_HeadKidney_Immature_Male_R3	RainbowTrout_RNA_HeadKidney_Mature_Female_R1	RainbowTrout_RNA_HeadKidney_Mature_Female_R2	RainbowTrout_RNA_HeadKidney_Mature_Female_R3	RainbowTrout_RNA_HeadKidney_Mature_Male_R1	RainbowTrout_RNA_HeadKidney_Mature_Male_R2	RainbowTrout_RNA_HeadKidney_Mature_Male_R3
ENSOMYG00000057860	ENSOMYT00000133832	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
ENSOMYG00000057861	ENSOMYT00000126524,ENSOMYT00000129935,ENSOMYT00000138800,ENSOMYT00000142181,ENSOMYT00000154708,ENSOMYT00000155638	1058.41	2182.51	1700.64	895.51	801.91	817.46	2520.15	4542.32	3646.21	12048.44	4459.93	2118.23
ENSOMYG00000057862	ENSOMYT00000132369	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057863	ENSOMYT00000120961	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057864	ENSOMYT00000124693	0.13	0.00	0.00	0.00	0.05	0.00	0.32	0.00	0.20	0.03	0.25	0.34
ENSOMYG00000057865	ENSOMYT00000152705	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057866	ENSOMYT00000134048	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057867	ENSOMYT00000143803	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057868	ENSOMYT00000116601	0.21	0.06	0.22	0.19	0.09	0.05	0.34	0.26	0.02	0.00	0.13	0.04
ENSOMYG00000057869	ENSOMYT00000159552	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057870	ENSOMYT00000125393	10.54	12.99	9.87	11.97	10.89	10.47	6.37	3.28	2.62	6.61	0.00	6.83
ENSOMYG00000057871	ENSOMYT00000139095,ENSOMYT00000160623	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00
ENSOMYG00000057872	ENSOMYT00000122810	0.06	0.20	0.00	0.19	0.16	0.26	0.00	0.00	0.00	0.00	0.00	0.10
ENSOMYG00000057873	ENSOMYT00000143107	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057874	ENSOMYT00000122427	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057875	ENSOMYT00000141627	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057876	ENSOMYT00000130032,ENSOMYT00000133526,ENSOMYT00000152148,ENSOMYT00000155035,ENSOMYT00000157333,ENSOMYT00000157457,ENSOMYT00000159923	1.10	0.96	1.01	0.74	0.54	1.20	0.02	0.17	0.42	0.10	0.12	0.35
ENSOMYG00000057877	ENSOMYT00000145766	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057878	ENSOMYT00000165087	0.12	0.00	0.05	0.00	0.00	0.08	0.13	0.10	0.00	0.06	0.22	0.12
ENSOMYG00000057879	ENSOMYT00000157943	0.36	0.30	0.00	0.28	0.00	0.16	0.00	0.08	0.00	0.00	0.00	0.10
ENSOMYG00000057880	ENSOMYT00000122915	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057881	ENSOMYT00000073034	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057882	ENSOMYT00000141313	0.00	0.02	0.07	0.00	0.09	0.00	0.00	0.00	0.06	0.00	0.02	0.00
ENSOMYG00000057883	ENSOMYT00000142493	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057884	ENSOMYT00000160901	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057885	ENSOMYT00000100676,ENSOMYT00000100688	0.96	2.16	1.04	1.78	1.45	0.89	1.95	3.11	1.32	2.06	2.10	1.79
ENSOMYG00000057886	ENSOMYT00000119497	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057887	ENSOMYT00000075129	117.80	112.73	133.92	184.78	149.80	204.82	171.12	221.40	191.92	158.80	137.08	155.11
ENSOMYG00000057888	ENSOMYT00000167484	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057889	ENSOMYT00000152567	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057890	ENSOMYT00000116931	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057891	ENSOMYT00000151451	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057892	ENSOMYT00000159626	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057893	ENSOMYT00000162253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057894	ENSOMYT00000117862,ENSOMYT00000127312	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057895	ENSOMYT00000133173	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
