gene_id	transcript_id(s)	RainbowTrout_RNA_DistalIntestine_Immature_Female_R1	RainbowTrout_RNA_DistalIntestine_Immature_Female_R2	RainbowTrout_RNA_DistalIntestine_Immature_Female_R3	RainbowTrout_RNA_DistalIntestine_Immature_Male_R1	RainbowTrout_RNA_DistalIntestine_Immature_Male_R2	RainbowTrout_RNA_DistalIntestine_Immature_Male_R3	RainbowTrout_RNA_DistalIntestine_Mature_Female_R1	RainbowTrout_RNA_DistalIntestine_Mature_Female_R2	RainbowTrout_RNA_DistalIntestine_Mature_Female_R3	RainbowTrout_RNA_DistalIntestine_Mature_Male_R1	RainbowTrout_RNA_DistalIntestine_Mature_Male_R2	RainbowTrout_RNA_DistalIntestine_Mature_Male_R3
ENSOMYG00000000092	ENSOMYT00000000113,ENSOMYT00000137620	4.09	3.30	3.07	2.75	4.76	3.99	5.05	5.90	6.24	3.15	3.61	5.44
ENSOMYG00000000093	ENSOMYT00000000116	18.80	20.37	20.23	20.69	15.91	26.44	26.63	15.14	25.36	24.02	33.74	23.43
ENSOMYG00000000094	ENSOMYT00000000118,ENSOMYT00000000120,ENSOMYT00000000121	4.79	4.05	2.91	3.04	4.08	4.47	3.62	2.53	3.84	4.61	5.45	6.92
ENSOMYG00000000096	ENSOMYT00000000125,ENSOMYT00000000128,ENSOMYT00000121315,ENSOMYT00000135557,ENSOMYT00000161089	16.64	11.54	7.14	6.70	18.83	4.02	9.05	8.74	11.08	7.16	7.51	10.18
ENSOMYG00000000097	ENSOMYT00000000131,ENSOMYT00000000134,ENSOMYT00000126859	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000099	ENSOMYT00000000129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000000100	ENSOMYT00000000127	2.48	0.00	3.79	0.00	5.67	3.18	4.15	2.86	2.78	3.14	1.85	2.90
ENSOMYG00000000101	ENSOMYT00000000133	1.64	0.26	0.26	0.33	0.30	0.38	0.82	0.72	1.72	0.40	0.31	0.17
ENSOMYG00000000103	ENSOMYT00000000135,ENSOMYT00000000144,ENSOMYT00000000150,ENSOMYT00000000158	0.43	0.00	0.00	0.00	0.00	0.13	0.00	0.06	0.00	0.00	0.00	0.00
ENSOMYG00000000105	ENSOMYT00000000139,ENSOMYT00000000148	16.11	14.43	10.22	9.25	14.03	9.87	11.47	9.84	13.49	12.48	11.85	17.24
ENSOMYG00000000106	ENSOMYT00000000142,ENSOMYT00000000146	8.63	2.47	2.86	2.81	5.35	1.48	8.98	8.55	6.44	3.13	1.09	2.61
ENSOMYG00000000107	ENSOMYT00000000147,ENSOMYT00000000149	1.72	1.90	0.65	1.42	2.52	0.74	1.26	0.51	0.85	1.77	0.00	0.53
ENSOMYG00000000108	ENSOMYT00000000151,ENSOMYT00000000153	1.13	0.61	0.73	0.40	0.48	0.62	0.35	0.39	0.47	1.40	1.42	2.65
ENSOMYG00000000109	ENSOMYT00000000155	0.00	0.00	0.28	0.00	0.00	0.00	2.80	1.33	2.74	1.77	2.35	1.00
ENSOMYG00000000110	ENSOMYT00000000154	1.95	1.48	1.89	1.47	2.79	0.60	3.38	2.04	2.02	2.06	0.78	2.37
ENSOMYG00000000112	ENSOMYT00000000164	0.52	1.00	0.00	0.17	0.06	0.61	0.04	0.31	0.00	0.64	0.61	2.71
ENSOMYG00000000114	ENSOMYT00000000161	5.63	3.13	4.35	5.96	9.09	3.71	9.92	8.15	5.10	4.98	4.00	6.21
ENSOMYG00000000115	ENSOMYT00000000163,ENSOMYT00000150771	1.21	0.49	0.00	0.18	2.21	0.12	1.90	1.22	0.99	0.21	0.47	0.37
ENSOMYG00000000116	ENSOMYT00000000165	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
