gene_id	transcript_id(s)	RainbowTrout_RNA_DistalIntestine_Immature_Female_R1	RainbowTrout_RNA_DistalIntestine_Immature_Female_R2	RainbowTrout_RNA_DistalIntestine_Immature_Female_R3	RainbowTrout_RNA_DistalIntestine_Immature_Male_R1	RainbowTrout_RNA_DistalIntestine_Immature_Male_R2	RainbowTrout_RNA_DistalIntestine_Immature_Male_R3	RainbowTrout_RNA_DistalIntestine_Mature_Female_R1	RainbowTrout_RNA_DistalIntestine_Mature_Female_R2	RainbowTrout_RNA_DistalIntestine_Mature_Female_R3	RainbowTrout_RNA_DistalIntestine_Mature_Male_R1	RainbowTrout_RNA_DistalIntestine_Mature_Male_R2	RainbowTrout_RNA_DistalIntestine_Mature_Male_R3
ENSOMYG00000018025	ENSOMYT00000042359	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018027	ENSOMYT00000042374,ENSOMYT00000127817,ENSOMYT00000150277	12.65	4.52	3.93	2.62	11.64	2.38	14.46	22.60	12.24	4.20	3.31	7.05
ENSOMYG00000018029	ENSOMYT00000043451,ENSOMYT00000043579,ENSOMYT00000043657,ENSOMYT00000043697,ENSOMYT00000043723,ENSOMYT00000043777,ENSOMYT00000043799,ENSOMYT00000043829	5.38	6.43	8.16	6.31	5.95	7.38	8.67	5.20	6.78	7.41	5.23	11.58
ENSOMYG00000018030	ENSOMYT00000042397	0.00	0.31	0.00	0.27	0.00	0.09	0.00	0.04	0.00	0.10	0.00	0.00
ENSOMYG00000018031	ENSOMYT00000042378,ENSOMYT00000042386	13.07	16.73	9.07	5.23	24.13	11.13	19.69	14.13	20.73	12.01	14.64	15.45
ENSOMYG00000018032	ENSOMYT00000042375	0.20	0.00	0.00	0.00	0.30	0.00	0.08	0.00	0.08	0.00	0.00	0.12
ENSOMYG00000018033	ENSOMYT00000042587	24.34	29.09	24.66	31.36	31.34	31.54	42.06	28.17	32.23	25.74	31.96	30.36
ENSOMYG00000018035	ENSOMYT00000042376	2.41	1.18	1.46	0.92	2.27	0.73	2.35	1.24	3.19	1.55	0.81	1.72
ENSOMYG00000018036	ENSOMYT00000045302,ENSOMYT00000045675,ENSOMYT00000046476,ENSOMYT00000046657,ENSOMYT00000046771,ENSOMYT00000046772,ENSOMYT00000046779,ENSOMYT00000046782	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018037	ENSOMYT00000042385	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018038	ENSOMYT00000042411,ENSOMYT00000042416	45.60	40.56	41.30	55.07	47.29	49.90	54.30	37.14	59.54	45.96	49.14	44.06
ENSOMYG00000018039	ENSOMYT00000042387	0.00	0.09	0.57	0.00	0.60	0.08	0.00	0.00	0.25	0.17	0.00	0.00
ENSOMYG00000018041	ENSOMYT00000042391	0.00	0.08	0.00	0.00	0.00	0.07	0.14	0.00	0.60	0.00	0.17	0.42
ENSOMYG00000018042	ENSOMYT00000042406	6.13	4.20	2.03	1.25	2.54	2.72	4.12	2.98	2.22	2.94	2.23	4.56
ENSOMYG00000018044	ENSOMYT00000043271,ENSOMYT00000043308,ENSOMYT00000043352,ENSOMYT00000043375,ENSOMYT00000120460,ENSOMYT00000142326	7.18	5.50	6.14	5.11	4.74	4.10	6.69	3.58	6.39	7.60	5.48	8.26
ENSOMYG00000018047	ENSOMYT00000042441,ENSOMYT00000042461	0.08	0.28	0.03	0.11	0.54	0.03	0.33	0.22	0.13	0.03	0.08	0.81
ENSOMYG00000018048	ENSOMYT00000042403	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26
ENSOMYG00000018051	ENSOMYT00000042423	5.66	6.00	11.92	2.71	4.50	11.68	12.82	8.31	12.24	7.67	6.02	5.28
ENSOMYG00000018052	ENSOMYT00000042525,ENSOMYT00000042563,ENSOMYT00000042594,ENSOMYT00000042628	0.59	0.19	0.30	0.17	0.15	0.44	0.11	0.00	0.00	0.06	0.14	0.00
ENSOMYG00000018053	ENSOMYT00000042414	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018054	ENSOMYT00000042464,ENSOMYT00000042474,ENSOMYT00000042483,ENSOMYT00000042503,ENSOMYT00000042509	10.37	9.68	9.82	8.03	11.92	12.91	11.40	6.40	10.28	9.95	9.16	10.59
ENSOMYG00000018055	ENSOMYT00000044312,ENSOMYT00000044338,ENSOMYT00000044356,ENSOMYT00000044400,ENSOMYT00000044417,ENSOMYT00000044475,ENSOMYT00000044496,ENSOMYT00000132044,ENSOMYT00000160382	1.78	0.30	0.10	0.00	0.69	0.11	0.12	0.18	0.56	0.62	0.42	1.33
ENSOMYG00000018057	ENSOMYT00000042468	10.39	17.67	13.12	14.89	4.86	20.08	8.96	4.63	8.94	15.08	27.34	12.17
ENSOMYG00000018058	ENSOMYT00000042824,ENSOMYT00000042869,ENSOMYT00000042912,ENSOMYT00000084040,ENSOMYT00000084296,ENSOMYT00000084425,ENSOMYT00000134916,ENSOMYT00000151739	1.76	1.31	0.21	0.15	0.41	0.59	0.20	0.73	0.51	1.25	0.65	3.06
ENSOMYG00000018059	ENSOMYT00000042491,ENSOMYT00000090765,ENSOMYT00000118551,ENSOMYT00000140771,ENSOMYT00000157593,ENSOMYT00000166291	11.18	6.18	4.38	1.93	5.26	4.30	8.80	10.12	8.77	7.06	7.60	11.04
ENSOMYG00000018060	ENSOMYT00000043692,ENSOMYT00000043749,ENSOMYT00000043774,ENSOMYT00000043800,ENSOMYT00000138632,ENSOMYT00000142920,ENSOMYT00000149314	11.38	23.66	7.63	3.10	7.38	10.98	6.23	8.16	7.29	18.61	19.50	33.44
ENSOMYG00000018061	ENSOMYT00000042443	3.31	0.74	0.94	0.24	3.67	0.82	4.66	2.50	5.75	2.16	0.26	1.87
ENSOMYG00000018062	ENSOMYT00000042577,ENSOMYT00000042588,ENSOMYT00000042612,ENSOMYT00000042843,ENSOMYT00000042941,ENSOMYT00000043002	21.24	20.04	14.78	15.14	20.79	15.76	11.34	9.54	11.29	12.33	11.07	18.10
ENSOMYG00000018063	ENSOMYT00000043594,ENSOMYT00000043638	6.72	17.13	12.46	13.00	1.16	19.51	6.30	7.87	2.66	19.18	15.89	14.05
ENSOMYG00000018065	ENSOMYT00000042449	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018066	ENSOMYT00000042451	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.22
ENSOMYG00000018068	ENSOMYT00000042470,ENSOMYT00000042534	4.83	5.55	4.88	3.80	5.38	5.61	6.52	3.79	5.68	8.03	9.59	10.22
ENSOMYG00000018069	ENSOMYT00000042460	1.06	0.92	1.18	0.65	1.83	1.01	1.66	0.91	1.28	1.50	0.71	1.64
ENSOMYG00000018070	ENSOMYT00000042466	0.21	0.12	0.23	0.00	0.21	0.00	0.00	0.14	0.29	0.00	0.14	0.00
ENSOMYG00000018072	ENSOMYT00000042492	30.58	11.19	7.49	5.62	19.74	6.34	24.06	15.39	16.72	19.74	9.09	16.62
ENSOMYG00000018073	ENSOMYT00000042674,ENSOMYT00000042915,ENSOMYT00000043284,ENSOMYT00000043313	5.71	1.38	0.68	0.16	0.57	1.14	2.19	2.21	1.93	3.72	4.38	9.15
ENSOMYG00000018074	ENSOMYT00000042476,ENSOMYT00000042489,ENSOMYT00000042504,ENSOMYT00000100914,ENSOMYT00000100915,ENSOMYT00000132964,ENSOMYT00000156022	2.65	0.81	1.62	0.24	1.96	0.43	4.67	3.51	4.69	3.44	1.71	3.86
ENSOMYG00000018075	ENSOMYT00000042497	0.13	0.08	0.00	0.00	0.00	0.03	0.16	0.41	0.18	0.15	0.04	1.19
ENSOMYG00000018076	ENSOMYT00000042490	0.06	0.20	0.00	0.34	0.11	0.08	0.17	0.39	0.00	0.00	0.49	0.06
ENSOMYG00000018077	ENSOMYT00000042513	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018078	ENSOMYT00000042668,ENSOMYT00000042690,ENSOMYT00000042794	7.71	7.52	7.59	7.58	7.28	8.56	6.52	4.84	7.21	8.77	9.37	8.60
ENSOMYG00000018079	ENSOMYT00000047467,ENSOMYT00000047683,ENSOMYT00000047690,ENSOMYT00000047914,ENSOMYT00000047920,ENSOMYT00000047956,ENSOMYT00000048036,ENSOMYT00000048039,ENSOMYT00000048046,ENSOMYT00000048089	6.01	12.94	5.30	7.12	4.50	8.88	1.71	1.34	1.55	3.49	10.08	2.22
ENSOMYG00000018080	ENSOMYT00000042672,ENSOMYT00000042683,ENSOMYT00000042722,ENSOMYT00000042768,ENSOMYT00000042802,ENSOMYT00000042852,ENSOMYT00000042913	21.42	22.11	14.56	16.53	23.26	15.59	18.00	13.98	20.93	19.75	18.31	26.53
ENSOMYG00000018082	ENSOMYT00000042545,ENSOMYT00000129881	0.00	0.03	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018083	ENSOMYT00000042629	17.18	23.88	18.18	16.84	22.11	13.37	22.47	20.18	22.68	17.89	15.19	24.61
ENSOMYG00000018084	ENSOMYT00000042530	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018085	ENSOMYT00000042511	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
ENSOMYG00000018086	ENSOMYT00000042519	0.00	0.00	0.08	0.23	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018087	ENSOMYT00000042613,ENSOMYT00000042652,ENSOMYT00000042667	0.65	0.00	0.09	0.00	0.10	0.00	0.00	0.03	0.23	0.05	0.05	0.06
ENSOMYG00000018088	ENSOMYT00000042524	4.90	0.91	1.77	0.86	2.45	1.35	1.03	0.79	2.49	0.36	0.20	1.81
ENSOMYG00000018091	ENSOMYT00000042549	152.94	152.42	184.03	152.36	168.23	169.50	118.84	132.53	134.16	77.09	51.32	89.98
ENSOMYG00000018092	ENSOMYT00000042535	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.10	0.00	0.27
ENSOMYG00000018094	ENSOMYT00000042583	0.09	0.04	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.07	0.00	0.00
ENSOMYG00000018095	ENSOMYT00000042555	0.17	0.07	0.27	0.06	0.00	0.00	0.00	0.12	0.14	0.07	0.08	0.00
ENSOMYG00000018096	ENSOMYT00000042775,ENSOMYT00000042790,ENSOMYT00000042829	28.55	58.36	45.69	55.96	10.64	88.14	27.79	18.39	21.84	48.83	66.67	68.13
ENSOMYG00000018097	ENSOMYT00000042552,ENSOMYT00000042560	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018098	ENSOMYT00000042554	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018099	ENSOMYT00000042596,ENSOMYT00000159247	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00
ENSOMYG00000018100	ENSOMYT00000042584,ENSOMYT00000042597,ENSOMYT00000042602,ENSOMYT00000042607,ENSOMYT00000042623,ENSOMYT00000147397,ENSOMYT00000163390	0.10	0.00	0.00	0.00	0.20	0.00	0.04	0.04	0.00	0.00	0.00	0.06
ENSOMYG00000018101	ENSOMYT00000042567	1.03	1.46	1.46	2.06	0.26	0.87	0.79	0.72	0.21	1.21	0.75	2.08
ENSOMYG00000018102	ENSOMYT00000042898,ENSOMYT00000097688	15.34	18.21	14.62	15.90	15.77	13.73	28.47	14.88	19.03	18.65	20.59	21.72
ENSOMYG00000018103	ENSOMYT00000042766,ENSOMYT00000042786,ENSOMYT00000042805,ENSOMYT00000042828,ENSOMYT00000128021,ENSOMYT00000156385	41.62	37.97	31.08	30.58	45.23	28.64	45.42	42.45	51.01	32.77	26.79	32.99
ENSOMYG00000018106	ENSOMYT00000042569	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018107	ENSOMYT00000042574	1.09	0.50	1.01	0.56	1.94	0.39	0.39	0.31	0.70	0.83	0.22	0.46
ENSOMYG00000018108	ENSOMYT00000072763	37.74	53.66	50.29	48.78	35.34	53.66	42.57	43.12	54.64	56.81	88.30	42.11
ENSOMYG00000018109	ENSOMYT00000042592	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018110	ENSOMYT00000042625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018111	ENSOMYT00000043162,ENSOMYT00000043250,ENSOMYT00000043391,ENSOMYT00000043523,ENSOMYT00000043886,ENSOMYT00000043907,ENSOMYT00000043931	2.30	1.03	0.27	0.07	0.12	0.37	0.91	0.89	1.36	0.72	0.40	1.49
ENSOMYG00000018112	ENSOMYT00000042636,ENSOMYT00000146471	4.76	3.60	2.82	2.68	4.69	5.65	3.46	3.80	4.62	3.52	3.16	3.90
ENSOMYG00000018115	ENSOMYT00000043227	6.23	2.49	2.01	0.85	5.82	1.01	5.05	3.18	6.82	2.15	1.31	2.41
ENSOMYG00000018117	ENSOMYT00000023886,ENSOMYT00000042621,ENSOMYT00000119878,ENSOMYT00000124651,ENSOMYT00000133035,ENSOMYT00000159189,ENSOMYT00000165120,ENSOMYT00000165679	4.03	1.22	1.96	0.49	7.08	0.83	3.39	3.45	5.19	1.21	1.01	1.32
ENSOMYG00000018118	ENSOMYT00000042716	6.32	6.20	7.51	6.97	12.69	3.62	10.66	7.94	11.65	7.83	3.32	8.59
ENSOMYG00000018119	ENSOMYT00000042710,ENSOMYT00000042736	4.27	9.42	9.26	4.91	2.31	9.57	1.92	2.83	1.83	5.37	8.34	8.79
ENSOMYG00000018120	ENSOMYT00000044662,ENSOMYT00000044673,ENSOMYT00000044776,ENSOMYT00000044794,ENSOMYT00000044830,ENSOMYT00000044845	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018121	ENSOMYT00000042801,ENSOMYT00000042836,ENSOMYT00000042845,ENSOMYT00000042889,ENSOMYT00000042901,ENSOMYT00000042918,ENSOMYT00000042950,ENSOMYT00000042963	46.98	39.50	48.42	46.79	41.59	41.38	47.80	26.44	47.98	31.48	19.28	31.00
ENSOMYG00000018122	ENSOMYT00000042648	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018123	ENSOMYT00000042637	44.92	36.73	25.10	22.11	76.11	23.50	32.99	31.67	30.74	21.44	26.26	28.52
ENSOMYG00000018124	ENSOMYT00000008387,ENSOMYT00000041690,ENSOMYT00000041787,ENSOMYT00000046756,ENSOMYT00000047968,ENSOMYT00000048205,ENSOMYT00000048214,ENSOMYT00000048266,ENSOMYT00000048413,ENSOMYT00000048435	68.24	136.89	70.74	186.19	31.23	163.93	3.71	13.26	19.63	29.60	14.50	8.70
ENSOMYG00000018126	ENSOMYT00000043155,ENSOMYT00000043659,ENSOMYT00000043718,ENSOMYT00000043759,ENSOMYT00000043946,ENSOMYT00000043954,ENSOMYT00000043971,ENSOMYT00000044031,ENSOMYT00000044053,ENSOMYT00000044063	1.18	0.10	0.00	0.00	0.10	0.08	1.22	1.11	0.33	0.51	0.11	1.45
ENSOMYG00000018127	ENSOMYT00000042687,ENSOMYT00000140309	30.11	20.66	20.24	23.18	32.03	13.97	22.87	16.04	29.52	12.90	11.37	11.37
ENSOMYG00000018128	ENSOMYT00000042653,ENSOMYT00000042661	0.05	0.00	0.00	0.00	0.03	0.05	0.18	0.04	0.05	0.00	0.05	0.21
ENSOMYG00000018129	ENSOMYT00000042734,ENSOMYT00000042748,ENSOMYT00000042757,ENSOMYT00000042774	4.17	0.34	0.13	0.07	0.91	0.17	1.34	1.61	1.61	1.01	0.25	2.68
ENSOMYG00000018130	ENSOMYT00000042638	0.44	0.25	0.18	0.44	0.43	0.44	0.11	0.15	0.66	0.06	0.07	0.42
ENSOMYG00000018131	ENSOMYT00000042657	8.52	6.90	8.85	9.29	16.35	7.18	13.05	9.68	11.44	6.56	5.62	9.79
ENSOMYG00000018132	ENSOMYT00000043196,ENSOMYT00000043219,ENSOMYT00000043257,ENSOMYT00000043270,ENSOMYT00000043309,ENSOMYT00000043320,ENSOMYT00000043336,ENSOMYT00000043356,ENSOMYT00000043367,ENSOMYT00000043385	19.54	19.25	15.94	14.95	15.83	12.84	16.41	10.12	15.90	17.35	18.66	22.67
ENSOMYG00000018134	ENSOMYT00000042643	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018135	ENSOMYT00000042644	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018136	ENSOMYT00000042711,ENSOMYT00000042747,ENSOMYT00000042792	14.38	8.07	8.42	8.44	9.38	8.00	12.88	9.29	19.11	9.39	11.16	11.86
ENSOMYG00000018138	ENSOMYT00000042744	0.36	0.09	0.00	0.00	1.65	0.41	0.71	0.37	0.03	0.00	0.14	0.08
ENSOMYG00000018139	ENSOMYT00000042650,ENSOMYT00000042670,ENSOMYT00000042707,ENSOMYT00000042762,ENSOMYT00000042850,ENSOMYT00000042860,ENSOMYT00000042897,ENSOMYT00000042919,ENSOMYT00000042983	20.56	27.57	18.97	18.07	24.16	24.23	18.09	17.58	27.29	12.02	21.25	22.60
ENSOMYG00000018140	ENSOMYT00000042651	1.89	2.23	2.70	0.76	3.48	1.52	2.19	1.57	2.93	1.27	1.43	1.55
ENSOMYG00000018141	ENSOMYT00000042659,ENSOMYT00000086311,ENSOMYT00000086702,ENSOMYT00000086744,ENSOMYT00000118894,ENSOMYT00000122218,ENSOMYT00000123765,ENSOMYT00000140187,ENSOMYT00000145160,ENSOMYT00000166514	5.89	4.05	3.74	3.34	6.29	2.00	5.32	5.97	5.69	4.28	4.09	6.11
ENSOMYG00000018142	ENSOMYT00000046252,ENSOMYT00000046269,ENSOMYT00000046292,ENSOMYT00000046310,ENSOMYT00000046332,ENSOMYT00000046352,ENSOMYT00000046371,ENSOMYT00000046400,ENSOMYT00000046421,ENSOMYT00000046426	23.91	35.46	19.84	21.23	12.94	28.97	14.58	11.34	13.73	18.26	16.87	29.68
ENSOMYG00000018143	ENSOMYT00000042678,ENSOMYT00000042741	3.66	3.57	3.55	4.01	3.03	3.60	2.44	1.58	2.18	3.37	2.98	5.48
ENSOMYG00000018144	ENSOMYT00000042688,ENSOMYT00000042698	2.68	0.00	1.48	0.00	1.08	0.07	1.45	1.41	1.76	0.09	0.28	0.00
ENSOMYG00000018145	ENSOMYT00000042671	3.18	5.30	4.66	6.74	2.49	5.21	2.36	1.81	1.18	2.96	1.08	2.16
ENSOMYG00000018146	ENSOMYT00000043181,ENSOMYT00000043233,ENSOMYT00000043307,ENSOMYT00000043338	5.07	7.20	4.54	3.96	6.16	4.12	7.80	4.28	6.10	8.44	5.02	6.95
ENSOMYG00000018147	ENSOMYT00000042680,ENSOMYT00000042689,ENSOMYT00000042701	0.00	0.35	0.00	0.00	2.01	0.00	0.75	0.44	0.12	0.00	0.75	2.68
ENSOMYG00000018149	ENSOMYT00000042677,ENSOMYT00000042684	6.00	5.52	2.94	1.86	4.21	2.49	3.98	4.83	3.26	4.46	6.12	10.65
ENSOMYG00000018150	ENSOMYT00000042702	6.56	8.13	6.79	8.55	5.77	11.47	4.72	4.39	3.46	6.74	5.53	8.64
ENSOMYG00000018151	ENSOMYT00000042782,ENSOMYT00000042819,ENSOMYT00000117426,ENSOMYT00000124796,ENSOMYT00000131990,ENSOMYT00000143338,ENSOMYT00000152042,ENSOMYT00000155585	16.09	8.19	3.64	2.11	4.20	4.22	8.02	8.34	7.44	10.21	8.32	15.16
ENSOMYG00000018152	ENSOMYT00000042938,ENSOMYT00000042954,ENSOMYT00000042973,ENSOMYT00000042986,ENSOMYT00000043006	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.16	0.06	0.00
ENSOMYG00000018153	ENSOMYT00000042759	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018154	ENSOMYT00000042803,ENSOMYT00000042859,ENSOMYT00000052764,ENSOMYT00000121411,ENSOMYT00000126135,ENSOMYT00000129741,ENSOMYT00000131962,ENSOMYT00000132927,ENSOMYT00000140821,ENSOMYT00000148291	33.07	22.45	15.08	21.93	36.29	18.90	24.32	21.99	29.57	15.10	5.78	16.38
ENSOMYG00000018155	ENSOMYT00000042742,ENSOMYT00000042760,ENSOMYT00000042770	8.78	4.65	2.67	6.19	5.16	8.20	8.24	5.55	6.09	8.24	8.82	8.92
ENSOMYG00000018156	ENSOMYT00000042714	27.96	23.26	11.64	12.15	24.24	12.88	16.96	22.69	16.14	19.37	26.80	44.60
ENSOMYG00000018157	ENSOMYT00000042725	5.30	1.93	2.49	2.08	4.39	0.75	4.84	6.07	7.66	1.28	1.18	2.48
ENSOMYG00000018159	ENSOMYT00000042737,ENSOMYT00000042751,ENSOMYT00000042882,ENSOMYT00000042891,ENSOMYT00000042934	8.66	7.44	4.54	2.83	9.42	4.71	9.50	7.15	10.68	6.32	6.72	8.97
ENSOMYG00000018160	ENSOMYT00000042723	1.68	0.90	2.08	1.37	2.81	0.77	3.54	2.23	2.45	1.10	0.99	1.48
ENSOMYG00000018161	ENSOMYT00000042728	24.69	34.41	36.10	30.37	22.48	37.86	33.83	27.14	30.16	28.89	34.27	28.70
ENSOMYG00000018162	ENSOMYT00000045218,ENSOMYT00000045265,ENSOMYT00000045282,ENSOMYT00000045324,ENSOMYT00000045373,ENSOMYT00000045445,ENSOMYT00000045504,ENSOMYT00000059601,ENSOMYT00000121518,ENSOMYT00000123509	1.46	0.89	0.45	0.31	0.08	0.30	0.09	0.33	0.07	0.63	1.40	1.80
ENSOMYG00000018164	ENSOMYT00000042732	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018165	ENSOMYT00000042863,ENSOMYT00000042893,ENSOMYT00000042909,ENSOMYT00000116058,ENSOMYT00000149907,ENSOMYT00000157403	0.00	0.04	0.00	0.00	0.14	0.03	0.27	0.03	0.04	0.00	0.05	0.16
ENSOMYG00000018166	ENSOMYT00000042746	1.05	0.97	0.67	0.37	0.07	1.16	1.00	1.05	0.34	1.43	2.62	2.81
ENSOMYG00000018171	ENSOMYT00000042752	0.32	0.14	0.13	0.00	1.27	0.00	0.24	0.11	0.26	0.14	0.00	0.00
ENSOMYG00000018172	ENSOMYT00000042750	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018173	ENSOMYT00000045021,ENSOMYT00000045035,ENSOMYT00000045206,ENSOMYT00000045258,ENSOMYT00000045268,ENSOMYT00000123638	2.40	1.01	1.05	1.94	4.50	1.76	1.23	1.73	3.25	1.85	0.28	2.22
ENSOMYG00000018174	ENSOMYT00000042763,ENSOMYT00000110373	1.53	2.66	1.88	2.06	0.16	3.46	0.92	0.55	1.12	0.69	0.78	1.02
ENSOMYG00000018175	ENSOMYT00000042787,ENSOMYT00000042796,ENSOMYT00000042807,ENSOMYT00000042815,ENSOMYT00000103306,ENSOMYT00000103400,ENSOMYT00000122825,ENSOMYT00000125091,ENSOMYT00000129915,ENSOMYT00000149654	11.73	1.40	1.85	0.75	3.42	2.02	5.44	11.81	2.56	4.68	2.61	6.02
ENSOMYG00000018176	ENSOMYT00000042896,ENSOMYT00000042966,ENSOMYT00000042995	9.28	4.24	3.03	1.50	3.23	2.90	2.78	3.89	5.24	6.05	3.82	7.21
ENSOMYG00000018178	ENSOMYT00000042755,ENSOMYT00000042785	2.15	2.06	0.14	2.63	0.24	2.78	2.24	3.42	2.61	3.38	7.49	5.92
ENSOMYG00000018179	ENSOMYT00000042832,ENSOMYT00000042849	1.81	0.99	0.56	0.16	2.34	0.46	1.62	1.08	2.12	2.82	0.89	1.01
ENSOMYG00000018182	ENSOMYT00000061064,ENSOMYT00000061151,ENSOMYT00000061720,ENSOMYT00000061977,ENSOMYT00000062038,ENSOMYT00000062071,ENSOMYT00000062084,ENSOMYT00000062214,ENSOMYT00000062319,ENSOMYT00000062328	9.95	24.21	12.44	13.12	8.19	21.69	9.45	6.17	7.25	17.00	19.51	21.27
ENSOMYG00000018183	ENSOMYT00000042771	0.68	0.33	0.06	0.00	0.00	0.06	0.06	0.16	0.31	0.00	0.07	0.00
ENSOMYG00000018184	ENSOMYT00000046724,ENSOMYT00000046750,ENSOMYT00000046755,ENSOMYT00000046799,ENSOMYT00000046813,ENSOMYT00000046827,ENSOMYT00000046851,ENSOMYT00000046904,ENSOMYT00000046928	16.50	14.46	7.44	4.64	10.48	14.94	7.54	9.79	10.50	14.96	15.64	20.01
ENSOMYG00000018185	ENSOMYT00000042780	2.43	1.22	1.17	0.59	1.31	0.81	1.36	0.89	1.89	1.16	0.76	1.10
ENSOMYG00000018186	ENSOMYT00000042981,ENSOMYT00000043996,ENSOMYT00000044005,ENSOMYT00000044303,ENSOMYT00000044471,ENSOMYT00000044527,ENSOMYT00000044548,ENSOMYT00000044622,ENSOMYT00000044626,ENSOMYT00000044636	13.16	7.94	9.63	6.32	9.42	6.07	15.17	10.40	11.05	12.16	7.10	15.10
ENSOMYG00000018187	ENSOMYT00000042778	2.48	0.94	1.30	1.37	2.15	1.04	3.09	2.23	2.22	1.69	1.47	1.36
ENSOMYG00000018188	ENSOMYT00000042784	2.01	0.91	0.21	0.07	0.77	0.13	0.73	0.90	0.57	1.53	1.01	2.51
ENSOMYG00000018189	ENSOMYT00000042783	0.00	0.09	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018190	ENSOMYT00000042991,ENSOMYT00000043013,ENSOMYT00000043025,ENSOMYT00000043275,ENSOMYT00000043552,ENSOMYT00000043572,ENSOMYT00000118107,ENSOMYT00000127467,ENSOMYT00000147846,ENSOMYT00000166536	10.01	10.24	9.44	5.66	8.13	7.77	12.76	7.09	6.10	10.17	3.76	12.91
ENSOMYG00000018191	ENSOMYT00000042823,ENSOMYT00000042838,ENSOMYT00000042853	4.19	7.42	2.26	2.38	0.85	4.75	0.65	28.83	0.29	8.89	3.20	1.40
ENSOMYG00000018192	ENSOMYT00000042830	0.00	0.00	0.06	0.00	0.00	0.13	0.07	0.05	0.00	0.00	0.00	0.00
ENSOMYG00000018193	ENSOMYT00000042820	0.00	0.00	0.10	0.00	0.06	0.00	0.05	0.00	0.00	0.05	0.00	0.00
ENSOMYG00000018194	ENSOMYT00000042890,ENSOMYT00000042927	70.72	120.47	112.27	115.97	57.79	141.50	62.07	40.95	75.20	78.56	70.19	70.46
ENSOMYG00000018195	ENSOMYT00000042797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000018196	ENSOMYT00000042799	8.43	5.90	3.39	4.46	9.79	3.60	2.93	3.65	6.01	5.88	2.28	6.86
ENSOMYG00000018197	ENSOMYT00000042808	3.68	5.86	5.91	5.07	4.20	6.38	7.29	6.80	7.40	7.02	6.98	4.83
ENSOMYG00000018198	ENSOMYT00000042800	5.14	4.67	2.49	1.97	1.62	2.52	1.67	0.61	1.46	1.79	1.09	1.37
